folder,decode_note,decode_variant,diff_mode,window_n,stat_kind,fft_target_hz,diff_threshold,pixel_acc_all,pixel_acc_ok,pixel_acc_best,best_pair_frame_1,best_pair_frame_2,video,display_rate,exposure,fluorescent,camera_fps,cond,image,channel,token,intensity,decode_decoded_text,decode_method,decode_frame_1,decode_frame_2,note,analysis_frames,extract_sec
rice_R_4,QR未検出,,accum,3,,,0,0.589198,,0.600620,frame_00006.png,frame_00008.png,r120_e60_f1.mp4,120 Hz,1/60,蛍光灯あり,58.843 fps,0,rice,R,R,4,,,frame_00099.png,frame_00101.png,,117,1.988331
rice_R_8,QR未検出,,accum,3,,,0,0.590999,,0.603113,frame_00075.png,frame_00077.png,,,,,,1,rice,R,R,8,,,frame_00105.png,frame_00107.png,,117,1.988331
rice_R_12,QR未検出,,accum,5,,,0,0.587546,,0.605202,frame_00075.png,frame_00079.png,,,,,,2,rice,R,R,12,,,frame_00110.png,frame_00114.png,,117,1.988331
nagaoka_fireworks_R_4,QR未検出,,accum,5,,,0,0.578151,,0.593123,frame_00030.png,frame_00034.png,,,,,,3,nagaoka_fireworks,R,R,4,,,frame_00110.png,frame_00114.png,,117,1.988331
nagaoka_fireworks_R_8,QR未検出,,accum,5,,,0,0.575886,,0.590295,frame_00055.png,frame_00059.png,,,,,,4,nagaoka_fireworks,R,R,8,,,frame_00105.png,frame_00109.png,,117,1.988331
nagaoka_fireworks_R_12,QR未検出,,accum,5,,,0,0.581865,,0.595067,frame_00050.png,frame_00054.png,,,,,,5,nagaoka_fireworks,R,R,12,,,frame_00075.png,frame_00079.png,,117,1.988331
hocho_R_4,QR未検出,,accum,5,,,0,0.559784,,0.578448,frame_00030.png,frame_00034.png,,,,,,6,hocho,R,R,4,,,frame_00105.png,frame_00109.png,,117,1.988331
hocho_R_8,QR未検出,,accum,5,,,0,0.564072,,0.581741,frame_00050.png,frame_00054.png,,,,,,7,hocho,R,R,8,,,frame_00110.png,frame_00114.png,,117,1.988331
hocho_R_12,QR未検出,,accum,5,,,0,0.563517,,0.578809,frame_00025.png,frame_00029.png,,,,,,8,hocho,R,R,12,,,frame_00110.png,frame_00114.png,,117,1.988331
ex_R_4,QR未検出,,accum,3,,,0,0.568622,,0.595292,frame_00069.png,frame_00071.png,,,,,,9,ex,R,R,4,,,frame_00102.png,frame_00104.png,,117,1.988331
ex_R_8,QR未検出,,accum,3,,,0,0.564803,,0.594680,frame_00024.png,frame_00026.png,,,,,,10,ex,R,R,8,,,frame_00108.png,frame_00110.png,,117,1.988331
ex_R_12,QR未検出,,accum,5,,,0,0.570809,,0.591455,frame_00090.png,frame_00094.png,,,,,,11,ex,R,R,12,,,frame_00100.png,frame_00104.png,,117,1.988331
rice_G_4,QR未検出,,accum,5,,,0,0.587714,,0.599618,frame_00030.png,frame_00034.png,,,,,,12,rice,G,G,4,,,frame_00105.png,frame_00109.png,,117,1.988331
rice_G_8,QR未検出,,accum,3,,,0,0.586535,,0.600338,frame_00087.png,frame_00089.png,,,,,,13,rice,G,G,8,,,frame_00105.png,frame_00107.png,,117,1.988331
rice_G_12,QR未検出,,accum,5,,,0,0.588340,,0.598659,frame_00070.png,frame_00074.png,,,,,,14,rice,G,G,12,,,frame_00090.png,frame_00094.png,,117,1.988331
nagaoka_fireworks_G_4,QR未検出,,accum,5,,,0,0.574186,,0.591006,frame_00060.png,frame_00064.png,,,,,,15,nagaoka_fireworks,G,G,4,,,frame_00105.png,frame_00109.png,,117,1.988331
nagaoka_fireworks_G_8,QR未検出,,accum,5,,,0,0.576623,,0.589203,frame_00080.png,frame_00084.png,,,,,,16,nagaoka_fireworks,G,G,8,,,frame_00105.png,frame_00109.png,,117,1.988331
nagaoka_fireworks_G_12,QR未検出,,accum,5,,,0,0.586341,,0.598473,frame_00110.png,frame_00114.png,,,,,,17,nagaoka_fireworks,G,G,12,,,frame_00110.png,frame_00114.png,,117,1.988331
hocho_G_4,QR未検出,,accum,5,,,0,0.586299,,0.604783,frame_00075.png,frame_00079.png,,,,,,18,hocho,G,G,4,,,frame_00100.png,frame_00104.png,,117,1.988331
hocho_G_8,QR未検出,,accum,5,,,0,0.582887,,0.602606,frame_00100.png,frame_00104.png,,,,,,19,hocho,G,G,8,,,frame_00110.png,frame_00114.png,,117,1.988331
hocho_G_12,QR未検出,,accum,5,,,0,0.591011,,0.610541,frame_00105.png,frame_00109.png,,,,,,20,hocho,G,G,12,,,frame_00075.png,frame_00079.png,,117,1.988331
ex_G_4,QR未検出,,accum,5,,,0,0.588494,,0.603446,frame_00045.png,frame_00049.png,,,,,,21,ex,G,G,4,,,frame_00110.png,frame_00114.png,,117,1.988331
ex_G_8,QR未検出,,accum,5,,,0,0.584710,,0.601602,frame_00025.png,frame_00029.png,,,,,,22,ex,G,G,8,,,frame_00105.png,frame_00109.png,,117,1.988331
ex_G_12,QR未検出,,accum,5,,,0,0.588594,,0.604210,frame_00050.png,frame_00054.png,,,,,,23,ex,G,G,12,,,frame_00100.png,frame_00104.png,,117,1.988331
rice_B_4,QR未検出,,accum,3,,,0,0.591231,,0.608086,frame_00114.png,frame_00116.png,,,,,,24,rice,B,B,4,,,frame_00108.png,frame_00110.png,,117,1.988331
rice_B_8,QR未検出,,accum,5,,,0,0.595135,,0.603600,frame_00000.png,frame_00004.png,,,,,,25,rice,B,B,8,,,frame_00105.png,frame_00109.png,,117,1.988331
rice_B_12,QR未検出,,accum,5,,,0,0.593269,,0.601959,frame_00060.png,frame_00064.png,,,,,,26,rice,B,B,12,,,frame_00105.png,frame_00109.png,,117,1.988331
nagaoka_fireworks_B_4,QR未検出,,accum,5,,,0,0.582161,,0.597348,frame_00090.png,frame_00094.png,,,,,,27,nagaoka_fireworks,B,B,4,,,frame_00100.png,frame_00104.png,,117,1.988331
nagaoka_fireworks_B_8,QR未検出,,accum,5,,,0,0.585277,,0.605624,frame_00100.png,frame_00104.png,,,,,,28,nagaoka_fireworks,B,B,8,,,frame_00105.png,frame_00109.png,,117,1.988331
nagaoka_fireworks_B_12,QR未検出,,accum,5,,,0,0.584357,,0.600275,frame_00090.png,frame_00094.png,,,,,,29,nagaoka_fireworks,B,B,12,,,frame_00105.png,frame_00109.png,,117,1.988331
hocho_B_4,QR未検出,,accum,5,,,0,0.583495,,0.600431,frame_00035.png,frame_00039.png,,,,,,30,hocho,B,B,4,,,frame_00070.png,frame_00074.png,,117,1.988331
hocho_B_8,QR未検出,,accum,5,,,0,0.583130,,0.601119,frame_00000.png,frame_00004.png,,,,,,31,hocho,B,B,8,,,frame_00075.png,frame_00079.png,,117,1.988331
hocho_B_12,QR未検出,,accum,5,,,0,0.604498,,0.614976,frame_00000.png,frame_00004.png,,,,,,32,hocho,B,B,12,,,frame_00100.png,frame_00104.png,,117,1.988331
ex_B_4,QR未検出,,accum,5,,,0,0.576999,,0.598211,frame_00005.png,frame_00009.png,,,,,,33,ex,B,B,4,,,frame_00110.png,frame_00114.png,,117,1.988331
ex_B_8,QR未検出,,accum,3,,,0,0.575512,,0.595934,frame_00045.png,frame_00047.png,,,,,,34,ex,B,B,8,,,frame_00102.png,frame_00104.png,,117,1.988331
ex_B_12,QR未検出,,accum,3,,,0,0.572025,,0.598386,frame_00063.png,frame_00065.png,,,,,,35,ex,B,B,12,,,frame_00102.png,frame_00104.png,,117,1.988331
rice_I_4,QR未検出,,accum,5,,,0,0.591896,,0.601698,frame_00080.png,frame_00084.png,,,,,,36,rice,min,I,4,,,frame_00080.png,frame_00084.png,,117,1.988331
rice_I_8,QR未検出,,accum,3,,,0,0.592551,,0.607848,frame_00048.png,frame_00050.png,,,,,,37,rice,min,I,8,,,frame_00114.png,frame_00116.png,,117,1.988331
rice_I_12,QR未検出,,accum,5,,,0,0.592013,,0.602525,frame_00060.png,frame_00064.png,,,,,,38,rice,min,I,12,,,frame_00105.png,frame_00109.png,,117,1.988331
nagaoka_fireworks_I_4,QR未検出,,accum,5,,,0,0.576277,,0.587629,frame_00045.png,frame_00049.png,,,,,,39,nagaoka_fireworks,min,I,4,,,frame_00110.png,frame_00114.png,,117,1.988331
nagaoka_fireworks_I_8,QR未検出,,accum,5,,,0,0.575517,,0.589338,frame_00065.png,frame_00069.png,,,,,,40,nagaoka_fireworks,min,I,8,,,frame_00105.png,frame_00109.png,,117,1.988331
nagaoka_fireworks_I_12,QR未検出,,accum,5,,,0,0.583148,,0.596804,frame_00005.png,frame_00009.png,,,,,,41,nagaoka_fireworks,min,I,12,,,frame_00065.png,frame_00069.png,,117,1.988331
hocho_I_4,QR未検出,,accum,5,,,0,0.580508,,0.603453,frame_00055.png,frame_00059.png,,,,,,42,hocho,min,I,4,,,frame_00110.png,frame_00114.png,,117,1.988331
hocho_I_8,QR未検出,,accum,5,,,0,0.587048,,0.607430,frame_00035.png,frame_00039.png,,,,,,43,hocho,min,I,8,,,frame_00110.png,frame_00114.png,,117,1.988331
hocho_I_12,QR未検出,,accum,5,,,0,0.609976,,0.624316,frame_00065.png,frame_00069.png,,,,,,44,hocho,min,I,12,,,frame_00105.png,frame_00109.png,,117,1.988331
ex_I_4,QR未検出,,accum,5,,,0,0.570498,,0.599164,frame_00100.png,frame_00104.png,,,,,,45,ex,min,I,4,,,frame_00105.png,frame_00109.png,,117,1.988331
ex_I_8,QR未検出,,accum,5,,,0,0.581881,,0.602085,frame_00055.png,frame_00059.png,,,,,,46,ex,min,I,8,,,frame_00090.png,frame_00094.png,,117,1.988331
ex_I_12,QR未検出,,accum,5,,,0,0.584220,,0.601416,frame_00110.png,frame_00114.png,,,,,,47,ex,min,I,12,,,frame_00105.png,frame_00109.png,,117,1.988331
rice_X_4,QR未検出,,accum,5,,,0,0.596737,,0.609157,frame_00070.png,frame_00074.png,,,,,,48,rice,max,X,4,,,frame_00090.png,frame_00094.png,,117,1.988331
rice_X_8,QR未検出,,accum,5,,,0,0.595855,,0.606548,frame_00000.png,frame_00004.png,,,,,,49,rice,max,X,8,,,frame_00110.png,frame_00114.png,,117,1.988331
rice_X_12,QR未検出,,accum,5,,,0,0.595996,,0.605524,frame_00050.png,frame_00054.png,,,,,,50,rice,max,X,12,,,frame_00105.png,frame_00109.png,,117,1.988331
nagaoka_fireworks_X_4,QR未検出,,accum,5,,,0,0.581881,,0.596083,frame_00080.png,frame_00084.png,,,,,,51,nagaoka_fireworks,max,X,4,,,frame_00095.png,frame_00099.png,,117,1.988331
nagaoka_fireworks_X_8,QR未検出,,accum,5,,,0,0.581372,,0.592437,frame_00085.png,frame_00089.png,,,,,,52,nagaoka_fireworks,max,X,8,,,frame_00075.png,frame_00079.png,,117,1.988331
nagaoka_fireworks_X_12,QR未検出,,accum,5,,,0,0.590256,,0.602317,frame_00020.png,frame_00024.png,,,,,,53,nagaoka_fireworks,max,X,12,,,frame_00110.png,frame_00114.png,,117,1.988331
hocho_X_4,QR未検出,,accum,5,,,0,0.587521,,0.596755,frame_00045.png,frame_00049.png,,,,,,54,hocho,max,X,4,,,frame_00100.png,frame_00104.png,,117,1.988331
hocho_X_8,QR未検出,,accum,5,,,0,0.586874,,0.601425,frame_00030.png,frame_00034.png,,,,,,55,hocho,max,X,8,,,frame_00110.png,frame_00114.png,,117,1.988331
