folder,cond,frame_1,frame_2,success,accuracy,recall,precision,diff_threshold
rice_R_4,0,frame_00000.png,frame_00001.png,0,0.652766,0.298133,0.538015,2
rice_R_4,0,frame_00001.png,frame_00002.png,0,0.654405,0.292476,0.543334,2
rice_R_4,0,frame_00002.png,frame_00003.png,0,0.640674,0.317859,0.506998,2
rice_R_4,0,frame_00116.png,frame_00117.png,0,0.661608,0.301850,0.561921,2
rice_R_4,0,frame_00117.png,frame_00118.png,0,0.656874,0.304745,0.548077,2
rice_R_4,0,frame_00118.png,frame_00119.png,0,0.649385,0.374943,0.522875,2
rice_R_8,1,frame_00000.png,frame_00001.png,0,0.765723,0.461788,0.810374,4
rice_R_8,1,frame_00001.png,frame_00002.png,0,0.765616,0.471644,0.799597,4
rice_R_8,1,frame_00002.png,frame_00003.png,0,0.768812,0.463825,0.820355,4
rice_R_8,1,frame_00116.png,frame_00117.png,0,0.758272,0.438978,0.805794,4
rice_R_8,1,frame_00117.png,frame_00118.png,0,0.764741,0.456030,0.812834,4
rice_R_8,1,frame_00118.png,frame_00119.png,0,0.763109,0.458583,0.803620,4
rice_R_12,2,frame_00000.png,frame_00001.png,0,0.883376,0.793567,0.873155,8
rice_R_12,2,frame_00001.png,frame_00002.png,0,0.884716,0.794499,0.875948,8
rice_R_12,2,frame_00002.png,frame_00003.png,0,0.886742,0.802240,0.874939,8
rice_R_12,2,frame_00116.png,frame_00117.png,0,0.867086,0.746923,0.868013,8
rice_R_12,2,frame_00117.png,frame_00118.png,0,0.867506,0.751812,0.865030,8
rice_R_12,2,frame_00118.png,frame_00119.png,0,0.870227,0.755621,0.869300,8
nagaoka_fireworks_R_4,3,frame_00000.png,frame_00001.png,0,0.655152,0.100214,0.660548,4
nagaoka_fireworks_R_4,3,frame_00001.png,frame_00002.png,0,0.648145,0.086333,0.602540,4
nagaoka_fireworks_R_4,3,frame_00002.png,frame_00003.png,0,0.649544,0.111861,0.587269,4
nagaoka_fireworks_R_4,3,frame_00116.png,frame_00117.png,0,0.641176,0.092096,0.529190,4
nagaoka_fireworks_R_4,3,frame_00117.png,frame_00118.png,0,0.643623,0.078277,0.560556,4
nagaoka_fireworks_R_4,3,frame_00118.png,frame_00119.png,0,0.645041,0.110302,0.552112,4
nagaoka_fireworks_R_8,4,frame_00000.png,frame_00001.png,0,0.709877,0.315340,0.731640,4
nagaoka_fireworks_R_8,4,frame_00001.png,frame_00002.png,0,0.718583,0.339651,0.745487,4
nagaoka_fireworks_R_8,4,frame_00002.png,frame_00003.png,0,0.716363,0.305407,0.776631,4
nagaoka_fireworks_R_8,4,frame_00116.png,frame_00117.png,0,0.709465,0.349000,0.698756,4
nagaoka_fireworks_R_8,4,frame_00117.png,frame_00118.png,0,0.712307,0.282490,0.787757,4
nagaoka_fireworks_R_8,4,frame_00118.png,frame_00119.png,0,0.706083,0.312072,0.717518,4
nagaoka_fireworks_R_12,5,frame_00000.png,frame_00001.png,0,0.873354,0.752430,0.880836,8
nagaoka_fireworks_R_12,5,frame_00001.png,frame_00002.png,0,0.873021,0.755929,0.876808,8
nagaoka_fireworks_R_12,5,frame_00002.png,frame_00003.png,0,0.872652,0.754105,0.877368,8
nagaoka_fireworks_R_12,5,frame_00116.png,frame_00117.png,0,0.874272,0.754824,0.881313,8
nagaoka_fireworks_R_12,5,frame_00117.png,frame_00118.png,0,0.873298,0.756142,0.877398,8
nagaoka_fireworks_R_12,5,frame_00118.png,frame_00119.png,0,0.874237,0.755630,0.880498,8
hocho_R_4,6,frame_00000.png,frame_00001.png,0,0.636156,0.004981,0.364922,10
hocho_R_4,6,frame_00001.png,frame_00002.png,0,0.636670,0.005285,0.411654,10
hocho_R_4,6,frame_00002.png,frame_00003.png,0,0.635584,0.005391,0.335940,10
hocho_R_4,6,frame_00116.png,frame_00117.png,0,0.635808,0.005604,0.353425,10
hocho_R_4,6,frame_00117.png,frame_00118.png,0,0.635554,0.005005,0.325896,10
hocho_R_4,6,frame_00118.png,frame_00119.png,0,0.637605,0.007573,0.510410,10
hocho_R_8,7,frame_00000.png,frame_00001.png,0,0.689552,0.358953,0.625032,4
hocho_R_8,7,frame_00001.png,frame_00002.png,0,0.692179,0.378563,0.624412,4
hocho_R_8,7,frame_00002.png,frame_00003.png,0,0.684930,0.310185,0.633662,4
hocho_R_8,7,frame_00116.png,frame_00117.png,0,0.690055,0.376449,0.619259,4
hocho_R_8,7,frame_00117.png,frame_00118.png,0,0.694429,0.366371,0.636414,4
hocho_R_8,7,frame_00118.png,frame_00119.png,0,0.692375,0.312796,0.659633,4
hocho_R_12,8,frame_00000.png,frame_00001.png,0,0.837743,0.697991,0.827415,6
hocho_R_12,8,frame_00001.png,frame_00002.png,0,0.833316,0.699014,0.814856,6
hocho_R_12,8,frame_00002.png,frame_00003.png,0,0.837403,0.711139,0.816639,6
hocho_R_12,8,frame_00116.png,frame_00117.png,0,0.841583,0.702171,0.834581,6
hocho_R_12,8,frame_00117.png,frame_00118.png,0,0.835123,0.692928,0.824248,6
hocho_R_12,8,frame_00118.png,frame_00119.png,0,0.838178,0.722057,0.810836,6
ex_R_4,9,frame_00000.png,frame_00001.png,0,0.647438,0.086888,0.593734,4
ex_R_4,9,frame_00001.png,frame_00002.png,0,0.646106,0.072003,0.598804,4
ex_R_4,9,frame_00002.png,frame_00003.png,0,0.649623,0.081748,0.628670,4
ex_R_4,9,frame_00116.png,frame_00117.png,0,0.644416,0.066110,0.584418,4
ex_R_4,9,frame_00117.png,frame_00118.png,0,0.648582,0.077201,0.623538,4
ex_R_4,9,frame_00118.png,frame_00119.png,0,0.653359,0.108535,0.626274,4
ex_R_8,10,frame_00000.png,frame_00001.png,0,0.766613,0.458351,0.817732,4
ex_R_8,10,frame_00001.png,frame_00002.png,0,0.766445,0.459703,0.815536,4
ex_R_8,10,frame_00002.png,frame_00003.png,0,0.763968,0.456570,0.809161,4
ex_R_8,10,frame_00116.png,frame_00117.png,0,0.754623,0.424754,0.806908,4
ex_R_8,10,frame_00117.png,frame_00118.png,0,0.754453,0.437467,0.792095,4
ex_R_8,10,frame_00118.png,frame_00119.png,0,0.758818,0.449929,0.796090,4
ex_R_12,11,frame_00000.png,frame_00001.png,0,0.883831,0.772152,0.892904,10
ex_R_12,11,frame_00001.png,frame_00002.png,0,0.883134,0.769381,0.893441,10
ex_R_12,11,frame_00002.png,frame_00003.png,0,0.882203,0.766080,0.893795,10
ex_R_12,11,frame_00116.png,frame_00117.png,0,0.886455,0.786873,0.887151,10
ex_R_12,11,frame_00117.png,frame_00118.png,0,0.888990,0.793007,0.888781,10
ex_R_12,11,frame_00118.png,frame_00119.png,0,0.889459,0.795411,0.887978,10
rice_G_4,12,frame_00000.png,frame_00001.png,0,0.636875,0.000468,0.177331,10
rice_G_4,12,frame_00001.png,frame_00002.png,0,0.637459,0.001824,0.487742,10
rice_G_4,12,frame_00002.png,frame_00003.png,0,0.637521,0.001158,0.517241,10
rice_G_4,12,frame_00116.png,frame_00117.png,0,0.637293,0.001250,0.409810,10
rice_G_4,12,frame_00117.png,frame_00118.png,0,0.637132,0.000951,0.328333,10
rice_G_4,12,frame_00118.png,frame_00119.png,0,0.637491,0.001139,0.498943,10
rice_G_8,13,frame_00000.png,frame_00001.png,0,0.719146,0.548290,0.629254,2
rice_G_8,13,frame_00001.png,frame_00002.png,0,0.708038,0.554598,0.606388,2
rice_G_8,13,frame_00002.png,frame_00003.png,0,0.704194,0.524596,0.606334,2
rice_G_8,13,frame_00116.png,frame_00117.png,0,0.724735,0.528689,0.647336,2
rice_G_8,13,frame_00117.png,frame_00118.png,0,0.719164,0.511598,0.641180,2
rice_G_8,13,frame_00118.png,frame_00119.png,0,0.727237,0.543738,0.647376,2
rice_G_12,14,frame_00000.png,frame_00001.png,0,0.884644,0.765491,0.901428,8
rice_G_12,14,frame_00001.png,frame_00002.png,0,0.883281,0.767291,0.895783,8
rice_G_12,14,frame_00002.png,frame_00003.png,0,0.883691,0.763020,0.900971,8
rice_G_12,14,frame_00116.png,frame_00117.png,0,0.877408,0.747435,0.897228,8
rice_G_12,14,frame_00117.png,frame_00118.png,0,0.877224,0.747975,0.896169,8
rice_G_12,14,frame_00118.png,frame_00119.png,0,0.876373,0.741315,0.900024,8
nagaoka_fireworks_G_4,15,frame_00000.png,frame_00001.png,0,0.648278,0.092390,0.595953,4
nagaoka_fireworks_G_4,15,frame_00001.png,frame_00002.png,0,0.650312,0.096445,0.612250,4
nagaoka_fireworks_G_4,15,frame_00002.png,frame_00003.png,0,0.658718,0.137471,0.635291,4
nagaoka_fireworks_G_4,15,frame_00116.png,frame_00117.png,0,0.647191,0.132432,0.556179,4
nagaoka_fireworks_G_4,15,frame_00117.png,frame_00118.png,0,0.657154,0.157260,0.604187,4
nagaoka_fireworks_G_4,15,frame_00118.png,frame_00119.png,0,0.650764,0.123686,0.586850,4
nagaoka_fireworks_G_8,16,frame_00000.png,frame_00001.png,0,0.742284,0.398400,0.784674,4
nagaoka_fireworks_G_8,16,frame_00001.png,frame_00002.png,0,0.736764,0.371454,0.791908,4
