folder,decode_note,decode_variant,diff_mode,window_n,stat_kind,fft_target_hz,diff_threshold,pixel_acc_all,pixel_acc_ok,pixel_acc_best,best_pair_frame_1,best_pair_frame_2,video,display_rate,exposure,fluorescent,camera_fps,cond,image,channel,token,intensity,decode_decoded_text,decode_method,decode_frame_1,decode_frame_2,note,analysis_frames,extract_sec
rice_R_4,QR未検出,,fourier,,,29.996432,0,0.711609,,0.711609,frame_00000.png,frame_00119.png,r180_e250_f1.mp4,180 Hz,1/250,蛍光灯あり,60.004 fps,0,rice,R,R,4,,,frame_00000.png,frame_00119.png,,120,1.999881
rice_R_8,QR未検出,,fourier,,,29.996432,0,0.780098,,0.780098,frame_00000.png,frame_00119.png,,,,,,1,rice,R,R,8,,,frame_00000.png,frame_00119.png,,120,1.999881
rice_R_12,QR未検出,,fourier,,,14.992863,0,0.891603,,0.891603,frame_00000.png,frame_00119.png,,,,,,2,rice,R,R,12,,,frame_00000.png,frame_00119.png,,120,1.999881
nagaoka_fireworks_R_4,QR未検出,,fourier,,,29.996432,0,0.716294,,0.716294,frame_00000.png,frame_00119.png,,,,,,3,nagaoka_fireworks,R,R,4,,,frame_00000.png,frame_00119.png,,120,1.999881
nagaoka_fireworks_R_8,QR未検出,,fourier,,,29.996432,0,0.739007,,0.739007,frame_00000.png,frame_00119.png,,,,,,4,nagaoka_fireworks,R,R,8,,,frame_00000.png,frame_00119.png,,120,1.999881
nagaoka_fireworks_R_12,QR未検出,,fourier,,,29.996432,0,0.864913,,0.864913,frame_00000.png,frame_00119.png,,,,,,5,nagaoka_fireworks,R,R,12,,,frame_00000.png,frame_00119.png,,120,1.999881
hocho_R_4,QR未検出,,fourier,,,29.996432,0,0.691960,,0.691960,frame_00000.png,frame_00119.png,,,,,,6,hocho,R,R,4,,,frame_00000.png,frame_00119.png,,120,1.999881
hocho_R_8,QR未検出,,fourier,,,29.996432,0,0.738905,,0.738905,frame_00000.png,frame_00119.png,,,,,,7,hocho,R,R,8,,,frame_00000.png,frame_00119.png,,120,1.999881
hocho_R_12,QR未検出,,fourier,,,10.003568,0,0.843238,,0.843238,frame_00000.png,frame_00119.png,,,,,,8,hocho,R,R,12,,,frame_00000.png,frame_00119.png,,120,1.999881
ex_R_4,QR未検出,,fourier,,,29.996432,0,0.736949,,0.736949,frame_00000.png,frame_00119.png,,,,,,9,ex,R,R,4,,,frame_00000.png,frame_00119.png,,120,1.999881
ex_R_8,QR未検出,,fourier,,,29.996432,0,0.795493,,0.795493,frame_00000.png,frame_00119.png,,,,,,10,ex,R,R,8,,,frame_00000.png,frame_00119.png,,120,1.999881
ex_R_12,QR未検出,,fourier,,,29.996432,0,0.908811,,0.908811,frame_00000.png,frame_00119.png,,,,,,11,ex,R,R,12,,,frame_00000.png,frame_00119.png,,120,1.999881
rice_G_4,QR未検出,,fourier,,,29.996432,0,0.581445,,0.581445,frame_00000.png,frame_00119.png,,,,,,12,rice,G,G,4,,,frame_00000.png,frame_00119.png,,120,1.999881
rice_G_8,QR未検出,,fourier,,,29.996432,0,0.744053,,0.744053,frame_00000.png,frame_00119.png,,,,,,13,rice,G,G,8,,,frame_00000.png,frame_00119.png,,120,1.999881
rice_G_12,QR未検出,,fourier,,,14.992863,0,0.880756,,0.880756,frame_00000.png,frame_00119.png,,,,,,14,rice,G,G,12,,,frame_00000.png,frame_00119.png,,120,1.999881
nagaoka_fireworks_G_4,QR未検出,,fourier,,,29.996432,0,0.677443,,0.677443,frame_00000.png,frame_00119.png,,,,,,15,nagaoka_fireworks,G,G,4,,,frame_00000.png,frame_00119.png,,120,1.999881
nagaoka_fireworks_G_8,QR未検出,,fourier,,,29.996432,0,0.740610,,0.740610,frame_00000.png,frame_00119.png,,,,,,16,nagaoka_fireworks,G,G,8,,,frame_00000.png,frame_00119.png,,120,1.999881
nagaoka_fireworks_G_12,QR未検出,,fourier,,,29.996432,0,0.867413,,0.867413,frame_00000.png,frame_00119.png,,,,,,17,nagaoka_fireworks,G,G,12,,,frame_00000.png,frame_00119.png,,120,1.999881
hocho_G_4,QR未検出,,fourier,,,29.996432,0,0.620887,,0.620887,frame_00000.png,frame_00119.png,,,,,,18,hocho,G,G,4,,,frame_00000.png,frame_00119.png,,120,1.999881
hocho_G_8,QR未検出,,fourier,,,29.996432,0,0.694551,,0.694551,frame_00000.png,frame_00119.png,,,,,,19,hocho,G,G,8,,,frame_00000.png,frame_00119.png,,120,1.999881
hocho_G_12,QR未検出,,fourier,,,29.996432,0,0.848417,,0.848417,frame_00000.png,frame_00119.png,,,,,,20,hocho,G,G,12,,,frame_00000.png,frame_00119.png,,120,1.999881
ex_G_4,QR未検出,,fourier,,,29.996432,0,0.707619,,0.707619,frame_00000.png,frame_00119.png,,,,,,21,ex,G,G,4,,,frame_00000.png,frame_00119.png,,120,1.999881
ex_G_8,QR未検出,,fourier,,,29.996432,0,0.781891,,0.781891,frame_00000.png,frame_00119.png,,,,,,22,ex,G,G,8,,,frame_00000.png,frame_00119.png,,120,1.999881
ex_G_12,QR未検出,,fourier,,,10.003568,0,0.909045,,0.909045,frame_00000.png,frame_00119.png,,,,,,23,ex,G,G,12,,,frame_00000.png,frame_00119.png,,120,1.999881
rice_B_4,QR未検出,,fourier,,,29.996432,0,0.750385,,0.750385,frame_00000.png,frame_00119.png,,,,,,24,rice,B,B,4,,,frame_00000.png,frame_00119.png,,120,1.999881
rice_B_8,QR未検出,,fourier,,,29.996432,0,0.787723,,0.787723,frame_00000.png,frame_00119.png,,,,,,25,rice,B,B,8,,,frame_00000.png,frame_00119.png,,120,1.999881
rice_B_12,QR未検出,,fourier,,,29.996432,0,0.864243,,0.864243,frame_00000.png,frame_00119.png,,,,,,26,rice,B,B,12,,,frame_00000.png,frame_00119.png,,120,1.999881
nagaoka_fireworks_B_4,QR未検出,,fourier,,,29.996432,0,0.721547,,0.721547,frame_00000.png,frame_00119.png,,,,,,27,nagaoka_fireworks,B,B,4,,,frame_00000.png,frame_00119.png,,120,1.999881
nagaoka_fireworks_B_8,QR未検出,,fourier,,,29.996432,0,0.760580,,0.760580,frame_00000.png,frame_00119.png,,,,,,28,nagaoka_fireworks,B,B,8,,,frame_00000.png,frame_00119.png,,120,1.999881
nagaoka_fireworks_B_12,QR未検出,,fourier,,,29.996432,0,0.867998,,0.867998,frame_00000.png,frame_00119.png,,,,,,29,nagaoka_fireworks,B,B,12,,,frame_00000.png,frame_00119.png,,120,1.999881
hocho_B_4,QR未検出,,fourier,,,29.996432,0,0.571913,,0.571913,frame_00000.png,frame_00119.png,,,,,,30,hocho,B,B,4,,,frame_00000.png,frame_00119.png,,120,1.999881
hocho_B_8,QR未検出,,fourier,,,29.996432,0,0.680370,,0.680370,frame_00000.png,frame_00119.png,,,,,,31,hocho,B,B,8,,,frame_00000.png,frame_00119.png,,120,1.999881
hocho_B_12,QR未検出,,fourier,,,29.996432,0,0.835671,,0.835671,frame_00000.png,frame_00119.png,,,,,,32,hocho,B,B,12,,,frame_00000.png,frame_00119.png,,120,1.999881
ex_B_4,QR未検出,,fourier,,,29.996432,0,0.752217,,0.752217,frame_00000.png,frame_00119.png,,,,,,33,ex,B,B,4,,,frame_00000.png,frame_00119.png,,120,1.999881
ex_B_8,QR未検出,,fourier,,,29.996432,0,0.806857,,0.806857,frame_00000.png,frame_00119.png,,,,,,34,ex,B,B,8,,,frame_00000.png,frame_00119.png,,120,1.999881
ex_B_12,QR未検出,,fourier,,,14.992863,0,0.843949,,0.843949,frame_00000.png,frame_00119.png,,,,,,35,ex,B,B,12,,,frame_00000.png,frame_00119.png,,120,1.999881
rice_I_4,QR未検出,,fourier,,,29.996432,0,0.560145,,0.560145,frame_00000.png,frame_00119.png,,,,,,36,rice,min,I,4,,,frame_00000.png,frame_00119.png,,120,1.999881
