folder,decode_note,decode_variant,diff_mode,window_n,stat_kind,fft_target_hz,diff_threshold,pixel_acc_all,pixel_acc_ok,pixel_acc_best,best_pair_frame_1,best_pair_frame_2,video,display_rate,exposure,fluorescent,camera_fps,cond,image,channel,token,intensity,decode_decoded_text,decode_method,decode_frame_1,decode_frame_2,note,analysis_frames,extract_sec
rice_R_4,QR未検出,,stat,,std,,0,0.650741,,0.650741,frame_00000.png,frame_00119.png,r180_e250_f1.mp4,180 Hz,1/250,蛍光灯あり,60.004 fps,0,rice,R,R,4,,,frame_00000.png,frame_00119.png,,120,1.999881
rice_R_8,QR未検出,,stat,,std,,0,0.781685,,0.781685,frame_00000.png,frame_00119.png,,,,,,1,rice,R,R,8,,,frame_00000.png,frame_00119.png,,120,1.999881
rice_R_12,QR未検出,,stat,,std,,0,0.852522,,0.852522,frame_00000.png,frame_00119.png,,,,,,2,rice,R,R,12,,,frame_00000.png,frame_00119.png,,120,1.999881
nagaoka_fireworks_R_4,QR未検出,,stat,,std,,0,0.568206,,0.568206,frame_00000.png,frame_00119.png,,,,,,3,nagaoka_fireworks,R,R,4,,,frame_00000.png,frame_00119.png,,120,1.999881
nagaoka_fireworks_R_8,QR未検出,,stat,,std,,0,0.663246,,0.663246,frame_00000.png,frame_00119.png,,,,,,4,nagaoka_fireworks,R,R,8,,,frame_00000.png,frame_00119.png,,120,1.999881
nagaoka_fireworks_R_12,QR未検出,,stat,,std,,0,0.855267,,0.855267,frame_00000.png,frame_00119.png,,,,,,5,nagaoka_fireworks,R,R,12,,,frame_00000.png,frame_00119.png,,120,1.999881
hocho_R_4,QR未検出,,stat,,std,,0,0.597775,,0.597775,frame_00000.png,frame_00119.png,,,,,,6,hocho,R,R,4,,,frame_00000.png,frame_00119.png,,120,1.999881
hocho_R_8,QR未検出,,stat,,std,,0,0.696812,,0.696812,frame_00000.png,frame_00119.png,,,,,,7,hocho,R,R,8,,,frame_00000.png,frame_00119.png,,120,1.999881
hocho_R_12,QR未検出,,stat,,std,,0,0.796711,,0.796711,frame_00000.png,frame_00119.png,,,,,,8,hocho,R,R,12,,,frame_00000.png,frame_00119.png,,120,1.999881
ex_R_4,QR未検出,,stat,,std,,0,0.640549,,0.640549,frame_00000.png,frame_00119.png,,,,,,9,ex,R,R,4,,,frame_00000.png,frame_00119.png,,120,1.999881
ex_R_8,QR未検出,,stat,,std,,0,0.786857,,0.786857,frame_00000.png,frame_00119.png,,,,,,10,ex,R,R,8,,,frame_00000.png,frame_00119.png,,120,1.999881
