folder,frame_1,frame_2,diff_image,analysis_image,decoded_text,success,method,note,recall,precision,accuracy,noise,gt_note,task_key,diff_mode,window_n,stat_kind,fft_target_hz,diff_threshold
rice_R_4,frame_00000.png,frame_00001.png,,,,0,decode失敗,QR未検出,0.097703,0.461226,0.632240,0.079825,,pair:pair::None:None:2:None:binary:0,pair,,,,2
rice_R_4,frame_00001.png,frame_00002.png,,,,0,decode失敗,QR未検出,0.116891,0.464052,0.631631,0.090102,,pair:pair::None:None:2:None:binary:1,pair,,,,2
rice_R_4,frame_00114.png,frame_00115.png,,,,0,decode失敗,QR未検出,0.097451,0.454991,0.631208,0.080296,,pair:pair::None:None:2:None:binary:3,pair,,,,2
rice_R_4,frame_00115.png,frame_00116.png,,,,0,decode失敗,QR未検出,0.085545,0.464976,0.633521,0.076050,,pair:pair::None:None:2:None:binary:4,pair,,,,2
rice_R_4,frame_00116.png,frame_00117.png,,,,0,decode失敗,QR未検出,0.104028,0.488044,0.636340,0.080218,,pair:pair::None:None:2:None:binary:5,pair,,,,2
rice_R_4,frame_00002.png,frame_00003.png,,,,0,decode失敗,QR未検出,0.190797,0.309986,0.553552,0.322780,,pair:pair::None:None:2:None:binary:2,pair,,,,2
rice_R_4,frame_00001.png,frame_00002.png,,,,0,decode失敗,QR未検出,0.019300,0.439102,0.636247,0.015392,,pair:pair::None:None:4:None:binary:1,pair,,,,4
rice_R_4,frame_00000.png,frame_00001.png,,,,0,decode失敗,QR未検出,0.014614,0.403310,0.635648,0.013466,,pair:pair::None:None:4:None:binary:0,pair,,,,4
rice_R_4,frame_00114.png,frame_00115.png,,,,0,decode失敗,QR未検出,0.017157,0.404008,0.635234,0.013959,,pair:pair::None:None:4:None:binary:3,pair,,,,4
rice_R_4,frame_00116.png,frame_00117.png,,,,0,decode失敗,QR未検出,0.015064,0.436152,0.636588,0.015192,,pair:pair::None:None:4:None:binary:5,pair,,,,4
rice_R_4,frame_00115.png,frame_00116.png,,,,0,decode失敗,QR未検出,0.011804,0.369401,0.635164,0.013689,,pair:pair::None:None:4:None:binary:4,pair,,,,4
rice_R_4,frame_00002.png,frame_00003.png,,,,0,decode失敗,QR未検出,0.250746,0.399624,0.592608,0.184823,,pair:pair::None:None:4:None:binary:2,pair,,,,4
rice_R_4,frame_00002.png,frame_00003.png,,,,0,decode失敗,QR未検出,0.042221,0.397243,0.630281,0.035527,,pair:pair::None:None:6:None:binary:2,pair,,,,6
rice_R_4,frame_00114.png,frame_00115.png,,,,0,decode失敗,QR未検出,0.002423,0.209273,0.635748,0.003085,,pair:pair::None:None:6:None:binary:3,pair,,,,6
rice_R_4,frame_00000.png,frame_00001.png,,,,0,decode失敗,QR未検出,0.004081,0.470195,0.637997,0.002834,,pair:pair::None:None:6:None:binary:0,pair,,,,6
rice_R_4,frame_00001.png,frame_00002.png,,,,0,decode失敗,QR未検出,0.003356,0.395893,0.637545,0.003112,,pair:pair::None:None:6:None:binary:1,pair,,,,6
rice_R_4,frame_00116.png,frame_00117.png,,,,0,decode失敗,QR未検出,0.003554,0.401639,0.637554,0.003510,,pair:pair::None:None:6:None:binary:5,pair,,,,6
rice_R_4,frame_00115.png,frame_00116.png,,,,0,decode失敗,QR未検出,0.001717,0.238896,0.636826,0.003118,,pair:pair::None:None:6:None:binary:4,pair,,,,6
rice_R_4,frame_00002.png,frame_00003.png,,,,0,decode失敗,QR未検出,0.007249,0.361379,0.636172,0.007557,,pair:pair::None:None:8:None:binary:2,pair,,,,8
rice_R_4,frame_00000.png,frame_00001.png,,,,0,decode失敗,QR未検出,0.001219,0.463235,0.638114,0.000916,,pair:pair::None:None:8:None:binary:0,pair,,,,8
rice_R_4,frame_00114.png,frame_00115.png,,,,0,decode失敗,QR未検出,0.001151,0.192713,0.636856,0.001209,,pair:pair::None:None:8:None:binary:3,pair,,,,8
rice_R_4,frame_00001.png,frame_00002.png,,,,0,decode失敗,QR未検出,0.000522,0.189142,0.637563,0.001198,,pair:pair::None:None:8:None:binary:1,pair,,,,8
rice_R_4,frame_00116.png,frame_00117.png,,,,0,decode失敗,QR未検出,0.002108,0.421256,0.637899,0.001817,,pair:pair::None:None:8:None:binary:5,pair,,,,8
rice_R_4,frame_00115.png,frame_00116.png,,,,0,decode失敗,QR未検出,0.000435,0.169811,0.637571,0.001174,,pair:pair::None:None:8:None:binary:4,pair,,,,8
rice_R_4,frame_00002.png,frame_00003.png,,,,0,decode失敗,QR未検出,0.002307,0.392593,0.637727,0.002076,,pair:pair::None:None:10:None:binary:2,pair,,,,10
rice_R_4,frame_00000.png,frame_00001.png,,,,0,decode失敗,QR未検出,0.000363,0.257732,0.637937,0.000601,,pair:pair::None:None:10:None:binary:0,pair,,,,10
rice_R_4,frame_00001.png,frame_00002.png,,,,0,decode失敗,QR未検出,0.000164,0.084788,0.637601,0.000847,,pair:pair::None:None:10:None:binary:1,pair,,,,10
rice_R_4,frame_00115.png,frame_00116.png,,,,0,decode失敗,QR未検出,0.000319,0.199396,0.637836,0.000584,,pair:pair::None:None:10:None:binary:4,pair,,,,10
rice_R_4,frame_00114.png,frame_00115.png,,,,0,decode失敗,QR未検出,0.000590,0.184012,0.637451,0.000563,,pair:pair::None:None:10:None:binary:3,pair,,,,10
rice_R_4,frame_00116.png,frame_00117.png,,,,0,decode失敗,QR未検出,0.000991,0.360281,0.637906,0.001188,,pair:pair::None:None:10:None:binary:5,pair,,,,10
rice_R_8,frame_00001.png,frame_00002.png,,,,0,decode失敗,QR未検出,0.213636,0.611951,0.666465,0.086278,,pair:pair::None:None:2:None:binary:1,pair,,,,2
rice_R_8,frame_00114.png,frame_00115.png,,,,0,decode失敗,QR未検出,0.217156,0.629756,0.670561,0.086373,,pair:pair::None:None:2:None:binary:3,pair,,,,2
rice_R_8,frame_00115.png,frame_00116.png,,,,0,decode失敗,QR未検出,0.190139,0.624359,0.665589,0.084678,,pair:pair::None:None:2:None:binary:4,pair,,,,2
