folder,decode_note,decode_variant,diff_mode,window_n,stat_kind,fft_target_hz,diff_threshold,pixel_acc_all,pixel_acc_ok,pixel_acc_best,best_pair_frame_1,best_pair_frame_2,video,display_rate,exposure,fluorescent,camera_fps,cond,image,channel,token,intensity,decode_decoded_text,decode_method,decode_frame_1,decode_frame_2,note,analysis_frames,extract_sec
rice_R_4,QR未検出,,fourier,,,8.660384,4,0.637895,,0.637895,frame_00000.png,frame_00117.png,r180_e60_f1.mp4,180 Hz,1/60,蛍光灯あり,58.660 fps,0,rice,R,R,4,,,frame_00000.png,frame_00117.png,,118,2.011579
rice_R_8,QR未検出,,fourier,,,8.660384,4,0.637752,,0.637752,frame_00000.png,frame_00117.png,,,,,,1,rice,R,R,8,,,frame_00000.png,frame_00117.png,,118,2.011579
rice_R_12,QR未検出,,fourier,,,8.660384,4,0.638184,,0.638184,frame_00000.png,frame_00117.png,,,,,,2,rice,R,R,12,,,frame_00000.png,frame_00117.png,,118,2.011579
nagaoka_fireworks_R_4,QR未検出,,fourier,,,8.660384,4,0.636233,,0.636233,frame_00000.png,frame_00117.png,,,,,,3,nagaoka_fireworks,R,R,4,,,frame_00000.png,frame_00117.png,,118,2.011579
nagaoka_fireworks_R_8,QR未検出,,fourier,,,8.660384,4,0.632518,,0.632518,frame_00000.png,frame_00117.png,,,,,,4,nagaoka_fireworks,R,R,8,,,frame_00000.png,frame_00117.png,,118,2.011579
nagaoka_fireworks_R_12,QR未検出,,fourier,,,8.660384,4,0.632861,,0.632861,frame_00000.png,frame_00117.png,,,,,,5,nagaoka_fireworks,R,R,12,,,frame_00000.png,frame_00117.png,,118,2.011579
hocho_R_4,QR未検出,,fourier,,,8.660384,4,0.638184,,0.638184,frame_00000.png,frame_00117.png,,,,,,6,hocho,R,R,4,,,frame_00000.png,frame_00117.png,,118,2.011579
hocho_R_8,QR未検出,,fourier,,,8.660384,4,0.638166,,0.638166,frame_00000.png,frame_00117.png,,,,,,7,hocho,R,R,8,,,frame_00000.png,frame_00117.png,,118,2.011579
hocho_R_12,QR未検出,,fourier,,,8.660384,4,0.638130,,0.638130,frame_00000.png,frame_00117.png,,,,,,8,hocho,R,R,12,,,frame_00000.png,frame_00117.png,,118,2.011579
ex_R_4,QR未検出,,fourier,,,8.660384,4,0.637561,,0.637561,frame_00000.png,frame_00117.png,,,,,,9,ex,R,R,4,,,frame_00000.png,frame_00117.png,,118,2.011579
ex_R_8,QR未検出,,fourier,,,8.660384,4,0.638049,,0.638049,frame_00000.png,frame_00117.png,,,,,,10,ex,R,R,8,,,frame_00000.png,frame_00117.png,,118,2.011579
ex_R_12,QR未検出,,fourier,,,8.660384,4,0.637921,,0.637921,frame_00000.png,frame_00117.png,,,,,,11,ex,R,R,12,,,frame_00000.png,frame_00117.png,,118,2.011579
rice_G_4,QR未検出,,fourier,,,8.660384,4,0.637104,,0.637104,frame_00000.png,frame_00117.png,,,,,,12,rice,G,G,4,,,frame_00000.png,frame_00117.png,,118,2.011579
rice_G_8,QR未検出,,fourier,,,8.660384,4,0.638126,,0.638126,frame_00000.png,frame_00117.png,,,,,,13,rice,G,G,8,,,frame_00000.png,frame_00117.png,,118,2.011579
rice_G_12,QR未検出,,fourier,,,8.660384,4,0.638184,,0.638184,frame_00000.png,frame_00117.png,,,,,,14,rice,G,G,12,,,frame_00000.png,frame_00117.png,,118,2.011579
nagaoka_fireworks_G_4,QR未検出,,fourier,,,17.679233,8,0.634821,,0.634821,frame_00000.png,frame_00117.png,,,,,,15,nagaoka_fireworks,G,G,4,,,frame_00000.png,frame_00117.png,,118,2.011579
nagaoka_fireworks_G_8,QR未検出,,fourier,,,8.660384,4,0.632573,,0.632573,frame_00000.png,frame_00117.png,,,,,,16,nagaoka_fireworks,G,G,8,,,frame_00000.png,frame_00117.png,,118,2.011579
nagaoka_fireworks_G_12,QR未検出,,fourier,,,8.660384,4,0.630380,,0.630380,frame_00000.png,frame_00117.png,,,,,,17,nagaoka_fireworks,G,G,12,,,frame_00000.png,frame_00117.png,,118,2.011579
hocho_G_4,QR未検出,,fourier,,,8.660384,4,0.638130,,0.638130,frame_00000.png,frame_00117.png,,,,,,18,hocho,G,G,4,,,frame_00000.png,frame_00117.png,,118,2.011579
hocho_G_8,QR未検出,,fourier,,,8.660384,4,0.638184,,0.638184,frame_00000.png,frame_00117.png,,,,,,19,hocho,G,G,8,,,frame_00000.png,frame_00117.png,,118,2.011579
hocho_G_12,QR未検出,,fourier,,,8.660384,4,0.638184,,0.638184,frame_00000.png,frame_00117.png,,,,,,20,hocho,G,G,12,,,frame_00000.png,frame_00117.png,,118,2.011579
ex_G_4,QR未検出,,fourier,,,8.660384,4,0.638184,,0.638184,frame_00000.png,frame_00117.png,,,,,,21,ex,G,G,4,,,frame_00000.png,frame_00117.png,,118,2.011579
