folder,frame_1,frame_2,diff_image,analysis_image,decoded_text,success,method,note,recall,precision,accuracy,noise,gt_note,task_key,diff_mode,window_n,stat_kind,fft_target_hz,diff_threshold
rice_R_4,frame_00003.png,frame_00005.png,,,,0,decode失敗,QR未検出,0.054295,0.680770,0.647013,0.014158,,accum:accum::3:None:12:None:binary:1,accum,3,,,12
rice_R_4,frame_00030.png,frame_00032.png,,,,0,decode失敗,QR未検出,0.028498,0.553013,0.638518,0.014193,,accum:accum::3:None:12:None:binary:10,accum,3,,,12
rice_R_4,frame_00009.png,frame_00011.png,,,,0,decode失敗,QR未検出,0.031208,0.576267,0.639535,0.013560,,accum:accum::3:None:12:None:binary:3,accum,3,,,12
rice_R_4,frame_00006.png,frame_00008.png,,,,0,decode失敗,QR未検出,0.031040,0.536395,0.638063,0.014834,,accum:accum::3:None:12:None:binary:2,accum,3,,,12
rice_R_4,frame_00015.png,frame_00017.png,,,,0,decode失敗,QR未検出,0.061415,0.726745,0.650461,0.016934,,accum:accum::3:None:12:None:binary:5,accum,3,,,12
rice_R_4,frame_00042.png,frame_00044.png,,,,0,decode失敗,QR未検出,0.031906,0.549312,0.638614,0.015060,,accum:accum::3:None:12:None:binary:14,accum,3,,,12
rice_R_4,frame_00021.png,frame_00023.png,,,,0,decode失敗,QR未検出,0.030924,0.583735,0.639757,0.014321,,accum:accum::3:None:12:None:binary:7,accum,3,,,12
rice_R_4,frame_00033.png,frame_00035.png,,,,0,decode失敗,QR未検出,0.027516,0.493311,0.636261,0.015330,,accum:accum::3:None:12:None:binary:11,accum,3,,,12
rice_R_4,frame_00045.png,frame_00047.png,,,,0,decode失敗,QR未検出,0.035353,0.629684,0.641825,0.013611,,accum:accum::3:None:12:None:binary:15,accum,3,,,12
rice_R_4,frame_00000.png,frame_00002.png,,,,0,decode失敗,QR未検出,0.047484,0.663081,0.645021,0.013862,,accum:accum::3:None:12:None:binary:0,accum,3,,,12
rice_R_4,frame_00018.png,frame_00020.png,,,,0,decode失敗,QR未検出,0.041351,0.557394,0.639627,0.015839,,accum:accum::3:None:12:None:binary:6,accum,3,,,12
rice_R_4,frame_00024.png,frame_00026.png,,,,0,decode失敗,QR未検出,0.045837,0.691754,0.645769,0.014142,,accum:accum::3:None:12:None:binary:8,accum,3,,,12
rice_R_4,frame_00039.png,frame_00041.png,,,,0,decode失敗,QR未検出,0.060216,0.685237,0.648365,0.014728,,accum:accum::3:None:12:None:binary:13,accum,3,,,12
rice_R_4,frame_00036.png,frame_00038.png,,,,0,decode失敗,QR未検出,0.049265,0.694490,0.646561,0.012923,,accum:accum::3:None:12:None:binary:12,accum,3,,,12
