folder,frame_1,frame_2,diff_image,analysis_image,decoded_text,success,method,note,recall,precision,accuracy,noise,gt_note,task_key,diff_mode,window_n,stat_kind,fft_target_hz,diff_threshold
rice_R_4,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.817917,0.471759,0.600939,0.472496,,fourier_num:fourier::None:7.491015718465778:0:None:gray:0,fourier,,,7.491016,0
rice_R_4,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.739043,0.481952,0.616414,0.417192,,fourier_num:fourier::None:9.982031436931557:0:None:gray:0,fourier,,,9.982031,0
rice_R_4,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.248803,0.941113,0.721305,0.002956,,fourier_num:fourier::None:14.982031436931557:0:None:gray:0,fourier,,,14.982031,0
rice_R_4,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.643854,0.449437,0.583876,0.465049,,fourier_num:fourier::None:22.5:0:None:gray:0,fourier,,,22.500000,0
rice_R_8,frame_00000.png,frame_00119.png,rice_R_8/rgb_max_fourier_f150_gray/00000-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.945262,0.563384,0.713840,0.362921,,fourier_num:fourier::None:7.491015718465778:0:None:gray:0,fourier,,,7.491016,0
rice_R_8,frame_00000.png,frame_00119.png,rice_R_8/rgb_max_fourier_f150_gray/00000-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.917905,0.594919,0.742993,0.314743,,fourier_num:fourier::None:9.982031436931557:0:None:gray:0,fourier,,,9.982031,0
rice_R_8,frame_00000.png,frame_00119.png,rice_R_8/rgb_max_fourier_f150_gray/00000-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.779084,0.957147,0.907026,0.006592,,fourier_num:fourier::None:14.982031436931557:0:None:gray:0,fourier,,,14.982031,0
rice_R_8,frame_00000.png,frame_00119.png,rice_R_8/rgb_max_fourier_f150_gray/00000-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.868409,0.634671,0.770483,0.297478,,fourier_num:fourier::None:22.5:0:None:gray:0,fourier,,,22.500000,0
rice_R_12,frame_00000.png,frame_00119.png,,,https://www.nagaoka-ct.ac.jp,1,zxing_gray_x1.0_k3_i1,,0.000428,0.002688,0.578912,0.094358,,fourier_num:fourier::None:7.491015718465778:0:None:gray:0,fourier,,,7.491016,0
rice_R_12,frame_00000.png,frame_00119.png,,,https://www.nagaoka-ct.ac.jp,1,zxing_gray_x1.0_k3_i1,,0.000337,0.002438,0.586540,0.081095,,fourier_num:fourier::None:9.982031436931557:0:None:gray:0,fourier,,,9.982031,0
rice_R_12,frame_00000.png,frame_00119.png,,,https://www.nagaoka-ct.ac.jp,1,zxing_gray_x1.0_k3_i1,,0.900749,0.975894,0.955838,0.004205,,fourier_num:fourier::None:14.982031436931557:0:None:gray:0,fourier,,,14.982031,0
rice_R_12,frame_00000.png,frame_00119.png,,,https://www.nagaoka-ct.ac.jp,1,zxing_gray_x1.0_k3_i1,,0.000375,0.003365,0.596248,0.064935,,fourier_num:fourier::None:22.5:0:None:gray:0,fourier,,,22.500000,0
nagaoka_fireworks_R_4,frame_00000.png,frame_00119.png,nagaoka_fireworks_R_4/rgb_max_fourier_f150_gray/00000-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.552877,0.469307,0.610247,0.363690,,fourier_num:fourier::None:7.491015718465778:0:None:gray:0,fourier,,,7.491016,0
nagaoka_fireworks_R_4,frame_00000.png,frame_00119.png,nagaoka_fireworks_R_4/rgb_max_fourier_f150_gray/00000-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.409907,0.448293,0.602163,0.332742,,fourier_num:fourier::None:9.982031436931557:0:None:gray:0,fourier,,,9.982031,0
nagaoka_fireworks_R_4,frame_00000.png,frame_00119.png,nagaoka_fireworks_R_4/rgb_max_fourier_f150_gray/00000-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.352695,0.931640,0.755319,0.005082,,fourier_num:fourier::None:14.982031436931557:0:None:gray:0,fourier,,,14.982031,0
nagaoka_fireworks_R_4,frame_00000.png,frame_00119.png,nagaoka_fireworks_R_4/rgb_max_fourier_f150_gray/00000-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.398556,0.445323,0.600960,0.341565,,fourier_num:fourier::None:22.5:0:None:gray:0,fourier,,,22.500000,0
nagaoka_fireworks_R_8,frame_00000.png,frame_00119.png,nagaoka_fireworks_R_8/rgb_max_fourier_f150_gray/00000-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.789366,0.606238,0.737089,0.296225,,fourier_num:fourier::None:7.491015718465778:0:None:gray:0,fourier,,,7.491016,0
nagaoka_fireworks_R_8,frame_00000.png,frame_00119.png,nagaoka_fireworks_R_8/rgb_max_fourier_f150_gray/00000-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.698327,0.653302,0.755653,0.251691,,fourier_num:fourier::None:9.982031436931557:0:None:gray:0,fourier,,,9.982031,0
