folder,frame_1,frame_2,diff_image,analysis_image,decoded_text,success,method,note,recall,precision,accuracy,noise,gt_note,task_key,diff_mode,window_n,stat_kind,fft_target_hz,diff_threshold
rice_R_4,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.017205,0.112083,0.593247,0.107339,,lockin:lockin::None:7.491015718465778:4:8:binary:0,lockin,,,7.491016,4
rice_R_4,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.915720,0.420415,0.510521,0.638110,,lockin:lockin::None:7.491015718465778:8:8:binary:0,lockin,,,7.491016,8
rice_R_4,frame_00000.png,frame_00119.png,rice_R_4/rgb_max_lockin_f150_ps8_th12/00000-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.762313,0.530374,0.668268,0.371780,,lockin:lockin::None:7.491015718465778:12:8:binary:0,lockin,,,7.491016,12
rice_R_4,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.016078,0.086758,0.580861,0.142651,,lockin:lockin::None:9.982031436931557:4:8:binary:0,lockin,,,9.982031,4
rice_R_4,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.895198,0.450528,0.565074,0.558906,,lockin:lockin::None:9.982031436931557:8:8:binary:0,lockin,,,9.982031,8
rice_R_4,frame_00000.png,frame_00119.png,rice_R_4/rgb_max_lockin_f150_ps8_th12/00000-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.671639,0.563197,0.691318,0.301754,,lockin:lockin::None:9.982031436931557:12:8:binary:0,lockin,,,9.982031,12
rice_R_4,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.003610,0.019887,0.573169,0.170897,,lockin:lockin::None:14.982031436931557:4:8:binary:0,lockin,,,14.982031,4
rice_R_4,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.985756,0.475584,0.599743,0.533495,,lockin:lockin::None:14.982031436931557:8:8:binary:0,lockin,,,14.982031,8
rice_R_4,frame_00000.png,frame_00119.png,rice_R_4/rgb_max_lockin_f150_ps8_th12/00000-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.967300,0.607000,0.760484,0.305710,,lockin:lockin::None:14.982031436931557:12:8:binary:0,lockin,,,14.982031,12
rice_R_4,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.021166,0.098980,0.574193,0.170889,,lockin:lockin::None:22.5:4:8:binary:0,lockin,,,22.500000,4
rice_R_4,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.892753,0.459376,0.579141,0.540149,,lockin:lockin::None:22.5:8:8:binary:0,lockin,,,22.500000,8
rice_R_4,frame_00000.png,frame_00119.png,rice_R_4/rgb_max_lockin_f150_ps8_th12/00000-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.653597,0.557060,0.685199,0.305452,,lockin:lockin::None:22.5:12:8:binary:0,lockin,,,22.500000,12
rice_R_8,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.000987,0.014302,0.612170,0.071614,,lockin:lockin::None:7.491015718465778:4:8:binary:0,lockin,,,7.491016,4
rice_R_8,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.017527,0.057021,0.537550,0.264674,,lockin:lockin::None:7.491015718465778:8:8:binary:0,lockin,,,7.491016,8
rice_R_8,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.943024,0.475609,0.601376,0.514410,,lockin:lockin::None:7.491015718465778:12:8:binary:0,lockin,,,7.491016,12
rice_R_8,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.005815,0.027592,0.564157,0.207060,,lockin:lockin::None:9.982031436931557:4:8:binary:0,lockin,,,9.982031,4
rice_R_8,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.937512,0.510288,0.650272,0.446070,,lockin:lockin::None:9.982031436931557:8:8:binary:0,lockin,,,9.982031,8
rice_R_8,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.774968,0.629226,0.752229,0.226150,,lockin:lockin::None:9.982031436931557:12:8:binary:0,lockin,,,9.982031,12
rice_R_8,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.998975,0.454247,0.563389,0.564743,,lockin:lockin::None:14.982031436931557:4:8:binary:0,lockin,,,14.982031,4
rice_R_8,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.997742,0.619259,0.776212,0.229202,,lockin:lockin::None:14.982031436931557:8:8:binary:0,lockin,,,14.982031,8
rice_R_8,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.995566,0.714786,0.854000,0.116954,,lockin:lockin::None:14.982031436931557:12:8:binary:0,lockin,,,14.982031,12
rice_R_8,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.002080,0.013139,0.580515,0.164350,,lockin:lockin::None:22.5:4:8:binary:0,lockin,,,22.500000,4
rice_R_8,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.972667,0.459653,0.574468,0.561190,,lockin:lockin::None:22.5:8:8:binary:0,lockin,,,22.500000,8
rice_R_8,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.864756,0.564854,0.708708,0.339878,,lockin:lockin::None:22.5:12:8:binary:0,lockin,,,22.500000,12
rice_R_12,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.000342,0.004644,0.610033,0.127546,,lockin:lockin::None:7.491015718465778:4:8:binary:0,lockin,,,7.491016,4
rice_R_12,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.987739,0.424833,0.509490,0.598560,,lockin:lockin::None:7.491015718465778:8:8:binary:0,lockin,,,7.491016,8
rice_R_12,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.927576,0.509924,0.649655,0.363346,,lockin:lockin::None:7.491015718465778:12:8:binary:0,lockin,,,7.491016,12
rice_R_12,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.000000,0.000000,0.618755,0.086611,,lockin:lockin::None:9.982031436931557:4:8:binary:0,lockin,,,9.982031,4
rice_R_12,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.004005,0.017158,0.554602,0.290231,,lockin:lockin::None:9.982031436931557:8:8:binary:0,lockin,,,9.982031,8
rice_R_12,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.968359,0.454809,0.566587,0.498045,,lockin:lockin::None:9.982031436931557:12:8:binary:0,lockin,,,9.982031,12
rice_R_12,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.999961,0.693075,0.839032,0.103058,,lockin:lockin::None:14.982031436931557:4:8:binary:0,lockin,,,14.982031,4
rice_R_12,frame_00000.png,frame_00119.png,,,https://www.nagaoka-ct.ac.jp,1,zxing_gray_x1.0_k3_i1,,0.999461,0.808054,0.913512,0.048201,,lockin:lockin::None:14.982031436931557:8:8:binary:0,lockin,,,14.982031,8
rice_R_12,frame_00000.png,frame_00119.png,,,https://www.nagaoka-ct.ac.jp,1,zxing_gray_x1.0_k3_i1,,0.999042,0.849454,0.935297,0.033943,,lockin:lockin::None:14.982031436931557:12:8:binary:0,lockin,,,14.982031,12
rice_R_12,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.000000,0.000000,0.613064,0.116361,,lockin:lockin::None:22.5:4:8:binary:0,lockin,,,22.500000,4
rice_R_12,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.001016,0.002965,0.512767,0.354579,,lockin:lockin::None:22.5:8:8:binary:0,lockin,,,22.500000,8
rice_R_12,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.985019,0.492573,0.625735,0.440363,,lockin:lockin::None:22.5:12:8:binary:0,lockin,,,22.500000,12
nagaoka_fireworks_R_4,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.073242,0.233635,0.575831,0.238238,,lockin:lockin::None:7.491015718465778:4:8:binary:0,lockin,,,7.491016,4
nagaoka_fireworks_R_4,frame_00000.png,frame_00119.png,nagaoka_fireworks_R_4/rgb_max_lockin_f150_ps8_th8/00000-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.162351,0.237055,0.505623,0.457288,,lockin:lockin::None:7.491015718465778:8:8:binary:0,lockin,,,7.491016,8
nagaoka_fireworks_R_4,frame_00000.png,frame_00119.png,nagaoka_fireworks_R_4/rgb_max_lockin_f150_ps8_th12/00000-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.749724,0.426021,0.541892,0.412937,,lockin:lockin::None:7.491015718465778:12:8:binary:0,lockin,,,7.491016,12
nagaoka_fireworks_R_4,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.107021,0.244085,0.554964,0.319352,,lockin:lockin::None:9.982031436931557:4:8:binary:0,lockin,,,9.982031,4
nagaoka_fireworks_R_4,frame_00000.png,frame_00119.png,nagaoka_fireworks_R_4/rgb_max_lockin_f150_ps8_th8/00000-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.801646,0.416849,0.520289,0.469074,,lockin:lockin::None:9.982031436931557:8:8:binary:0,lockin,,,9.982031,8
nagaoka_fireworks_R_4,frame_00000.png,frame_00119.png,nagaoka_fireworks_R_4/rgb_max_lockin_f150_ps8_th12/00000-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.699295,0.456516,0.588112,0.338024,,lockin:lockin::None:9.982031436931557:12:8:binary:0,lockin,,,9.982031,12
nagaoka_fireworks_R_4,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.781308,0.514597,0.652643,0.285636,,lockin:lockin::None:14.982031436931557:4:8:binary:0,lockin,,,14.982031,4
nagaoka_fireworks_R_4,frame_00000.png,frame_00119.png,nagaoka_fireworks_R_4/rgb_max_lockin_f150_ps8_th8/00000-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.651002,0.760129,0.798482,0.061726,,lockin:lockin::None:14.982031436931557:8:8:binary:0,lockin,,,14.982031,8
nagaoka_fireworks_R_4,frame_00000.png,frame_00119.png,nagaoka_fireworks_R_4/rgb_max_lockin_f150_ps8_th12/00000-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.545642,0.870175,0.805267,0.019277,,lockin:lockin::None:14.982031436931557:12:8:binary:0,lockin,,,14.982031,12
nagaoka_fireworks_R_4,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.137931,0.230272,0.519085,0.421150,,lockin:lockin::None:22.5:4:8:binary:0,lockin,,,22.500000,4
nagaoka_fireworks_R_4,frame_00000.png,frame_00119.png,nagaoka_fireworks_R_4/rgb_max_lockin_f150_ps8_th8/00000-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.722526,0.438068,0.562278,0.375059,,lockin:lockin::None:22.5:8:8:binary:0,lockin,,,22.500000,8
nagaoka_fireworks_R_4,frame_00000.png,frame_00119.png,nagaoka_fireworks_R_4/rgb_max_lockin_f150_ps8_th12/00000-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.547828,0.501324,0.637584,0.232349,,lockin:lockin::None:22.5:12:8:binary:0,lockin,,,22.500000,12
nagaoka_fireworks_R_8,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.060986,0.189761,0.564052,0.265297,,lockin:lockin::None:7.491015718465778:4:8:binary:0,lockin,,,7.491016,4
nagaoka_fireworks_R_8,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.110136,0.189946,0.505846,0.466325,,lockin:lockin::None:7.491015718465778:8:8:binary:0,lockin,,,7.491016,8
nagaoka_fireworks_R_8,frame_00000.png,frame_00119.png,nagaoka_fireworks_R_8/rgb_max_lockin_f150_ps8_th12/00000-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.842742,0.438162,0.550072,0.413156,,lockin:lockin::None:7.491015718465778:12:8:binary:0,lockin,,,7.491016,12
nagaoka_fireworks_R_8,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.067798,0.182895,0.551082,0.318365,,lockin:lockin::None:9.982031436931557:4:8:binary:0,lockin,,,9.982031,4
nagaoka_fireworks_R_8,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.885994,0.418270,0.510682,0.492165,,lockin:lockin::None:9.982031436931557:8:8:binary:0,lockin,,,9.982031,8
nagaoka_fireworks_R_8,frame_00000.png,frame_00119.png,nagaoka_fireworks_R_8/rgb_max_lockin_f150_ps8_th12/00000-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.842261,0.460616,0.584182,0.368888,,lockin:lockin::None:9.982031436931557:12:8:binary:0,lockin,,,9.982031,12
nagaoka_fireworks_R_8,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.884680,0.495730,0.630993,0.319804,,lockin:lockin::None:14.982031436931557:4:8:binary:0,lockin,,,14.982031,4
nagaoka_fireworks_R_8,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.862397,0.665686,0.792566,0.104251,,lockin:lockin::None:14.982031436931557:8:8:binary:0,lockin,,,14.982031,8
nagaoka_fireworks_R_8,frame_00000.png,frame_00119.png,nagaoka_fireworks_R_8/rgb_max_lockin_f150_ps8_th12/00000-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.838766,0.749778,0.839655,0.056660,,lockin:lockin::None:14.982031436931557:12:8:binary:0,lockin,,,14.982031,12
nagaoka_fireworks_R_8,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.092387,0.182042,0.519231,0.419618,,lockin:lockin::None:22.5:4:8:binary:0,lockin,,,22.500000,4
nagaoka_fireworks_R_8,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.840735,0.447594,0.564976,0.394319,,lockin:lockin::None:22.5:8:8:binary:0,lockin,,,22.500000,8
nagaoka_fireworks_R_8,frame_00000.png,frame_00119.png,nagaoka_fireworks_R_8/rgb_max_lockin_f150_ps8_th12/00000-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.718025,0.516143,0.652857,0.253434,,lockin:lockin::None:22.5:12:8:binary:0,lockin,,,22.500000,12
nagaoka_fireworks_R_12,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.002676,0.014237,0.570148,0.294921,,lockin:lockin::None:7.491015718465778:4:8:binary:0,lockin,,,7.491016,4
nagaoka_fireworks_R_12,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.977192,0.420691,0.502616,0.502217,,lockin:lockin::None:7.491015718465778:8:8:binary:0,lockin,,,7.491016,8
nagaoka_fireworks_R_12,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.898385,0.454752,0.571551,0.369669,,lockin:lockin::None:7.491015718465778:12:8:binary:0,lockin,,,7.491016,12
nagaoka_fireworks_R_12,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.002267,0.010244,0.557736,0.345392,,lockin:lockin::None:9.982031436931557:4:8:binary:0,lockin,,,9.982031,4
nagaoka_fireworks_R_12,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.964941,0.430281,0.522875,0.457366,,lockin:lockin::None:9.982031436931557:8:8:binary:0,lockin,,,9.982031,8
nagaoka_fireworks_R_12,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.870234,0.474896,0.603091,0.320447,,lockin:lockin::None:9.982031436931557:12:8:binary:0,lockin,,,9.982031,12
nagaoka_fireworks_R_12,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.999639,0.642725,0.797899,0.110625,,lockin:lockin::None:14.982031436931557:4:8:binary:0,lockin,,,14.982031,4
nagaoka_fireworks_R_12,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.998898,0.758290,0.883869,0.060489,,lockin:lockin::None:14.982031436931557:8:8:binary:0,lockin,,,14.982031,8
nagaoka_fireworks_R_12,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.997473,0.818087,0.918464,0.041959,,lockin:lockin::None:14.982031436931557:12:8:binary:0,lockin,,,14.982031,12
nagaoka_fireworks_R_12,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.004698,0.016278,0.535039,0.409117,,lockin:lockin::None:22.5:4:8:binary:0,lockin,,,22.500000,4
nagaoka_fireworks_R_12,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.949363,0.448270,0.556892,0.402934,,lockin:lockin::None:22.5:8:8:binary:0,lockin,,,22.500000,8
nagaoka_fireworks_R_12,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.809286,0.494641,0.630158,0.263637,,lockin:lockin::None:22.5:12:8:binary:0,lockin,,,22.500000,12
hocho_R_4,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.002099,0.071805,0.627434,0.027819,,lockin:lockin::None:7.491015718465778:4:8:binary:0,lockin,,,7.491016,4
hocho_R_4,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.027925,0.133219,0.580642,0.188266,,lockin:lockin::None:7.491015718465778:8:8:binary:0,lockin,,,7.491016,8
hocho_R_4,frame_00000.png,frame_00119.png,hocho_R_4/rgb_max_lockin_f150_ps8_th12/00000-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.121448,0.210305,0.514919,0.372950,,lockin:lockin::None:7.491015718465778:12:8:binary:0,lockin,,,7.491016,12
hocho_R_4,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.000833,0.033710,0.628158,0.025338,,lockin:lockin::None:9.982031436931557:4:8:binary:0,lockin,,,9.982031,4
hocho_R_4,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.014889,0.092419,0.588799,0.167331,,lockin:lockin::None:9.982031436931557:8:8:binary:0,lockin,,,9.982031,8
hocho_R_4,frame_00000.png,frame_00119.png,hocho_R_4/rgb_max_lockin_f150_ps8_th12/00000-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.075543,0.168541,0.528534,0.332363,,lockin:lockin::None:9.982031436931557:12:8:binary:0,lockin,,,9.982031,12
hocho_R_4,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.007702,0.031464,0.553157,0.252158,,lockin:lockin::None:14.982031436931557:4:8:binary:0,lockin,,,14.982031,4
hocho_R_4,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.954350,0.519458,0.662518,0.397663,,lockin:lockin::None:14.982031436931557:8:8:binary:0,lockin,,,14.982031,8
hocho_R_4,frame_00000.png,frame_00119.png,hocho_R_4/rgb_max_lockin_f150_ps8_th12/00000-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.862700,0.661596,0.789709,0.155388,,lockin:lockin::None:14.982031436931557:12:8:binary:0,lockin,,,14.982031,12
hocho_R_4,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.014851,0.101085,0.593929,0.158011,,lockin:lockin::None:22.5:4:8:binary:0,lockin,,,22.500000,4
hocho_R_4,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.829721,0.414714,0.512493,0.565585,,lockin:lockin::None:22.5:8:8:binary:0,lockin,,,22.500000,8
hocho_R_4,frame_00000.png,frame_00119.png,hocho_R_4/rgb_max_lockin_f150_ps8_th12/00000-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.525487,0.449982,0.594071,0.310434,,lockin:lockin::None:22.5:12:8:binary:0,lockin,,,22.500000,12
hocho_R_8,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.000154,0.007970,0.629619,0.032714,,lockin:lockin::None:7.491015718465778:4:8:binary:0,lockin,,,7.491016,4
hocho_R_8,frame_00000.png,frame_00119.png,hocho_R_8/rgb_max_lockin_f150_ps8_th8/00000-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.007563,0.047847,0.584581,0.197471,,lockin:lockin::None:7.491015718465778:8:8:binary:0,lockin,,,7.491016,8
hocho_R_8,frame_00000.png,frame_00119.png,hocho_R_8/rgb_max_lockin_f150_ps8_th12/00000-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.052918,0.113420,0.505417,0.382663,,lockin:lockin::None:7.491015718465778:12:8:binary:0,lockin,,,7.491016,12
hocho_R_8,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.000120,0.005714,0.628965,0.036158,,lockin:lockin::None:9.982031436931557:4:8:binary:0,lockin,,,9.982031,4
hocho_R_8,frame_00000.png,frame_00119.png,hocho_R_8/rgb_max_lockin_f150_ps8_th8/00000-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.004251,0.028057,0.584556,0.199784,,lockin:lockin::None:9.982031436931557:8:8:binary:0,lockin,,,9.982031,8
hocho_R_8,frame_00000.png,frame_00119.png,hocho_R_8/rgb_max_lockin_f150_ps8_th12/00000-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.034433,0.081702,0.508379,0.369610,,lockin:lockin::None:9.982031436931557:12:8:binary:0,lockin,,,9.982031,12
hocho_R_8,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.999817,0.471633,0.592818,0.475429,,lockin:lockin::None:14.982031436931557:4:8:binary:0,lockin,,,14.982031,4
hocho_R_8,frame_00000.png,frame_00119.png,hocho_R_8/rgb_max_lockin_f150_ps8_th8/00000-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.991123,0.689995,0.834922,0.114808,,lockin:lockin::None:14.982031436931557:8:8:binary:0,lockin,,,14.982031,8
hocho_R_8,frame_00000.png,frame_00119.png,hocho_R_8/rgb_max_lockin_f150_ps8_th12/00000-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.926377,0.815998,0.897315,0.042881,,lockin:lockin::None:14.982031436931557:12:8:binary:0,lockin,,,14.982031,12
hocho_R_8,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.000034,0.001327,0.627327,0.049129,,lockin:lockin::None:22.5:4:8:binary:0,lockin,,,22.500000,4
hocho_R_8,frame_00000.png,frame_00119.png,hocho_R_8/rgb_max_lockin_f150_ps8_th8/00000-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.005969,0.034002,0.577064,0.227776,,lockin:lockin::None:22.5:8:8:binary:0,lockin,,,22.500000,8
hocho_R_8,frame_00000.png,frame_00119.png,hocho_R_8/rgb_max_lockin_f150_ps8_th12/00000-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.951260,0.417719,0.500322,0.610011,,lockin:lockin::None:22.5:12:8:binary:0,lockin,,,22.500000,12
hocho_R_12,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.000039,0.004156,0.633192,0.024745,,lockin:lockin::None:7.491015718465778:4:8:binary:0,lockin,,,7.491016,4
hocho_R_12,frame_00000.png,frame_00119.png,hocho_R_12/rgb_max_lockin_f150_ps8_th8/00000-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.002152,0.023332,0.604576,0.169664,,lockin:lockin::None:7.491015718465778:8:8:binary:0,lockin,,,7.491016,8
hocho_R_12,frame_00000.png,frame_00119.png,hocho_R_12/rgb_max_lockin_f150_ps8_th12/00000-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.019992,0.065958,0.540899,0.335685,,lockin:lockin::None:7.491015718465778:12:8:binary:0,lockin,,,7.491016,12
hocho_R_12,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.000039,0.001775,0.628673,0.055453,,lockin:lockin::None:9.982031436931557:4:8:binary:0,lockin,,,9.982031,4
