folder,decode_note,decode_variant,diff_mode,window_n,stat_kind,fft_target_hz,diff_threshold,pixel_acc_all,pixel_acc_ok,pixel_acc_best,best_pair_frame_1,best_pair_frame_2,video,display_rate,exposure,fluorescent,camera_fps,cond,image,channel,token,intensity,decode_decoded_text,decode_method,decode_frame_1,decode_frame_2,note,analysis_frames,extract_sec
rice_R_4,QR未検出,,pair,,,,2,0.710041,,0.720229,frame_00116.png,frame_00117.png,r90_e250_f1.mp4,90 Hz,1/250,蛍光灯あり,59.982 fps,0,rice,R,R,4,,,frame_00000.png,frame_00001.png,,120,2.000599
rice_R_8,QR未検出,,pair,,,,4,0.812427,,0.847625,frame_00118.png,frame_00119.png,,,,,,1,rice,R,R,8,,,frame_00002.png,frame_00003.png,,120,2.000599
rice_R_12,,zxing_gray,pair,,,,8,0.873977,0.929133,0.930486,frame_00001.png,frame_00002.png,,,,,,2,rice,R,R,12,https://www.nagaoka-ct.ac.jp,zxing_gray_x1.0_k3_i1,frame_00117.png,frame_00118.png,,120,2.000599
nagaoka_fireworks_R_4,QR未検出,,pair,,,,4,0.668992,,0.725022,frame_00117.png,frame_00118.png,,,,,,3,nagaoka_fireworks,R,R,4,,,frame_00117.png,frame_00118.png,,120,2.000599
nagaoka_fireworks_R_8,QR未検出,,pair,,,,4,0.767201,,0.827145,frame_00000.png,frame_00001.png,,,,,,4,nagaoka_fireworks,R,R,8,,,frame_00002.png,frame_00003.png,,120,2.000599
nagaoka_fireworks_R_12,QR未検出,,pair,,,,8,0.866436,,0.919799,frame_00000.png,frame_00001.png,,,,,,5,nagaoka_fireworks,R,R,12,,,frame_00000.png,frame_00001.png,,120,2.000599
hocho_R_4,QR未検出,,pair,,,,4,0.642607,,0.657052,frame_00000.png,frame_00001.png,,,,,,6,hocho,R,R,4,,,frame_00002.png,frame_00003.png,,120,2.000599
hocho_R_8,QR未検出,,pair,,,,4,0.734752,,0.746306,frame_00001.png,frame_00002.png,,,,,,7,hocho,R,R,8,,,frame_00117.png,frame_00118.png,,120,2.000599
hocho_R_12,QR未検出,,pair,,,,6,0.824660,,0.833788,frame_00001.png,frame_00002.png,,,,,,8,hocho,R,R,12,,,frame_00118.png,frame_00119.png,,120,2.000599
ex_R_4,QR未検出,,pair,,,,4,0.734406,,0.798070,frame_00117.png,frame_00118.png,,,,,,9,ex,R,R,4,,,frame_00118.png,frame_00119.png,,120,2.000599
ex_R_8,,zxing_median_otsu,pair,,,,6,0.849006,0.911082,0.923508,frame_00118.png,frame_00119.png,,,,,,10,ex,R,R,8,https://www.nagaoka-ct.ac.jp,zxing_median_otsu_x1.0_k3_i1,frame_00000.png,frame_00001.png,,120,2.000599
ex_R_12,,zxing_gray,pair,,,,10,0.905687,0.935359,0.936907,frame_00116.png,frame_00117.png,,,,,,11,ex,R,R,12,https://www.nagaoka-ct.ac.jp,zxing_gray_x1.0_k3_i1,frame_00000.png,frame_00001.png,,120,2.000599
rice_G_4,QR未検出,,pair,,,,2,0.707135,,0.739030,frame_00002.png,frame_00003.png,,,,,,12,rice,G,G,4,,,frame_00116.png,frame_00117.png,,120,2.000599
rice_G_8,QR未検出,,pair,,,,4,0.783985,,0.822006,frame_00002.png,frame_00003.png,,,,,,13,rice,G,G,8,,,frame_00118.png,frame_00119.png,,120,2.000599
rice_G_12,,zxing_gray,pair,,,,8,0.893264,0.940345,0.940826,frame_00118.png,frame_00119.png,,,,,,14,rice,G,G,12,https://www.nagaoka-ct.ac.jp,zxing_gray_x1.0_k3_i1,frame_00002.png,frame_00003.png,,120,2.000599
nagaoka_fireworks_G_4,QR未検出,,pair,,,,2,0.659068,,0.673727,frame_00117.png,frame_00118.png,,,,,,15,nagaoka_fireworks,G,G,4,,,frame_00117.png,frame_00118.png,,120,2.000599
nagaoka_fireworks_G_8,QR未検出,,pair,,,,4,0.731109,,0.805300,frame_00117.png,frame_00118.png,,,,,,16,nagaoka_fireworks,G,G,8,,,frame_00001.png,frame_00002.png,,120,2.000599
nagaoka_fireworks_G_12,QR未検出,,pair,,,,8,0.855175,,0.917508,frame_00117.png,frame_00118.png,,,,,,17,nagaoka_fireworks,G,G,12,,,frame_00001.png,frame_00002.png,,120,2.000599
hocho_G_4,QR未検出,,pair,,,,6,0.648190,,0.675935,frame_00117.png,frame_00118.png,,,,,,18,hocho,G,G,4,,,frame_00118.png,frame_00119.png,,120,2.000599
hocho_G_8,QR未検出,,pair,,,,6,0.686262,,0.736755,frame_00001.png,frame_00002.png,,,,,,19,hocho,G,G,8,,,frame_00118.png,frame_00119.png,,120,2.000599
hocho_G_12,QR未検出,,pair,,,,8,0.849394,,0.907955,frame_00118.png,frame_00119.png,,,,,,20,hocho,G,G,12,,,frame_00118.png,frame_00119.png,,120,2.000599
