folder,decode_note,decode_variant,diff_mode,window_n,stat_kind,fft_target_hz,diff_threshold,pixel_acc_all,pixel_acc_ok,pixel_acc_best,best_pair_frame_1,best_pair_frame_2,video,display_rate,exposure,fluorescent,camera_fps,cond,image,channel,token,intensity,decode_decoded_text,decode_method,decode_frame_1,decode_frame_2,note,analysis_frames,extract_sec
rice_R_4,QR未検出,,accum,3,,,32,0.635763,,0.635956,frame_00003.png,frame_00005.png,r90_e60_f1.mp4,90 Hz,1/60,蛍光灯あり,58.696 fps,0,rice,R,R,4,,,frame_00105.png,frame_00107.png,,118,2.010349
rice_R_8,QR未検出,,accum,5,,,12,0.644451,,0.656517,frame_00110.png,frame_00114.png,,,,,,1,rice,R,R,8,,,frame_00110.png,frame_00114.png,,118,2.010349
rice_R_12,,zxing_median_otsu,accum,5,,,12,0.910103,0.911713,0.918600,frame_00000.png,frame_00004.png,,,,,,2,rice,R,R,12,https://www.nagaoka-ct.ac.jp,zxing_median_otsu_x1.0_k7_i1,frame_00095.png,frame_00099.png,,118,2.010349
nagaoka_fireworks_R_4,QR未検出,,accum,3,,,32,0.635758,,0.636075,frame_00003.png,frame_00005.png,,,,,,3,nagaoka_fireworks,R,R,4,,,frame_00093.png,frame_00095.png,,118,2.010349
nagaoka_fireworks_R_8,QR未検出,,accum,5,,,12,0.650577,,0.669830,frame_00070.png,frame_00074.png,,,,,,4,nagaoka_fireworks,R,R,8,,,frame_00110.png,frame_00114.png,,118,2.010349
nagaoka_fireworks_R_12,QR未検出,,accum,5,,,12,0.837893,,0.847966,frame_00060.png,frame_00064.png,,,,,,5,nagaoka_fireworks,R,R,12,,,frame_00110.png,frame_00114.png,,118,2.010349
hocho_R_4,QR未検出,,accum,3,,,32,0.635730,,0.635960,frame_00093.png,frame_00095.png,,,,,,6,hocho,R,R,4,,,frame_00114.png,frame_00116.png,,118,2.010349
hocho_R_8,QR未検出,,accum,5,,,12,0.636819,,0.643429,frame_00055.png,frame_00059.png,,,,,,7,hocho,R,R,8,,,frame_00095.png,frame_00099.png,,118,2.010349
hocho_R_12,QR未検出,,accum,5,,,12,0.812083,,0.820776,frame_00055.png,frame_00059.png,,,,,,8,hocho,R,R,12,,,frame_00110.png,frame_00114.png,,118,2.010349
ex_R_4,QR未検出,,accum,5,,,12,0.639003,,0.646152,frame_00045.png,frame_00049.png,,,,,,9,ex,R,R,4,,,frame_00110.png,frame_00114.png,,118,2.010349
