folder,frame_1,frame_2,diff_image,analysis_image,decoded_text,success,method,note,recall,precision,accuracy,noise,gt_note,task_key,diff_mode,window_n,stat_kind,fft_target_hz,diff_threshold
rice_R_4,frame_00009.png,frame_00011.png,,,,0,decode失敗,QR未検出,0.041805,0.367569,0.621975,0.042658,,accum:accum::3:None:8:None:binary:3,accum,3,,,8
rice_R_4,frame_00012.png,frame_00014.png,,,,0,decode失敗,QR未検出,0.037647,0.379542,0.624260,0.039922,,accum:accum::3:None:8:None:binary:4,accum,3,,,8
rice_R_4,frame_00027.png,frame_00029.png,,,,0,decode失敗,QR未検出,0.041442,0.366334,0.621931,0.043540,,accum:accum::3:None:8:None:binary:9,accum,3,,,8
rice_R_4,frame_00003.png,frame_00005.png,,,,0,decode失敗,QR未検出,0.035516,0.366314,0.623516,0.038992,,accum:accum::3:None:8:None:binary:1,accum,3,,,8
rice_R_4,frame_00033.png,frame_00035.png,,,,0,decode失敗,QR未検出,0.043235,0.348971,0.619296,0.045822,,accum:accum::3:None:8:None:binary:11,accum,3,,,8
rice_R_4,frame_00024.png,frame_00026.png,,,,0,decode失敗,QR未検出,0.046463,0.384161,0.622746,0.046439,,accum:accum::3:None:8:None:binary:8,accum,3,,,8
rice_R_4,frame_00018.png,frame_00020.png,,,,0,decode失敗,QR未検出,0.047421,0.378722,0.621884,0.045593,,accum:accum::3:None:8:None:binary:6,accum,3,,,8
rice_R_4,frame_00030.png,frame_00032.png,,,,0,decode失敗,QR未検出,0.043864,0.372892,0.622055,0.045326,,accum:accum::3:None:8:None:binary:10,accum,3,,,8
rice_R_4,frame_00045.png,frame_00047.png,,,,0,decode失敗,QR未検出,0.047917,0.409869,0.625296,0.040805,,accum:accum::3:None:8:None:binary:15,accum,3,,,8
rice_R_4,frame_00036.png,frame_00038.png,,,,0,decode失敗,QR未検出,0.051770,0.413796,0.625114,0.043687,,accum:accum::3:None:8:None:binary:12,accum,3,,,8
rice_R_4,frame_00000.png,frame_00002.png,,,,0,decode失敗,QR未検出,0.065701,0.384841,0.618600,0.055671,,accum:accum::3:None:8:None:binary:0,accum,3,,,8
rice_R_4,frame_00042.png,frame_00044.png,,,,0,decode失敗,QR未検出,0.047178,0.380387,0.622141,0.044309,,accum:accum::3:None:8:None:binary:14,accum,3,,,8
rice_R_4,frame_00021.png,frame_00023.png,,,,0,decode失敗,QR未検出,0.049767,0.427069,0.626792,0.047668,,accum:accum::3:None:8:None:binary:7,accum,3,,,8
rice_R_4,frame_00015.png,frame_00017.png,,,,0,decode失敗,QR未検出,0.039225,0.361881,0.622041,0.043172,,accum:accum::3:None:8:None:binary:5,accum,3,,,8
