folder,frame_1,frame_2,diff_image,analysis_image,decoded_text,success,method,note,recall,precision,accuracy,noise,gt_note,task_key,diff_mode,window_n,stat_kind,fft_target_hz,diff_threshold
rice_R_4,frame_00000.png,frame_00002.png,,,,0,decode失敗,QR未検出,0.394747,0.347186,0.505508,0.313366,,accum_num:accum::3:None:0:None:gray:0,accum,3,,,0
rice_R_4,frame_00009.png,frame_00011.png,,,,0,decode失敗,QR未検出,0.336154,0.371588,0.547770,0.297064,,accum_num:accum::3:None:0:None:gray:3,accum,3,,,0
rice_R_4,frame_00012.png,frame_00014.png,,,,0,decode失敗,QR未検出,0.318785,0.347501,0.530353,0.286578,,accum_num:accum::3:None:0:None:gray:4,accum,3,,,0
rice_R_4,frame_00033.png,frame_00035.png,,,,0,decode失敗,QR未検出,0.280475,0.360394,0.553288,0.254222,,accum_num:accum::3:None:0:None:gray:11,accum,3,,,0
rice_R_4,frame_00021.png,frame_00023.png,,,,0,decode失敗,QR未検出,0.265399,0.361939,0.558728,0.249720,,accum_num:accum::3:None:0:None:gray:7,accum,3,,,0
rice_R_4,frame_00030.png,frame_00032.png,,,,0,decode失敗,QR未検出,0.282401,0.373502,0.562832,0.242576,,accum_num:accum::3:None:0:None:gray:10,accum,3,,,0
rice_R_4,frame_00045.png,frame_00047.png,,,,0,decode失敗,QR未検出,0.270734,0.370903,0.563868,0.226989,,accum_num:accum::3:None:0:None:gray:15,accum,3,,,0
rice_R_4,frame_00015.png,frame_00017.png,,,,0,decode失敗,QR未検出,0.225883,0.372743,0.576429,0.199012,,accum_num:accum::3:None:0:None:gray:5,accum,3,,,0
rice_R_4,frame_00018.png,frame_00020.png,,,,0,decode失敗,QR未検出,0.276823,0.357429,0.551988,0.247108,,accum_num:accum::3:None:0:None:gray:6,accum,3,,,0
rice_R_4,frame_00036.png,frame_00038.png,rice_R_4/rgb_max_accum_n3_gray/00036-00038-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.237364,0.392417,0.585268,0.197529,,accum_num:accum::3:None:0:None:gray:12,accum,3,,,0
rice_R_4,frame_00042.png,frame_00044.png,,,,0,decode失敗,QR未検出,0.280809,0.361662,0.554196,0.242303,,accum_num:accum::3:None:0:None:gray:14,accum,3,,,0
rice_R_4,frame_00027.png,frame_00029.png,,,,0,decode失敗,QR未検出,0.286282,0.356863,0.548753,0.255532,,accum_num:accum::3:None:0:None:gray:9,accum,3,,,0
rice_R_4,frame_00003.png,frame_00005.png,,,,0,decode失敗,QR未検出,0.269347,0.343985,0.543369,0.252033,,accum_num:accum::3:None:0:None:gray:1,accum,3,,,0
rice_R_4,frame_00039.png,frame_00041.png,,,,0,decode失敗,QR未検出,0.270453,0.368309,0.562056,0.239964,,accum_num:accum::3:None:0:None:gray:13,accum,3,,,0
rice_R_4,frame_00024.png,frame_00026.png,,,,0,decode失敗,QR未検出,0.236038,0.378648,0.577509,0.198065,,accum_num:accum::3:None:0:None:gray:8,accum,3,,,0
rice_R_4,frame_00006.png,frame_00008.png,,,,0,decode失敗,QR未検出,0.238427,0.362175,0.566437,0.197972,,accum_num:accum::3:None:0:None:gray:2,accum,3,,,0
rice_R_4,frame_00057.png,frame_00059.png,,,,0,decode失敗,QR未検出,0.271287,0.367467,0.561217,0.238995,,accum_num:accum::3:None:0:None:gray:19,accum,3,,,0
rice_R_4,frame_00048.png,frame_00050.png,,,,0,decode失敗,QR未検出,0.272904,0.375577,0.566675,0.236609,,accum_num:accum::3:None:0:None:gray:16,accum,3,,,0
rice_R_4,frame_00063.png,frame_00065.png,,,,0,decode失敗,QR未検出,0.287942,0.342011,0.535406,0.253225,,accum_num:accum::3:None:0:None:gray:21,accum,3,,,0
rice_R_4,frame_00069.png,frame_00071.png,,,,0,decode失敗,QR未検出,0.315495,0.355932,0.539305,0.284321,,accum_num:accum::3:None:0:None:gray:23,accum,3,,,0
rice_R_4,frame_00060.png,frame_00062.png,,,,0,decode失敗,QR未検出,0.276742,0.389164,0.575182,0.237351,,accum_num:accum::3:None:0:None:gray:20,accum,3,,,0
rice_R_4,frame_00051.png,frame_00053.png,,,,0,decode失敗,QR未検出,0.273357,0.369464,0.562145,0.238581,,accum_num:accum::3:None:0:None:gray:17,accum,3,,,0
rice_R_4,frame_00054.png,frame_00056.png,,,,0,decode失敗,QR未検出,0.276089,0.366385,0.559132,0.242506,,accum_num:accum::3:None:0:None:gray:18,accum,3,,,0
rice_R_4,frame_00066.png,frame_00068.png,,,,0,decode失敗,QR未検出,0.396473,0.365154,0.525571,0.306187,,accum_num:accum::3:None:0:None:gray:22,accum,3,,,0
rice_R_4,frame_00072.png,frame_00074.png,,,,0,decode失敗,QR未検出,0.312000,0.365441,0.548713,0.263080,,accum_num:accum::3:None:0:None:gray:24,accum,3,,,0
rice_R_4,frame_00084.png,frame_00086.png,,,,0,decode失敗,QR未検出,0.270853,0.373415,0.565641,0.242002,,accum_num:accum::3:None:0:None:gray:28,accum,3,,,0
rice_R_4,frame_00078.png,frame_00080.png,,,,0,decode失敗,QR未検出,0.302317,0.376166,0.559986,0.265269,,accum_num:accum::3:None:0:None:gray:26,accum,3,,,0
rice_R_4,frame_00090.png,frame_00092.png,,,,0,decode失敗,QR未検出,0.287679,0.367281,0.556733,0.259388,,accum_num:accum::3:None:0:None:gray:30,accum,3,,,0
rice_R_4,frame_00075.png,frame_00077.png,,,,0,decode失敗,QR未検出,0.331248,0.344072,0.522852,0.299159,,accum_num:accum::3:None:0:None:gray:25,accum,3,,,0
rice_R_4,frame_00081.png,frame_00083.png,,,,0,decode失敗,QR未検出,0.278887,0.387340,0.573495,0.235167,,accum_num:accum::3:None:0:None:gray:27,accum,3,,,0
rice_R_4,frame_00093.png,frame_00095.png,,,,0,decode失敗,QR未検出,0.251772,0.384839,0.577733,0.203153,,accum_num:accum::3:None:0:None:gray:31,accum,3,,,0
rice_R_4,frame_00087.png,frame_00089.png,,,,0,decode失敗,QR未検出,0.361376,0.356683,0.526459,0.309898,,accum_num:accum::3:None:0:None:gray:29,accum,3,,,0
rice_R_4,frame_00105.png,frame_00107.png,,,,0,decode失敗,QR未検出,0.276842,0.380790,0.569420,0.238689,,accum_num:accum::3:None:0:None:gray:35,accum,3,,,0
rice_R_4,frame_00102.png,frame_00104.png,,,,0,decode失敗,QR未検出,0.210716,0.369215,0.578247,0.184890,,accum_num:accum::3:None:0:None:gray:34,accum,3,,,0
rice_R_4,frame_00108.png,frame_00110.png,,,,0,decode失敗,QR未検出,0.327811,0.374730,0.552600,0.286782,,accum_num:accum::3:None:0:None:gray:36,accum,3,,,0
rice_R_4,frame_00099.png,frame_00101.png,,,,0,decode失敗,QR未検出,0.273204,0.381133,0.570492,0.231856,,accum_num:accum::3:None:0:None:gray:33,accum,3,,,0
rice_R_4,frame_00111.png,frame_00113.png,,,,0,decode失敗,QR未検出,0.254514,0.363052,0.562566,0.223016,,accum_num:accum::3:None:0:None:gray:37,accum,3,,,0
