folder,frame_1,frame_2,diff_image,analysis_image,decoded_text,success,method,note,recall,precision,accuracy,noise,gt_note,task_key,diff_mode,window_n,stat_kind,fft_target_hz,diff_threshold
rice_R_4,frame_00000.png,frame_00119.png,rice_R_4/rgb_max_lockin_f147_ps8_gray/00000-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.182772,0.373549,0.587620,0.170475,,lockin_num:lockin::None:9.678487332039936:0:4:gray:0,lockin,,,9.678487,0
rice_R_4,frame_00000.png,frame_00119.png,rice_R_4/rgb_max_lockin_f147_ps8_gray/00000-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.182772,0.373549,0.587620,0.170475,,lockin_num:lockin::None:9.678487332039936:0:8:gray:0,lockin,,,9.678487,0
rice_R_4,frame_00000.png,frame_00119.png,rice_R_4/rgb_max_lockin_f147_ps8_gray/00000-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.182772,0.373549,0.587620,0.170475,,lockin_num:lockin::None:9.678487332039936:0:16:gray:0,lockin,,,9.678487,0
rice_R_4,frame_00000.png,frame_00119.png,rice_R_4/rgb_max_lockin_f147_ps8_gray/00000-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.145868,0.377326,0.598223,0.138967,,lockin_num:lockin::None:14.678487332039936:0:4:gray:0,lockin,,,14.678487,0
rice_R_4,frame_00000.png,frame_00119.png,rice_R_4/rgb_max_lockin_f147_ps8_gray/00000-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.145868,0.377326,0.598223,0.138967,,lockin_num:lockin::None:14.678487332039936:0:8:gray:0,lockin,,,14.678487,0
rice_R_4,frame_00000.png,frame_00119.png,rice_R_4/rgb_max_lockin_f147_ps8_gray/00000-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.145868,0.377326,0.598223,0.138967,,lockin_num:lockin::None:14.678487332039936:0:16:gray:0,lockin,,,14.678487,0
rice_R_4,frame_00000.png,frame_00119.png,rice_R_4/rgb_max_lockin_f147_ps8_gray/00000-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.181937,0.372825,0.587480,0.159923,,lockin_num:lockin::None:15.643025335920129:0:4:gray:0,lockin,,,15.643025,0
rice_R_4,frame_00000.png,frame_00119.png,rice_R_4/rgb_max_lockin_f147_ps8_gray/00000-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.181937,0.372825,0.587480,0.159923,,lockin_num:lockin::None:15.643025335920129:0:8:gray:0,lockin,,,15.643025,0
rice_R_4,frame_00000.png,frame_00119.png,rice_R_4/rgb_max_lockin_f147_ps8_gray/00000-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.181937,0.372825,0.587480,0.159923,,lockin_num:lockin::None:15.643025335920129:0:16:gray:0,lockin,,,15.643025,0
rice_R_4,frame_00000.png,frame_00119.png,rice_R_4/rgb_max_lockin_f147_ps8_gray/00000-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.207107,0.373249,0.581410,0.140288,,lockin_num:lockin::None:29.35697466407987:0:4:gray:0,lockin,,,29.356975,0
rice_R_4,frame_00000.png,frame_00119.png,rice_R_4/rgb_max_lockin_f147_ps8_gray/00000-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.207107,0.373249,0.581410,0.140288,,lockin_num:lockin::None:29.35697466407987:0:8:gray:0,lockin,,,29.356975,0
rice_R_4,frame_00000.png,frame_00119.png,rice_R_4/rgb_max_lockin_f147_ps8_gray/00000-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.207107,0.373249,0.581410,0.140288,,lockin_num:lockin::None:29.35697466407987:0:16:gray:0,lockin,,,29.356975,0
