folder,pass,adopted,decode_success,decode_note,decode_variant,diff_mode,repr_mode,window_n,stat_kind,fft_target_hz,diff_threshold,phase_steps,n_maps,pixel_acc_all,pixel_acc_ok,pixel_acc_best,best_pair_frame_1,best_pair_frame_2,video,display_rate,exposure,fluorescent,camera_fps,rate_hz,exposure_denom,fluorescent_flag,cond,image,channel,token,intensity,decode_decoded_text,decode_method,decode_frame_1,decode_frame_2,note,analysis_frames,extract_sec
rice_R_4,accum,1,0,extract失敗: 0 frames,,accum,binary,3,,,8,,0,,,,,,r180_e250_f1.mp4,180 Hz,1/250,蛍光灯あり,58.849 fps,180,250,1,0,rice,R,R,4,,,,,extract失敗: 0 frames,0,0.000000
rice_R_4,accum,0,0,extract失敗: 0 frames,,accum,binary,5,,,8,,0,,,,,,r180_e250_f1.mp4,180 Hz,1/250,蛍光灯あり,58.849 fps,180,250,1,0,rice,R,R,4,,,,,extract失敗: 0 frames,0,0.000000
rice_R_4,accum,0,0,extract失敗: 0 frames,,accum,binary,3,,,12,,0,,,,,,r180_e250_f1.mp4,180 Hz,1/250,蛍光灯あり,58.849 fps,180,250,1,0,rice,R,R,4,,,,,extract失敗: 0 frames,0,0.000000
rice_R_4,accum,0,0,extract失敗: 0 frames,,accum,binary,5,,,12,,0,,,,,,r180_e250_f1.mp4,180 Hz,1/250,蛍光灯あり,58.849 fps,180,250,1,0,rice,R,R,4,,,,,extract失敗: 0 frames,0,0.000000
rice_R_4,accum,0,0,extract失敗: 0 frames,,accum,binary,3,,,16,,0,,,,,,r180_e250_f1.mp4,180 Hz,1/250,蛍光灯あり,58.849 fps,180,250,1,0,rice,R,R,4,,,,,extract失敗: 0 frames,0,0.000000
rice_R_4,accum,0,0,extract失敗: 0 frames,,accum,binary,5,,,16,,0,,,,,,r180_e250_f1.mp4,180 Hz,1/250,蛍光灯あり,58.849 fps,180,250,1,0,rice,R,R,4,,,,,extract失敗: 0 frames,0,0.000000
rice_R_4,accum,0,0,extract失敗: 0 frames,,accum,binary,3,,,20,,0,,,,,,r180_e250_f1.mp4,180 Hz,1/250,蛍光灯あり,58.849 fps,180,250,1,0,rice,R,R,4,,,,,extract失敗: 0 frames,0,0.000000
rice_R_4,accum,0,0,extract失敗: 0 frames,,accum,binary,5,,,20,,0,,,,,,r180_e250_f1.mp4,180 Hz,1/250,蛍光灯あり,58.849 fps,180,250,1,0,rice,R,R,4,,,,,extract失敗: 0 frames,0,0.000000
rice_R_4,accum,0,0,extract失敗: 0 frames,,accum,binary,3,,,24,,0,,,,,,r180_e250_f1.mp4,180 Hz,1/250,蛍光灯あり,58.849 fps,180,250,1,0,rice,R,R,4,,,,,extract失敗: 0 frames,0,0.000000
rice_R_4,accum,0,0,extract失敗: 0 frames,,accum,binary,5,,,24,,0,,,,,,r180_e250_f1.mp4,180 Hz,1/250,蛍光灯あり,58.849 fps,180,250,1,0,rice,R,R,4,,,,,extract失敗: 0 frames,0,0.000000
rice_R_4,accum,0,0,extract失敗: 0 frames,,accum,binary,3,,,32,,0,,,,,,r180_e250_f1.mp4,180 Hz,1/250,蛍光灯あり,58.849 fps,180,250,1,0,rice,R,R,4,,,,,extract失敗: 0 frames,0,0.000000
rice_R_4,accum,0,0,extract失敗: 0 frames,,accum,binary,5,,,32,,0,,,,,,r180_e250_f1.mp4,180 Hz,1/250,蛍光灯あり,58.849 fps,180,250,1,0,rice,R,R,4,,,,,extract失敗: 0 frames,0,0.000000
