folder,cond,frame_1,frame_2,success,accuracy,recall,precision,diff_threshold
rice_R_4,0,frame_00000.png,frame_00001.png,0,0.748966,0.341693,0.872929,4
rice_R_4,0,frame_00001.png,frame_00002.png,0,0.749326,0.345340,0.868321,4
rice_R_4,0,frame_00002.png,frame_00003.png,0,0.736043,0.642673,0.624050,4
rice_R_4,0,frame_00003.png,frame_00004.png,0,0.787539,0.482064,0.855667,4
rice_R_4,0,frame_00004.png,frame_00005.png,0,0.742525,0.342734,0.832524,4
rice_R_4,0,frame_00005.png,frame_00006.png,0,0.755357,0.365677,0.867822,4
rice_R_4,0,frame_00006.png,frame_00007.png,0,0.746063,0.335268,0.866842,4
rice_R_4,0,frame_00007.png,frame_00008.png,0,0.752432,0.354756,0.869964,4
rice_R_4,0,frame_00008.png,frame_00009.png,0,0.746889,0.335312,0.872008,4
rice_R_4,0,frame_00009.png,frame_00010.png,0,0.745817,0.340124,0.856353,4
rice_R_4,0,frame_00010.png,frame_00011.png,0,0.746775,0.334483,0.872888,4
rice_R_4,0,frame_00011.png,frame_00012.png,0,0.751531,0.348272,0.876475,4
rice_R_4,0,frame_00012.png,frame_00013.png,0,0.752504,0.353162,0.873316,4
rice_R_4,0,frame_00013.png,frame_00014.png,0,0.750355,0.347916,0.869876,4
rice_R_4,0,frame_00014.png,frame_00015.png,0,0.753321,0.353952,0.876841,4
rice_R_4,0,frame_00015.png,frame_00016.png,0,0.746991,0.330155,0.882937,4
rice_R_4,0,frame_00016.png,frame_00017.png,0,0.743610,0.321588,0.877868,4
rice_R_4,0,frame_00017.png,frame_00018.png,0,0.741945,0.332633,0.846144,4
rice_R_4,0,frame_00018.png,frame_00019.png,0,0.748114,0.342942,0.865286,4
rice_R_4,0,frame_00019.png,frame_00020.png,0,0.743608,0.326385,0.868213,4
rice_R_4,0,frame_00099.png,frame_00100.png,0,0.745167,0.332563,0.866305,4
rice_R_4,0,frame_00100.png,frame_00101.png,0,0.748831,0.348489,0.859609,4
rice_R_4,0,frame_00101.png,frame_00102.png,0,0.755065,0.357964,0.880014,4
rice_R_4,0,frame_00102.png,frame_00103.png,0,0.748499,0.339063,0.875024,4
rice_R_4,0,frame_00103.png,frame_00104.png,0,0.745505,0.326587,0.880331,4
rice_R_4,0,frame_00104.png,frame_00105.png,0,0.738307,0.305574,0.874922,4
rice_R_4,0,frame_00105.png,frame_00106.png,0,0.741301,0.339956,0.830014,4
rice_R_4,0,frame_00106.png,frame_00107.png,0,0.742130,0.317344,0.876603,4
rice_R_4,0,frame_00107.png,frame_00108.png,0,0.743498,0.325576,0.869084,4
rice_R_4,0,frame_00108.png,frame_00109.png,0,0.749538,0.345345,0.869618,4
rice_R_4,0,frame_00109.png,frame_00110.png,0,0.760997,0.383877,0.868760,4
rice_R_4,0,frame_00110.png,frame_00111.png,0,0.747598,0.341974,0.863889,4
rice_R_4,0,frame_00111.png,frame_00112.png,0,0.745797,0.337252,0.861463,4
rice_R_4,0,frame_00112.png,frame_00113.png,0,0.745827,0.330096,0.875373,4
rice_R_4,0,frame_00113.png,frame_00114.png,0,0.748717,0.344940,0.865319,4
rice_R_4,0,frame_00114.png,frame_00115.png,0,0.746126,0.326622,0.884436,4
rice_R_4,0,frame_00115.png,frame_00116.png,0,0.744090,0.325610,0.872901,4
rice_R_4,0,frame_00116.png,frame_00117.png,0,0.744746,0.336516,0.856314,4
rice_R_4,0,frame_00117.png,frame_00118.png,0,0.739806,0.319816,0.856237,4
rice_R_4,0,frame_00118.png,frame_00119.png,0,0.749517,0.342147,0.875535,4
rice_R_8,1,frame_00000.png,frame_00001.png,0,0.921200,0.836317,0.934547,6
rice_R_8,1,frame_00001.png,frame_00002.png,1,0.911621,0.827596,0.915008,6
rice_R_8,1,frame_00002.png,frame_00003.png,0,0.911097,0.899904,0.856595,6
rice_R_8,1,frame_00003.png,frame_00004.png,1,0.935094,0.900486,0.915091,6
rice_R_8,1,frame_00004.png,frame_00005.png,0,0.920696,0.831628,0.937643,6
rice_R_8,1,frame_00005.png,frame_00006.png,0,0.919613,0.829136,0.936872,6
rice_R_8,1,frame_00006.png,frame_00007.png,1,0.909971,0.825736,0.912011,6
rice_R_8,1,frame_00007.png,frame_00008.png,0,0.917045,0.828263,0.930107,6
rice_R_8,1,frame_00008.png,frame_00009.png,0,0.921125,0.835774,0.934853,6
rice_R_8,1,frame_00009.png,frame_00010.png,0,0.922981,0.844474,0.931904,6
rice_R_8,1,frame_00010.png,frame_00011.png,0,0.921907,0.839934,0.933124,6
rice_R_8,1,frame_00011.png,frame_00012.png,0,0.919958,0.829704,0.937340,6
rice_R_8,1,frame_00012.png,frame_00013.png,0,0.920442,0.827493,0.940997,6
rice_R_8,1,frame_00013.png,frame_00014.png,0,0.916523,0.825001,0.931731,6
rice_R_8,1,frame_00014.png,frame_00015.png,0,0.919678,0.836223,0.930174,6
rice_R_8,1,frame_00015.png,frame_00016.png,0,0.919380,0.835093,0.930388,6
rice_R_8,1,frame_00016.png,frame_00017.png,0,0.917067,0.821442,0.936866,6
rice_R_8,1,frame_00017.png,frame_00018.png,0,0.918026,0.829353,0.931946,6
rice_R_8,1,frame_00018.png,frame_00019.png,0,0.919209,0.835157,0.929826,6
rice_R_8,1,frame_00019.png,frame_00020.png,0,0.916278,0.825371,0.930645,6
rice_R_8,1,frame_00099.png,frame_00100.png,0,0.923630,0.842811,0.935392,6
rice_R_8,1,frame_00100.png,frame_00101.png,0,0.921662,0.832857,0.939311,6
rice_R_8,1,frame_00101.png,frame_00102.png,1,0.889120,0.808468,0.869623,6
rice_R_8,1,frame_00102.png,frame_00103.png,0,0.921095,0.834693,0.935819,6
rice_R_8,1,frame_00103.png,frame_00104.png,0,0.919690,0.831011,0.935257,6
rice_R_8,1,frame_00104.png,frame_00105.png,0,0.919211,0.830439,0.934394,6
rice_R_8,1,frame_00105.png,frame_00106.png,0,0.916579,0.826669,0.930276,6
rice_R_8,1,frame_00106.png,frame_00107.png,0,0.917916,0.827315,0.933606,6
rice_R_8,1,frame_00107.png,frame_00108.png,0,0.918362,0.825262,0.936961,6
rice_R_8,1,frame_00108.png,frame_00109.png,0,0.917781,0.826841,0.933670,6
rice_R_8,1,frame_00109.png,frame_00110.png,0,0.915256,0.823930,0.929020,6
rice_R_8,1,frame_00110.png,frame_00111.png,0,0.916761,0.825292,0.932154,6
rice_R_8,1,frame_00111.png,frame_00112.png,0,0.916910,0.827562,0.930387,6
rice_R_8,1,frame_00112.png,frame_00113.png,0,0.918411,0.834673,0.927962,6
rice_R_8,1,frame_00113.png,frame_00114.png,0,0.921623,0.837955,0.934204,6
rice_R_8,1,frame_00114.png,frame_00115.png,0,0.918794,0.832630,0.931038,6
rice_R_8,1,frame_00115.png,frame_00116.png,0,0.918605,0.830474,0.932569,6
rice_R_8,1,frame_00116.png,frame_00117.png,0,0.919617,0.839786,0.926615,6
rice_R_8,1,frame_00117.png,frame_00118.png,0,0.916803,0.833726,0.924195,6
rice_R_8,1,frame_00118.png,frame_00119.png,0,0.916919,0.825321,0.932592,6
rice_R_12,2,frame_00000.png,frame_00001.png,1,0.960412,0.961522,0.929274,12
rice_R_12,2,frame_00001.png,frame_00002.png,1,0.960893,0.962519,0.929665,12
rice_R_12,2,frame_00002.png,frame_00003.png,1,0.951667,0.965095,0.904906,12
rice_R_12,2,frame_00003.png,frame_00004.png,1,0.960253,0.967676,0.923831,12
rice_R_12,2,frame_00004.png,frame_00005.png,1,0.960449,0.962450,0.928598,12
rice_R_12,2,frame_00005.png,frame_00006.png,1,0.959784,0.962943,0.926515,12
rice_R_12,2,frame_00006.png,frame_00007.png,1,0.960790,0.962134,0.929723,12
rice_R_12,2,frame_00007.png,frame_00008.png,1,0.961189,0.961946,0.930891,12
rice_R_12,2,frame_00008.png,frame_00009.png,1,0.961394,0.961053,0.932159,12
rice_R_12,2,frame_00009.png,frame_00010.png,1,0.960706,0.959908,0.931365,12
rice_R_12,2,frame_00010.png,frame_00011.png,1,0.960291,0.963076,0.927683,12
rice_R_12,2,frame_00011.png,frame_00012.png,1,0.960158,0.960342,0.929610,12
rice_R_12,2,frame_00012.png,frame_00013.png,1,0.959182,0.958423,0.928728,12
rice_R_12,2,frame_00013.png,frame_00014.png,1,0.959791,0.961413,0.927792,12
rice_R_12,2,frame_00014.png,frame_00015.png,1,0.959843,0.959272,0.929702,12
rice_R_12,2,frame_00015.png,frame_00016.png,1,0.960452,0.959770,0.930835,12
rice_R_12,2,frame_00016.png,frame_00017.png,1,0.961150,0.961626,0.931061,12
rice_R_12,2,frame_00017.png,frame_00018.png,1,0.961556,0.963999,0.930115,12
rice_R_12,2,frame_00018.png,frame_00019.png,1,0.960491,0.960974,0.929928,12
rice_R_12,2,frame_00019.png,frame_00020.png,1,0.960610,0.960347,0.930753,12
rice_R_12,2,frame_00099.png,frame_00100.png,1,0.961904,0.965934,0.929393,12
rice_R_12,2,frame_00100.png,frame_00101.png,1,0.960202,0.961216,0.928996,12
rice_R_12,2,frame_00101.png,frame_00102.png,1,0.960354,0.961107,0.929471,12
rice_R_12,2,frame_00102.png,frame_00103.png,1,0.960942,0.962672,0.929662,12
rice_R_12,2,frame_00103.png,frame_00104.png,1,0.961533,0.963565,0.930418,12
rice_R_12,2,frame_00104.png,frame_00105.png,1,0.961602,0.963600,0.930563,12
rice_R_12,2,frame_00105.png,frame_00106.png,1,0.960106,0.959163,0.930460,12
rice_R_12,2,frame_00106.png,frame_00107.png,1,0.961304,0.960806,0.932139,12
rice_R_12,2,frame_00107.png,frame_00108.png,1,0.960881,0.961384,0.930578,12
rice_R_12,2,frame_00108.png,frame_00109.png,1,0.960781,0.961384,0.930325,12
rice_R_12,2,frame_00109.png,frame_00110.png,1,0.961318,0.961862,0.931291,12
rice_R_12,2,frame_00110.png,frame_00111.png,1,0.961416,0.964661,0.929214,12
rice_R_12,2,frame_00111.png,frame_00112.png,1,0.961526,0.964680,0.929476,12
rice_R_12,2,frame_00112.png,frame_00113.png,1,0.962106,0.964389,0.931183,12
rice_R_12,2,frame_00113.png,frame_00114.png,1,0.962519,0.964157,0.932425,12
rice_R_12,2,frame_00114.png,frame_00115.png,1,0.961210,0.963150,0.929943,12
rice_R_12,2,frame_00115.png,frame_00116.png,1,0.961159,0.959652,0.932738,12
rice_R_12,2,frame_00116.png,frame_00117.png,1,0.961876,0.963037,0.931729,12
rice_R_12,2,frame_00117.png,frame_00118.png,1,0.960744,0.962529,0.929280,12
