folder,frame_1,frame_2,diff_image,analysis_image,decoded_text,success,method,note,recall,precision,accuracy,noise,gt_note,task_key,diff_mode,window_n,stat_kind,fft_target_hz,diff_threshold
rice_R_4,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.000000,0.000000,0.645455,0.001464,,fourier:fourier::None:10.007736611364223:4:None:binary:0,fourier,,,10.007737,4
rice_R_4,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.000000,0.000000,0.645455,0.001464,,fourier:fourier::None:10.007736611364223:6:None:binary:0,fourier,,,10.007737,6
rice_R_4,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.000000,0.000000,0.645455,0.001468,,fourier:fourier::None:10.007736611364223:8:None:binary:0,fourier,,,10.007737,8
rice_R_4,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.000000,0.000000,0.645455,0.001468,,fourier:fourier::None:10.007736611364223:10:None:binary:0,fourier,,,10.007737,10
rice_R_4,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.000000,0.000000,0.645455,0.001468,,fourier:fourier::None:10.007736611364223:12:None:binary:0,fourier,,,10.007737,12
rice_R_4,frame_00000.png,frame_00119.png,rice_R_4/rgb_max_fourier_f300_th16/00000-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.000000,0.000000,0.645455,0.001495,,fourier:fourier::None:10.007736611364223:16:None:binary:0,fourier,,,10.007737,16
rice_R_4,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.000000,0.000000,0.645455,0.001464,,fourier:fourier::None:15.0:4:None:binary:0,fourier,,,15.000000,4
rice_R_4,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.000000,0.000000,0.645455,0.001464,,fourier:fourier::None:15.0:6:None:binary:0,fourier,,,15.000000,6
rice_R_4,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.000000,0.000000,0.645455,0.001467,,fourier:fourier::None:15.0:8:None:binary:0,fourier,,,15.000000,8
rice_R_4,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.000000,0.000000,0.645455,0.001468,,fourier:fourier::None:15.0:10:None:binary:0,fourier,,,15.000000,10
