folder,frame_1,frame_2,diff_image,analysis_image,decoded_text,success,method,note,recall,precision,accuracy,noise,gt_note,task_key,diff_mode,window_n,stat_kind,fft_target_hz,diff_threshold
rice_R_4,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.000000,0.000000,0.636504,0.041029,,lockin:lockin::None:10.007736611364223:4:4:binary:0,lockin,,,10.007737,4
rice_R_4,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.000000,0.000000,0.636504,0.041029,,lockin:lockin::None:10.007736611364223:4:8:binary:0,lockin,,,10.007737,4
rice_R_4,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.000000,0.000000,0.636504,0.041029,,lockin:lockin::None:10.007736611364223:4:16:binary:0,lockin,,,10.007737,4
rice_R_4,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.001505,0.010019,0.593259,0.111674,,lockin:lockin::None:10.007736611364223:6:4:binary:0,lockin,,,10.007737,6
rice_R_4,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.001505,0.010019,0.593259,0.111672,,lockin:lockin::None:10.007736611364223:6:8:binary:0,lockin,,,10.007737,6
rice_R_4,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.001505,0.010019,0.593259,0.111672,,lockin:lockin::None:10.007736611364223:6:16:binary:0,lockin,,,10.007737,6
rice_R_4,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.008039,0.021895,0.520979,0.224263,,lockin:lockin::None:10.007736611364223:8:4:binary:0,lockin,,,10.007737,8
rice_R_4,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.008039,0.021895,0.520979,0.224263,,lockin:lockin::None:10.007736611364223:8:8:binary:0,lockin,,,10.007737,8
rice_R_4,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.008039,0.021895,0.520979,0.224263,,lockin:lockin::None:10.007736611364223:8:16:binary:0,lockin,,,10.007737,8
rice_R_4,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.972107,0.448050,0.565532,0.631064,,lockin:lockin::None:10.007736611364223:10:4:binary:0,lockin,,,10.007737,10
rice_R_4,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.972107,0.448050,0.565532,0.631064,,lockin:lockin::None:10.007736611364223:10:8:binary:0,lockin,,,10.007737,10
rice_R_4,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.972107,0.448050,0.565532,0.631064,,lockin:lockin::None:10.007736611364223:10:16:binary:0,lockin,,,10.007737,10
rice_R_4,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.933249,0.502475,0.648715,0.483798,,lockin:lockin::None:10.007736611364223:12:4:binary:0,lockin,,,10.007737,12
rice_R_4,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.933249,0.502475,0.648715,0.483798,,lockin:lockin::None:10.007736611364223:12:8:binary:0,lockin,,,10.007737,12
rice_R_4,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.933249,0.502475,0.648715,0.483798,,lockin:lockin::None:10.007736611364223:12:16:binary:0,lockin,,,10.007737,12
rice_R_4,frame_00000.png,frame_00119.png,rice_R_4/rgb_max_lockin_f300_ps4_th16/00000-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.784238,0.603426,0.740769,0.263296,,lockin:lockin::None:10.007736611364223:16:4:binary:0,lockin,,,10.007737,16
rice_R_4,frame_00000.png,frame_00119.png,rice_R_4/rgb_max_lockin_f300_ps4_th16/00000-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.784238,0.603426,0.740769,0.263296,,lockin:lockin::None:10.007736611364223:16:8:binary:0,lockin,,,10.007737,16
rice_R_4,frame_00000.png,frame_00119.png,rice_R_4/rgb_max_lockin_f300_ps4_th16/00000-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.784238,0.603426,0.740769,0.263296,,lockin:lockin::None:10.007736611364223:16:16:binary:0,lockin,,,10.007737,16
rice_R_4,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.000400,0.005111,0.618008,0.072771,,lockin:lockin::None:15.0:4:4:binary:0,lockin,,,15.000000,4
rice_R_4,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.000400,0.005111,0.618008,0.072771,,lockin:lockin::None:15.0:4:8:binary:0,lockin,,,15.000000,4
rice_R_4,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.000400,0.005111,0.618008,0.072771,,lockin:lockin::None:15.0:4:16:binary:0,lockin,,,15.000000,4
rice_R_4,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.007935,0.024543,0.536449,0.202643,,lockin:lockin::None:15.0:6:4:binary:0,lockin,,,15.000000,6
rice_R_4,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.007935,0.024543,0.536449,0.202643,,lockin:lockin::None:15.0:6:8:binary:0,lockin,,,15.000000,6
rice_R_4,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.007935,0.024543,0.536449,0.202643,,lockin:lockin::None:15.0:6:16:binary:0,lockin,,,15.000000,6
rice_R_4,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.969250,0.446486,0.563081,0.629992,,lockin:lockin::None:15.0:8:4:binary:0,lockin,,,15.000000,8
rice_R_4,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.969250,0.446486,0.563081,0.629992,,lockin:lockin::None:15.0:8:8:binary:0,lockin,,,15.000000,8
rice_R_4,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.969250,0.446486,0.563081,0.629992,,lockin:lockin::None:15.0:8:16:binary:0,lockin,,,15.000000,8
rice_R_4,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.922269,0.501605,0.647548,0.465423,,lockin:lockin::None:15.0:10:4:binary:0,lockin,,,15.000000,10
