folder,frame_1,frame_2,diff_image,analysis_image,decoded_text,success,method,note,recall,precision,accuracy,noise,gt_note,task_key,diff_mode,window_n,stat_kind,fft_target_hz,diff_threshold
rice_R_4,frame_00008.png,frame_00009.png,,,,0,decode失敗,QR未検出,0.335312,0.872008,0.746889,0.020199,,pair:pair::None:None:4:None:binary:8,pair,,,,4
rice_R_4,frame_00012.png,frame_00013.png,,,,0,decode失敗,QR未検出,0.353162,0.873316,0.752504,0.021834,,pair:pair::None:None:4:None:binary:12,pair,,,,4
rice_R_4,frame_00004.png,frame_00005.png,,,,0,decode失敗,QR未検出,0.342734,0.832524,0.742525,0.026178,,pair:pair::None:None:4:None:binary:4,pair,,,,4
rice_R_4,frame_00014.png,frame_00015.png,,,,0,decode失敗,QR未検出,0.353952,0.876841,0.753321,0.019938,,pair:pair::None:None:4:None:binary:14,pair,,,,4
rice_R_4,frame_00009.png,frame_00010.png,,,,0,decode失敗,QR未検出,0.340124,0.856353,0.745817,0.023067,,pair:pair::None:None:4:None:binary:9,pair,,,,4
rice_R_4,frame_00007.png,frame_00008.png,,,,0,decode失敗,QR未検出,0.354756,0.869964,0.752432,0.022817,,pair:pair::None:None:4:None:binary:7,pair,,,,4
rice_R_4,frame_00005.png,frame_00006.png,,,,0,decode失敗,QR未検出,0.365677,0.867822,0.755357,0.021141,,pair:pair::None:None:4:None:binary:5,pair,,,,4
rice_R_4,frame_00015.png,frame_00016.png,,,,0,decode失敗,QR未検出,0.330155,0.882937,0.746991,0.019237,,pair:pair::None:None:4:None:binary:15,pair,,,,4
rice_R_4,frame_00011.png,frame_00012.png,,,,0,decode失敗,QR未検出,0.348272,0.876475,0.751531,0.019804,,pair:pair::None:None:4:None:binary:11,pair,,,,4
rice_R_4,frame_00010.png,frame_00011.png,,,,0,decode失敗,QR未検出,0.334483,0.872888,0.746775,0.019677,,pair:pair::None:None:4:None:binary:10,pair,,,,4
rice_R_4,frame_00013.png,frame_00014.png,,,,0,decode失敗,QR未検出,0.347916,0.869876,0.750355,0.022340,,pair:pair::None:None:4:None:binary:13,pair,,,,4
rice_R_4,frame_00001.png,frame_00002.png,,,,0,decode失敗,QR未検出,0.345340,0.868321,0.749326,0.019799,,pair:pair::None:None:4:None:binary:1,pair,,,,4
