folder,decode_note,decode_variant,diff_mode,window_n,stat_kind,fft_target_hz,diff_threshold,pixel_acc_all,pixel_acc_ok,pixel_acc_best,best_pair_frame_1,best_pair_frame_2,video,display_rate,exposure,fluorescent,camera_fps,rate_hz,exposure_denom,fluorescent_flag,cond,image,channel,token,intensity,decode_decoded_text,decode_method,decode_frame_1,decode_frame_2,note,analysis_frames,extract_sec
rice_R_4,QR未検出,,accum,5,,,12,0.856490,,0.864084,frame_00080.png,frame_00084.png,r60_e60_f0.mp4,60 Hz,1/60,蛍光灯なし,60.008 fps,60,60,0,0,rice,R,R,4,,,frame_00110.png,frame_00114.png,,120,1.999742
rice_R_8,,zxing_gray,accum,5,,,20,0.933315,0.933315,0.938289,frame_00050.png,frame_00054.png,r60_e60_f0.mp4,60 Hz,1/60,蛍光灯なし,60.008 fps,60,60,0,1,rice,R,R,8,https://www.nagaoka-ct.ac.jp,zxing_gray_x1.0_k3_i1,frame_00000.png,frame_00004.png,,120,1.999742
rice_R_12,,zxing_gray,accum,3,,,24,0.962856,0.962856,0.964128,frame_00042.png,frame_00044.png,r60_e60_f0.mp4,60 Hz,1/60,蛍光灯なし,60.008 fps,60,60,0,2,rice,R,R,12,https://www.nagaoka-ct.ac.jp,zxing_gray_x1.0_k3_i1,frame_00000.png,frame_00002.png,,120,1.999742
nagaoka_fireworks_R_4,QR未検出,,accum,5,,,12,0.749486,,0.761081,frame_00105.png,frame_00109.png,r60_e60_f0.mp4,60 Hz,1/60,蛍光灯なし,60.008 fps,60,60,0,3,nagaoka_fireworks,R,R,4,,,frame_00110.png,frame_00114.png,,120,1.999742
nagaoka_fireworks_R_8,QR未検出,,accum,5,,,20,0.829114,,0.841195,frame_00010.png,frame_00014.png,r60_e60_f0.mp4,60 Hz,1/60,蛍光灯なし,60.008 fps,60,60,0,4,nagaoka_fireworks,R,R,8,,,frame_00115.png,frame_00119.png,,120,1.999742
nagaoka_fireworks_R_12,,zxing_gray,accum,5,,,32,0.917116,0.915786,0.924731,frame_00045.png,frame_00049.png,r60_e60_f0.mp4,60 Hz,1/60,蛍光灯なし,60.008 fps,60,60,0,5,nagaoka_fireworks,R,R,12,https://www.nagaoka-ct.ac.jp,zxing_gray_x1.0_k3_i1,frame_00025.png,frame_00029.png,,120,1.999742
hocho_R_4,QR未検出,,accum,5,,,8,0.674434,,0.694026,frame_00015.png,frame_00019.png,r60_e60_f0.mp4,60 Hz,1/60,蛍光灯なし,60.008 fps,60,60,0,6,hocho,R,R,4,,,frame_00105.png,frame_00109.png,,120,1.999742
hocho_R_8,,zxing_gray,accum,5,,,12,0.760092,0.758902,0.773710,frame_00015.png,frame_00019.png,r60_e60_f0.mp4,60 Hz,1/60,蛍光灯なし,60.008 fps,60,60,0,7,hocho,R,R,8,622770,zxing_gray_x1.0_k3_i1,frame_00055.png,frame_00059.png,,120,1.999742
hocho_R_12,QR未検出,,accum,5,,,24,0.862044,,0.866792,frame_00005.png,frame_00009.png,r60_e60_f0.mp4,60 Hz,1/60,蛍光灯なし,60.008 fps,60,60,0,8,hocho,R,R,12,,,frame_00115.png,frame_00119.png,,120,1.999742
ex_R_4,QR未検出,,accum,5,,,8,0.672159,,0.682335,frame_00040.png,frame_00044.png,r60_e60_f0.mp4,60 Hz,1/60,蛍光灯なし,60.008 fps,60,60,0,9,ex,R,R,4,,,frame_00090.png,frame_00094.png,,120,1.999742
ex_R_8,QR未検出,,accum,5,,,8,0.743869,,0.756204,frame_00050.png,frame_00054.png,r60_e60_f0.mp4,60 Hz,1/60,蛍光灯なし,60.008 fps,60,60,0,10,ex,R,R,8,,,frame_00095.png,frame_00099.png,,120,1.999742
ex_R_12,QR未検出,,accum,5,,,24,0.897434,,0.905831,frame_00010.png,frame_00014.png,r60_e60_f0.mp4,60 Hz,1/60,蛍光灯なし,60.008 fps,60,60,0,11,ex,R,R,12,,,frame_00115.png,frame_00119.png,,120,1.999742
rice_G_4,QR未検出,,accum,3,,,32,0.645440,,0.645639,frame_00093.png,frame_00095.png,r60_e60_f0.mp4,60 Hz,1/60,蛍光灯なし,60.008 fps,60,60,0,12,rice,G,G,4,,,frame_00117.png,frame_00119.png,,120,1.999742
rice_G_8,QR未検出,,accum,5,,,8,0.719075,,0.730285,frame_00100.png,frame_00104.png,r60_e60_f0.mp4,60 Hz,1/60,蛍光灯なし,60.008 fps,60,60,0,13,rice,G,G,8,,,frame_00105.png,frame_00109.png,,120,1.999742
rice_G_12,QR未検出,,accum,5,,,16,0.804483,,0.809489,frame_00005.png,frame_00009.png,r60_e60_f0.mp4,60 Hz,1/60,蛍光灯なし,60.008 fps,60,60,0,14,rice,G,G,12,,,frame_00115.png,frame_00119.png,,120,1.999742
nagaoka_fireworks_G_4,QR未検出,,accum,5,,,8,0.665084,,0.677448,frame_00050.png,frame_00054.png,r60_e60_f0.mp4,60 Hz,1/60,蛍光灯なし,60.008 fps,60,60,0,15,nagaoka_fireworks,G,G,4,,,frame_00110.png,frame_00114.png,,120,1.999742
nagaoka_fireworks_G_8,QR未検出,,accum,5,,,12,0.750307,,0.761630,frame_00115.png,frame_00119.png,r60_e60_f0.mp4,60 Hz,1/60,蛍光灯なし,60.008 fps,60,60,0,16,nagaoka_fireworks,G,G,8,,,frame_00095.png,frame_00099.png,,120,1.999742
nagaoka_fireworks_G_12,QR未検出,,accum,5,,,20,0.755966,,0.761649,frame_00075.png,frame_00079.png,r60_e60_f0.mp4,60 Hz,1/60,蛍光灯なし,60.008 fps,60,60,0,17,nagaoka_fireworks,G,G,12,,,frame_00115.png,frame_00119.png,,120,1.999742
hocho_G_4,QR未検出,,accum,5,,,12,0.680989,,0.688060,frame_00010.png,frame_00014.png,r60_e60_f0.mp4,60 Hz,1/60,蛍光灯なし,60.008 fps,60,60,0,18,hocho,G,G,4,,,frame_00115.png,frame_00119.png,,120,1.999742
hocho_G_8,QR未検出,,accum,5,,,12,0.745998,,0.758178,frame_00070.png,frame_00074.png,r60_e60_f0.mp4,60 Hz,1/60,蛍光灯なし,60.008 fps,60,60,0,19,hocho,G,G,8,,,frame_00110.png,frame_00114.png,,120,1.999742
hocho_G_12,QR未検出,,accum,5,,,20,0.830825,,0.840495,frame_00065.png,frame_00069.png,r60_e60_f0.mp4,60 Hz,1/60,蛍光灯なし,60.008 fps,60,60,0,20,hocho,G,G,12,,,frame_00080.png,frame_00084.png,,120,1.999742
ex_G_4,QR未検出,,accum,5,,,8,0.819273,,0.832229,frame_00075.png,frame_00079.png,r60_e60_f0.mp4,60 Hz,1/60,蛍光灯なし,60.008 fps,60,60,0,21,ex,G,G,4,,,frame_00115.png,frame_00119.png,,120,1.999742
ex_G_8,,zxing_gray,accum,5,,,20,0.917588,0.915028,0.920161,frame_00090.png,frame_00094.png,r60_e60_f0.mp4,60 Hz,1/60,蛍光灯なし,60.008 fps,60,60,0,22,ex,G,G,8,https://www.nagaoka-ct.ac.jp,zxing_gray_x1.0_k3_i1,frame_00050.png,frame_00054.png,,120,1.999742
ex_G_12,,zxing_gray,accum,3,,,24,0.952788,0.952788,0.955331,frame_00114.png,frame_00116.png,r60_e60_f0.mp4,60 Hz,1/60,蛍光灯なし,60.008 fps,60,60,0,23,ex,G,G,12,https://www.nagaoka-ct.ac.jp,zxing_gray_x1.0_k3_i1,frame_00003.png,frame_00005.png,,120,1.999742
rice_B_4,QR未検出,,accum,5,,,12,0.845248,,0.849723,frame_00100.png,frame_00104.png,r60_e60_f0.mp4,60 Hz,1/60,蛍光灯なし,60.008 fps,60,60,0,24,rice,B,B,4,,,frame_00115.png,frame_00119.png,,120,1.999742
rice_B_8,QR未検出,,accum,5,,,20,0.887155,,0.893370,frame_00015.png,frame_00019.png,r60_e60_f0.mp4,60 Hz,1/60,蛍光灯なし,60.008 fps,60,60,0,25,rice,B,B,8,,,frame_00085.png,frame_00089.png,,120,1.999742
rice_B_12,QR未検出,,accum,3,,,24,0.932396,,0.934002,frame_00006.png,frame_00008.png,r60_e60_f0.mp4,60 Hz,1/60,蛍光灯なし,60.008 fps,60,60,0,26,rice,B,B,12,,,frame_00102.png,frame_00104.png,,120,1.999742
nagaoka_fireworks_B_4,QR未検出,,accum,5,,,12,0.731982,,0.745673,frame_00015.png,frame_00019.png,r60_e60_f0.mp4,60 Hz,1/60,蛍光灯なし,60.008 fps,60,60,0,27,nagaoka_fireworks,B,B,4,,,frame_00095.png,frame_00099.png,,120,1.999742
nagaoka_fireworks_B_8,QR未検出,,accum,5,,,20,0.807959,,0.816190,frame_00010.png,frame_00014.png,r60_e60_f0.mp4,60 Hz,1/60,蛍光灯なし,60.008 fps,60,60,0,28,nagaoka_fireworks,B,B,8,,,frame_00105.png,frame_00109.png,,120,1.999742
nagaoka_fireworks_B_12,QR未検出,,accum,3,,,20,0.910351,,0.914466,frame_00018.png,frame_00020.png,r60_e60_f0.mp4,60 Hz,1/60,蛍光灯なし,60.008 fps,60,60,0,29,nagaoka_fireworks,B,B,12,,,frame_00117.png,frame_00119.png,,120,1.999742
hocho_B_4,QR未検出,,accum,3,,,32,0.645439,,0.645627,frame_00000.png,frame_00002.png,r60_e60_f0.mp4,60 Hz,1/60,蛍光灯なし,60.008 fps,60,60,0,30,hocho,B,B,4,,,frame_00114.png,frame_00116.png,,120,1.999742
hocho_B_8,QR未検出,,accum,3,,,32,0.645481,,0.645744,frame_00009.png,frame_00011.png,r60_e60_f0.mp4,60 Hz,1/60,蛍光灯なし,60.008 fps,60,60,0,31,hocho,B,B,8,,,frame_00117.png,frame_00119.png,,120,1.999742
hocho_B_12,QR未検出,,accum,5,,,12,0.845085,,0.864824,frame_00015.png,frame_00019.png,r60_e60_f0.mp4,60 Hz,1/60,蛍光灯なし,60.008 fps,60,60,0,32,hocho,B,B,12,,,frame_00105.png,frame_00109.png,,120,1.999742
ex_B_4,QR未検出,,accum,5,,,8,0.646528,,0.652608,frame_00035.png,frame_00039.png,r60_e60_f0.mp4,60 Hz,1/60,蛍光灯なし,60.008 fps,60,60,0,33,ex,B,B,4,,,frame_00115.png,frame_00119.png,,120,1.999742
ex_B_8,QR未検出,,accum,5,,,8,0.708097,,0.723309,frame_00105.png,frame_00109.png,r60_e60_f0.mp4,60 Hz,1/60,蛍光灯なし,60.008 fps,60,60,0,34,ex,B,B,8,,,frame_00100.png,frame_00104.png,,120,1.999742
ex_B_12,QR未検出,,accum,5,,,16,0.818842,,0.831164,frame_00010.png,frame_00014.png,r60_e60_f0.mp4,60 Hz,1/60,蛍光灯なし,60.008 fps,60,60,0,35,ex,B,B,12,,,frame_00105.png,frame_00109.png,,120,1.999742
rice_I_4,QR未検出,,accum,5,,,8,0.732104,,0.742646,frame_00105.png,frame_00109.png,r60_e60_f0.mp4,60 Hz,1/60,蛍光灯なし,60.008 fps,60,60,0,36,rice,min,I,4,,,frame_00115.png,frame_00119.png,,120,1.999742
rice_I_8,QR未検出,,accum,5,,,12,0.805763,,0.813240,frame_00115.png,frame_00119.png,r60_e60_f0.mp4,60 Hz,1/60,蛍光灯なし,60.008 fps,60,60,0,37,rice,min,I,8,,,frame_00110.png,frame_00114.png,,120,1.999742
rice_I_12,QR未検出,,accum,5,,,16,0.803103,,0.807895,frame_00000.png,frame_00004.png,r60_e60_f0.mp4,60 Hz,1/60,蛍光灯なし,60.008 fps,60,60,0,38,rice,min,I,12,,,frame_00090.png,frame_00094.png,,120,1.999742
nagaoka_fireworks_I_4,QR未検出,,accum,5,,,12,0.693495,,0.706895,frame_00105.png,frame_00109.png,r60_e60_f0.mp4,60 Hz,1/60,蛍光灯なし,60.008 fps,60,60,0,39,nagaoka_fireworks,min,I,4,,,frame_00115.png,frame_00119.png,,120,1.999742
nagaoka_fireworks_I_8,QR未検出,,accum,5,,,16,0.769452,,0.781029,frame_00015.png,frame_00019.png,r60_e60_f0.mp4,60 Hz,1/60,蛍光灯なし,60.008 fps,60,60,0,40,nagaoka_fireworks,min,I,8,,,frame_00115.png,frame_00119.png,,120,1.999742
nagaoka_fireworks_I_12,QR未検出,,accum,5,,,24,0.821201,,0.828317,frame_00095.png,frame_00099.png,r60_e60_f0.mp4,60 Hz,1/60,蛍光灯なし,60.008 fps,60,60,0,41,nagaoka_fireworks,min,I,12,,,frame_00100.png,frame_00104.png,,120,1.999742
hocho_I_4,QR未検出,,accum,5,,,20,0.646912,,0.649168,frame_00055.png,frame_00059.png,r60_e60_f0.mp4,60 Hz,1/60,蛍光灯なし,60.008 fps,60,60,0,42,hocho,min,I,4,,,frame_00115.png,frame_00119.png,,120,1.999742
hocho_I_8,QR未検出,,accum,5,,,12,0.693342,,0.707151,frame_00110.png,frame_00114.png,r60_e60_f0.mp4,60 Hz,1/60,蛍光灯なし,60.008 fps,60,60,0,43,hocho,min,I,8,,,frame_00095.png,frame_00099.png,,120,1.999742
hocho_I_12,,zxing_gray,accum,5,,,16,0.897371,0.887290,0.912432,frame_00090.png,frame_00094.png,r60_e60_f0.mp4,60 Hz,1/60,蛍光灯なし,60.008 fps,60,60,0,44,hocho,min,I,12,https://www.nagaoka-ct.ac.jp,zxing_gray_x1.0_k3_i1,frame_00070.png,frame_00074.png,,120,1.999742
ex_I_4,QR未検出,,accum,5,,,12,0.831257,,0.841371,frame_00035.png,frame_00039.png,r60_e60_f0.mp4,60 Hz,1/60,蛍光灯なし,60.008 fps,60,60,0,45,ex,min,I,4,,,frame_00115.png,frame_00119.png,,120,1.999742
ex_I_8,QR未検出,,accum,5,,,20,0.888943,,0.892364,frame_00035.png,frame_00039.png,r60_e60_f0.mp4,60 Hz,1/60,蛍光灯なし,60.008 fps,60,60,0,46,ex,min,I,8,,,frame_00115.png,frame_00119.png,,120,1.999742
ex_I_12,QR未検出,,accum,3,,,24,0.925822,,0.927812,frame_00111.png,frame_00113.png,r60_e60_f0.mp4,60 Hz,1/60,蛍光灯なし,60.008 fps,60,60,0,47,ex,min,I,12,,,frame_00111.png,frame_00113.png,,120,1.999742
rice_X_4,QR未検出,,accum,5,,,8,0.775232,,0.789215,frame_00015.png,frame_00019.png,r60_e60_f0.mp4,60 Hz,1/60,蛍光灯なし,60.008 fps,60,60,0,48,rice,max,X,4,,,frame_00095.png,frame_00099.png,,120,1.999742
rice_X_8,QR未検出,,accum,5,,,12,0.849868,,0.858567,frame_00030.png,frame_00034.png,r60_e60_f0.mp4,60 Hz,1/60,蛍光灯なし,60.008 fps,60,60,0,49,rice,max,X,8,,,frame_00115.png,frame_00119.png,,120,1.999742
