folder,decode_note,decode_variant,diff_mode,window_n,stat_kind,fft_target_hz,diff_threshold,pixel_acc_all,pixel_acc_ok,pixel_acc_best,best_pair_frame_1,best_pair_frame_2,video,display_rate,exposure,fluorescent,camera_fps,rate_hz,exposure_denom,fluorescent_flag,cond,image,channel,token,intensity,decode_decoded_text,decode_method,decode_frame_1,decode_frame_2,note,analysis_frames,extract_sec
rice_R_4,QR未検出,,pair,,,,4,0.748019,,0.787539,frame_00003.png,frame_00004.png,r60_e60_f0.mp4,60 Hz,1/60,蛍光灯なし,60.008 fps,60,60,0,0,rice,R,R,4,,,frame_00117.png,frame_00118.png,,120,1.999742
rice_R_8,,zxing_gray,pair,,,,6,0.918091,0.911451,0.935094,frame_00003.png,frame_00004.png,r60_e60_f0.mp4,60 Hz,1/60,蛍光灯なし,60.008 fps,60,60,0,1,rice,R,R,8,https://www.nagaoka-ct.ac.jp,zxing_gray_x1.0_k3_i1,frame_00001.png,frame_00002.png,,120,1.999742
rice_R_12,,zxing_gray,pair,,,,12,0.960647,0.960647,0.962519,frame_00113.png,frame_00114.png,r60_e60_f0.mp4,60 Hz,1/60,蛍光灯なし,60.008 fps,60,60,0,2,rice,R,R,12,https://www.nagaoka-ct.ac.jp,zxing_gray_x1.0_k3_i1,frame_00000.png,frame_00001.png,,120,1.999742
nagaoka_fireworks_R_4,QR未検出,,pair,,,,4,0.702039,,0.726225,frame_00003.png,frame_00004.png,r60_e60_f0.mp4,60 Hz,1/60,蛍光灯なし,60.008 fps,60,60,0,3,nagaoka_fireworks,R,R,4,,,frame_00117.png,frame_00118.png,,120,1.999742
nagaoka_fireworks_R_8,QR未検出,,pair,,,,6,0.808818,,0.828777,frame_00003.png,frame_00004.png,r60_e60_f0.mp4,60 Hz,1/60,蛍光灯なし,60.008 fps,60,60,0,4,nagaoka_fireworks,R,R,8,,,frame_00118.png,frame_00119.png,,120,1.999742
nagaoka_fireworks_R_12,,zxing_median_otsu,pair,,,,10,0.911640,0.911384,0.921191,frame_00017.png,frame_00018.png,r60_e60_f0.mp4,60 Hz,1/60,蛍光灯なし,60.008 fps,60,60,0,5,nagaoka_fireworks,R,R,12,https://www.nagaoka-ct.ac.jp,zxing_median_otsu_x1.0_k7_i1,frame_00017.png,frame_00018.png,,120,1.999742
hocho_R_4,QR未検出,,pair,,,,4,0.646238,,0.661701,frame_00012.png,frame_00013.png,r60_e60_f0.mp4,60 Hz,1/60,蛍光灯なし,60.008 fps,60,60,0,6,hocho,R,R,4,,,frame_00114.png,frame_00115.png,,120,1.999742
hocho_R_8,QR未検出,,pair,,,,4,0.727185,,0.753564,frame_00003.png,frame_00004.png,r60_e60_f0.mp4,60 Hz,1/60,蛍光灯なし,60.008 fps,60,60,0,7,hocho,R,R,8,,,frame_00116.png,frame_00117.png,,120,1.999742
hocho_R_12,QR未検出,,pair,,,,6,0.854797,,0.863946,frame_00009.png,frame_00010.png,r60_e60_f0.mp4,60 Hz,1/60,蛍光灯なし,60.008 fps,60,60,0,8,hocho,R,R,12,,,frame_00118.png,frame_00119.png,,120,1.999742
ex_R_4,QR未検出,,pair,,,,4,0.650678,,0.661220,frame_00003.png,frame_00004.png,r60_e60_f0.mp4,60 Hz,1/60,蛍光灯なし,60.008 fps,60,60,0,9,ex,R,R,4,,,frame_00116.png,frame_00117.png,,120,1.999742
ex_R_8,QR未検出,,pair,,,,4,0.697822,,0.724974,frame_00002.png,frame_00003.png,r60_e60_f0.mp4,60 Hz,1/60,蛍光灯なし,60.008 fps,60,60,0,10,ex,R,R,8,,,frame_00111.png,frame_00112.png,,120,1.999742
ex_R_12,QR未検出,,pair,,,,6,0.889260,,0.901051,frame_00002.png,frame_00003.png,r60_e60_f0.mp4,60 Hz,1/60,蛍光灯なし,60.008 fps,60,60,0,11,ex,R,R,12,,,frame_00112.png,frame_00113.png,,120,1.999742
rice_G_4,QR未検出,,pair,,,,12,0.645276,,0.645709,frame_00008.png,frame_00009.png,r60_e60_f0.mp4,60 Hz,1/60,蛍光灯なし,60.008 fps,60,60,0,12,rice,G,G,4,,,frame_00118.png,frame_00119.png,,120,1.999742
rice_G_8,QR未検出,,pair,,,,4,0.662370,,0.674028,frame_00100.png,frame_00101.png,r60_e60_f0.mp4,60 Hz,1/60,蛍光灯なし,60.008 fps,60,60,0,13,rice,G,G,8,,,frame_00114.png,frame_00115.png,,120,1.999742
rice_G_12,QR未検出,,pair,,,,4,0.795889,,0.804891,frame_00008.png,frame_00009.png,r60_e60_f0.mp4,60 Hz,1/60,蛍光灯なし,60.008 fps,60,60,0,14,rice,G,G,12,,,frame_00115.png,frame_00116.png,,120,1.999742
