folder,pass,adopted,decode_success,decode_note,decode_variant,diff_mode,repr_mode,window_n,stat_kind,fft_target_hz,diff_threshold,phase_steps,n_maps,pixel_acc_all,pixel_acc_ok,pixel_acc_best,best_pair_frame_1,best_pair_frame_2,video,display_rate,exposure,fluorescent,camera_fps,rate_hz,exposure_denom,fluorescent_flag,cond,image,channel,token,intensity,decode_decoded_text,decode_method,decode_frame_1,decode_frame_2,note,analysis_frames,extract_sec
rice_R_4,pair,1,0,QR未検出,,pair,binary,,,,4,,40,0.748019,,0.787539,frame_00003.png,frame_00004.png,r60_e60_f0.mp4,60 Hz,1/60,蛍光灯なし,60.008 fps,60,60,0,0,rice,R,R,4,,,frame_00117.png,frame_00118.png,,120,1.999742
rice_R_4,pair,0,0,QR未検出,,pair,binary,,,,6,,40,0.663680,,0.696897,frame_00002.png,frame_00003.png,r60_e60_f0.mp4,60 Hz,1/60,蛍光灯なし,60.008 fps,60,60,0,0,rice,R,R,4,,,frame_00117.png,frame_00118.png,,120,1.999742
rice_R_4,pair,0,0,QR未検出,,pair,binary,,,,8,,40,0.647821,,0.658700,frame_00002.png,frame_00003.png,r60_e60_f0.mp4,60 Hz,1/60,蛍光灯なし,60.008 fps,60,60,0,0,rice,R,R,4,,,frame_00118.png,frame_00119.png,,120,1.999742
rice_R_4,pair,0,0,QR未検出,,pair,binary,,,,10,,40,0.645364,,0.646507,frame_00002.png,frame_00003.png,r60_e60_f0.mp4,60 Hz,1/60,蛍光灯なし,60.008 fps,60,60,0,0,rice,R,R,4,,,frame_00118.png,frame_00119.png,,120,1.999742
rice_R_4,pair,0,0,QR未検出,,pair,binary,,,,12,,40,0.645229,,0.645562,frame_00099.png,frame_00100.png,r60_e60_f0.mp4,60 Hz,1/60,蛍光灯なし,60.008 fps,60,60,0,0,rice,R,R,4,,,frame_00118.png,frame_00119.png,,120,1.999742
rice_R_8,pair,1,1,,zxing_gray,pair,binary,,,,6,,40,0.918091,0.911451,0.935094,frame_00003.png,frame_00004.png,r60_e60_f0.mp4,60 Hz,1/60,蛍光灯なし,60.008 fps,60,60,0,1,rice,R,R,8,https://www.nagaoka-ct.ac.jp,zxing_gray_x1.0_k3_i1,frame_00001.png,frame_00002.png,,120,1.999742
rice_R_8,pair,0,1,,zxing_median_otsu,pair,binary,,,,4,,40,0.914519,0.915849,0.922595,frame_00011.png,frame_00012.png,r60_e60_f0.mp4,60 Hz,1/60,蛍光灯なし,60.008 fps,60,60,0,1,rice,R,R,8,https://www.nagaoka-ct.ac.jp,zxing_median_otsu_x1.0_k3_i1,frame_00004.png,frame_00005.png,,120,1.999742
rice_R_8,pair,0,0,QR未検出,,pair,binary,,,,8,,40,0.874616,,0.914522,frame_00003.png,frame_00004.png,r60_e60_f0.mp4,60 Hz,1/60,蛍光灯なし,60.008 fps,60,60,0,1,rice,R,R,8,,,frame_00115.png,frame_00116.png,,120,1.999742
rice_R_8,pair,0,0,QR未検出,,pair,binary,,,,10,,40,0.792522,,0.838435,frame_00003.png,frame_00004.png,r60_e60_f0.mp4,60 Hz,1/60,蛍光灯なし,60.008 fps,60,60,0,1,rice,R,R,8,,,frame_00117.png,frame_00118.png,,120,1.999742
rice_R_8,pair,0,0,QR未検出,,pair,binary,,,,12,,40,0.714212,,0.755018,frame_00003.png,frame_00004.png,r60_e60_f0.mp4,60 Hz,1/60,蛍光灯なし,60.008 fps,60,60,0,1,rice,R,R,8,,,frame_00118.png,frame_00119.png,,120,1.999742
