folder,frame_1,frame_2,diff_image,analysis_image,decoded_text,success,method,note,recall,precision,accuracy,noise,gt_note,task_key,diff_mode,window_n,stat_kind,fft_target_hz,diff_threshold
rice_R_4,frame_00000.png,frame_00119.png,rice_R_4/rgb_max_fourier_f300_gray/00000-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.855198,0.532207,0.681005,0.398966,,fourier_num:fourier::None:10.007740783111792:0:None:gray:0,fourier,,,10.007741,0
rice_R_4,frame_00000.png,frame_00119.png,rice_R_4/rgb_max_fourier_f300_gray/00000-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.825606,0.482548,0.622925,0.482337,,fourier_num:fourier::None:15.0:0:None:gray:0,fourier,,,15.000000,0
rice_R_4,frame_00000.png,frame_00119.png,rice_R_4/rgb_max_fourier_f300_gray/00000-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.658160,0.937777,0.862826,0.008219,,fourier_num:fourier::None:30.0:0:None:gray:0,fourier,,,30.000000,0
rice_R_8,frame_00000.png,frame_00119.png,rice_R_8/rgb_max_fourier_f300_gray/00000-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.948477,0.667127,0.813270,0.215822,,fourier_num:fourier::None:10.007740783111792:0:None:gray:0,fourier,,,10.007741,0
rice_R_8,frame_00000.png,frame_00119.png,rice_R_8/rgb_max_fourier_f300_gray/00000-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.951703,0.594579,0.751909,0.323721,,fourier_num:fourier::None:15.0:0:None:gray:0,fourier,,,15.000000,0
rice_R_8,frame_00000.png,frame_00119.png,rice_R_8/rgb_max_fourier_f300_gray/00000-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.814798,0.959907,0.921991,0.006405,,fourier_num:fourier::None:30.0:0:None:gray:0,fourier,,,30.000000,0
rice_R_12,frame_00000.png,frame_00119.png,rice_R_12/rgb_max_fourier_f300_gray/00000-00119-FRAME_rgbmax_scale1.00.png,,https://www.nagaoka-ct.ac.jp,1,zxing_median_otsu_x1.0_k5_i1,,0.985661,0.873307,0.944018,0.060452,,fourier_num:fourier::None:10.007740783111792:0:None:gray:0,fourier,,,10.007741,0
rice_R_12,frame_00000.png,frame_00119.png,rice_R_12/rgb_max_fourier_f300_gray/00000-00119-FRAME_rgbmax_scale1.00.png,,https://www.nagaoka-ct.ac.jp,1,zxing_median_otsu_x1.0_k5_i1,,0.980488,0.850305,0.931637,0.087221,,fourier_num:fourier::None:15.0:0:None:gray:0,fourier,,,15.000000,0
rice_R_12,frame_00000.png,frame_00119.png,rice_R_12/rgb_max_fourier_f300_gray/00000-00119-FRAME_rgbmax_scale1.00.png,,https://www.nagaoka-ct.ac.jp,1,zxing_gray_x1.0_k3_i1,,0.896502,0.973063,0.954342,0.004671,,fourier_num:fourier::None:30.0:0:None:gray:0,fourier,,,30.000000,0
nagaoka_fireworks_R_4,frame_00000.png,frame_00119.png,nagaoka_fireworks_R_4/rgb_max_fourier_f300_gray/00000-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.336284,0.444697,0.614413,0.275082,,fourier_num:fourier::None:10.007740783111792:0:None:gray:0,fourier,,,10.007741,0
