folder,decode_note,decode_variant,diff_mode,window_n,stat_kind,fft_target_hz,diff_threshold,pixel_acc_all,pixel_acc_ok,pixel_acc_best,best_pair_frame_1,best_pair_frame_2,video,display_rate,exposure,fluorescent,camera_fps,rate_hz,exposure_denom,fluorescent_flag,cond,image,channel,token,intensity,decode_decoded_text,decode_method,decode_frame_1,decode_frame_2,note,analysis_frames,extract_sec
rice_R_4,QR未検出,,accum,5,,,32,0.648933,,0.649224,frame_00080.png,frame_00084.png,r120_e60_f1.mp4,120 Hz,1/60,蛍光灯あり,58.848 fps,120,60,1,0,rice,R,R,4,,,frame_00110.png,frame_00114.png,,117,1.988157
rice_R_8,QR未検出,,accum,5,,,32,0.648926,,0.649287,frame_00070.png,frame_00074.png,r120_e60_f1.mp4,120 Hz,1/60,蛍光灯あり,58.848 fps,120,60,1,1,rice,R,R,8,,,frame_00090.png,frame_00094.png,,117,1.988157
rice_R_12,QR未検出,,accum,5,,,32,0.648854,,0.649196,frame_00055.png,frame_00059.png,r120_e60_f1.mp4,120 Hz,1/60,蛍光灯あり,58.848 fps,120,60,1,2,rice,R,R,12,,,frame_00105.png,frame_00109.png,,117,1.988157
nagaoka_fireworks_R_4,QR未検出,,accum,5,,,32,0.648358,,0.649047,frame_00095.png,frame_00099.png,r120_e60_f1.mp4,120 Hz,1/60,蛍光灯あり,58.848 fps,120,60,1,3,nagaoka_fireworks,R,R,4,,,frame_00110.png,frame_00114.png,,117,1.988157
nagaoka_fireworks_R_8,QR未検出,,accum,5,,,32,0.648428,,0.649021,frame_00055.png,frame_00059.png,r120_e60_f1.mp4,120 Hz,1/60,蛍光灯あり,58.848 fps,120,60,1,4,nagaoka_fireworks,R,R,8,,,frame_00110.png,frame_00114.png,,117,1.988157
nagaoka_fireworks_R_12,QR未検出,,accum,5,,,32,0.648658,,0.649315,frame_00055.png,frame_00059.png,r120_e60_f1.mp4,120 Hz,1/60,蛍光灯あり,58.848 fps,120,60,1,5,nagaoka_fireworks,R,R,12,,,frame_00110.png,frame_00114.png,,117,1.988157
hocho_R_4,QR未検出,,accum,5,,,32,0.648782,,0.649401,frame_00030.png,frame_00034.png,r120_e60_f1.mp4,120 Hz,1/60,蛍光灯あり,58.848 fps,120,60,1,6,hocho,R,R,4,,,frame_00110.png,frame_00114.png,,117,1.988157
hocho_R_8,QR未検出,,accum,5,,,32,0.648767,,0.649604,frame_00055.png,frame_00059.png,r120_e60_f1.mp4,120 Hz,1/60,蛍光灯あり,58.848 fps,120,60,1,7,hocho,R,R,8,,,frame_00110.png,frame_00114.png,,117,1.988157
hocho_R_12,QR未検出,,accum,5,,,32,0.649287,,0.650008,frame_00045.png,frame_00049.png,r120_e60_f1.mp4,120 Hz,1/60,蛍光灯あり,58.848 fps,120,60,1,8,hocho,R,R,12,,,frame_00110.png,frame_00114.png,,117,1.988157
ex_R_4,QR未検出,,accum,5,,,32,0.649037,,0.649193,frame_00010.png,frame_00014.png,r120_e60_f1.mp4,120 Hz,1/60,蛍光灯あり,58.848 fps,120,60,1,9,ex,R,R,4,,,frame_00110.png,frame_00114.png,,117,1.988157
ex_R_8,QR未検出,,accum,5,,,32,0.649038,,0.649273,frame_00090.png,frame_00094.png,r120_e60_f1.mp4,120 Hz,1/60,蛍光灯あり,58.848 fps,120,60,1,10,ex,R,R,8,,,frame_00110.png,frame_00114.png,,117,1.988157
ex_R_12,QR未検出,,accum,5,,,32,0.649097,,0.649376,frame_00010.png,frame_00014.png,r120_e60_f1.mp4,120 Hz,1/60,蛍光灯あり,58.848 fps,120,60,1,11,ex,R,R,12,,,frame_00110.png,frame_00114.png,,117,1.988157
rice_G_4,QR未検出,,accum,5,,,32,0.649014,,0.649362,frame_00040.png,frame_00044.png,r120_e60_f1.mp4,120 Hz,1/60,蛍光灯あり,58.848 fps,120,60,1,12,rice,G,G,4,,,frame_00110.png,frame_00114.png,,117,1.988157
rice_G_8,QR未検出,,accum,5,,,32,0.648969,,0.649301,frame_00005.png,frame_00009.png,r120_e60_f1.mp4,120 Hz,1/60,蛍光灯あり,58.848 fps,120,60,1,13,rice,G,G,8,,,frame_00095.png,frame_00099.png,,117,1.988157
rice_G_12,QR未検出,,accum,5,,,32,0.649048,,0.649275,frame_00085.png,frame_00089.png,r120_e60_f1.mp4,120 Hz,1/60,蛍光灯あり,58.848 fps,120,60,1,14,rice,G,G,12,,,frame_00095.png,frame_00099.png,,117,1.988157
nagaoka_fireworks_G_4,QR未検出,,accum,5,,,32,0.648344,,0.649135,frame_00035.png,frame_00039.png,r120_e60_f1.mp4,120 Hz,1/60,蛍光灯あり,58.848 fps,120,60,1,15,nagaoka_fireworks,G,G,4,,,frame_00110.png,frame_00114.png,,117,1.988157
nagaoka_fireworks_G_8,QR未検出,,accum,5,,,32,0.648311,,0.649187,frame_00095.png,frame_00099.png,r120_e60_f1.mp4,120 Hz,1/60,蛍光灯あり,58.848 fps,120,60,1,16,nagaoka_fireworks,G,G,8,,,frame_00105.png,frame_00109.png,,117,1.988157
nagaoka_fireworks_G_12,QR未検出,,accum,5,,,32,0.648451,,0.648930,frame_00050.png,frame_00054.png,r120_e60_f1.mp4,120 Hz,1/60,蛍光灯あり,58.848 fps,120,60,1,17,nagaoka_fireworks,G,G,12,,,frame_00105.png,frame_00109.png,,117,1.988157
hocho_G_4,QR未検出,,accum,5,,,32,0.648751,,0.649271,frame_00105.png,frame_00109.png,r120_e60_f1.mp4,120 Hz,1/60,蛍光灯あり,58.848 fps,120,60,1,18,hocho,G,G,4,,,frame_00110.png,frame_00114.png,,117,1.988157
hocho_G_8,QR未検出,,accum,5,,,32,0.648787,,0.649180,frame_00110.png,frame_00114.png,r120_e60_f1.mp4,120 Hz,1/60,蛍光灯あり,58.848 fps,120,60,1,19,hocho,G,G,8,,,frame_00110.png,frame_00114.png,,117,1.988157
hocho_G_12,QR未検出,,accum,5,,,32,0.648852,,0.649284,frame_00000.png,frame_00004.png,r120_e60_f1.mp4,120 Hz,1/60,蛍光灯あり,58.848 fps,120,60,1,20,hocho,G,G,12,,,frame_00110.png,frame_00114.png,,117,1.988157
ex_G_4,QR未検出,,accum,5,,,32,0.649050,,0.649306,frame_00070.png,frame_00074.png,r120_e60_f1.mp4,120 Hz,1/60,蛍光灯あり,58.848 fps,120,60,1,21,ex,G,G,4,,,frame_00100.png,frame_00104.png,,117,1.988157
