folder,decode_note,decode_variant,diff_mode,window_n,stat_kind,fft_target_hz,diff_threshold,pixel_acc_all,pixel_acc_ok,pixel_acc_best,best_pair_frame_1,best_pair_frame_2,video,display_rate,exposure,fluorescent,camera_fps,rate_hz,exposure_denom,fluorescent_flag,cond,image,channel,token,intensity,decode_decoded_text,decode_method,decode_frame_1,decode_frame_2,note,analysis_frames,extract_sec
rice_R_4,QR未検出,,stat,,std,,0,0.626489,,0.626489,frame_00000.png,frame_00119.png,r180_e125_f1.mp4,180 Hz,1/125,蛍光灯あり,59.886 fps,180,125,1,0,rice,R,R,4,,,frame_00000.png,frame_00119.png,,120,2.003791
rice_R_8,QR未検出,,stat,,std,,0,0.740176,,0.740176,frame_00000.png,frame_00119.png,r180_e125_f1.mp4,180 Hz,1/125,蛍光灯あり,59.886 fps,180,125,1,1,rice,R,R,8,,,frame_00000.png,frame_00119.png,,120,2.003791
rice_R_12,QR未検出,,stat,,std,,0,0.851988,,0.851988,frame_00000.png,frame_00119.png,r180_e125_f1.mp4,180 Hz,1/125,蛍光灯あり,59.886 fps,180,125,1,2,rice,R,R,12,,,frame_00000.png,frame_00119.png,,120,2.003791
nagaoka_fireworks_R_4,QR未検出,,stat,,std,,0,0.567033,,0.567033,frame_00000.png,frame_00119.png,r180_e125_f1.mp4,180 Hz,1/125,蛍光灯あり,59.886 fps,180,125,1,3,nagaoka_fireworks,R,R,4,,,frame_00000.png,frame_00119.png,,120,2.003791
nagaoka_fireworks_R_8,QR未検出,,stat,,std,,0,0.606992,,0.606992,frame_00000.png,frame_00119.png,r180_e125_f1.mp4,180 Hz,1/125,蛍光灯あり,59.886 fps,180,125,1,4,nagaoka_fireworks,R,R,8,,,frame_00000.png,frame_00119.png,,120,2.003791
nagaoka_fireworks_R_12,QR未検出,,stat,,std,,0,0.823955,,0.823955,frame_00000.png,frame_00119.png,r180_e125_f1.mp4,180 Hz,1/125,蛍光灯あり,59.886 fps,180,125,1,5,nagaoka_fireworks,R,R,12,,,frame_00000.png,frame_00119.png,,120,2.003791
hocho_R_4,QR未検出,,stat,,std,,0,0.599390,,0.599390,frame_00000.png,frame_00119.png,r180_e125_f1.mp4,180 Hz,1/125,蛍光灯あり,59.886 fps,180,125,1,6,hocho,R,R,4,,,frame_00000.png,frame_00119.png,,120,2.003791
hocho_R_8,QR未検出,,stat,,std,,0,0.655971,,0.655971,frame_00000.png,frame_00119.png,r180_e125_f1.mp4,180 Hz,1/125,蛍光灯あり,59.886 fps,180,125,1,7,hocho,R,R,8,,,frame_00000.png,frame_00119.png,,120,2.003791
hocho_R_12,QR未検出,,stat,,std,,0,0.771587,,0.771587,frame_00000.png,frame_00119.png,r180_e125_f1.mp4,180 Hz,1/125,蛍光灯あり,59.886 fps,180,125,1,8,hocho,R,R,12,,,frame_00000.png,frame_00119.png,,120,2.003791
ex_R_4,QR未検出,,stat,,std,,0,0.610887,,0.610887,frame_00000.png,frame_00119.png,r180_e125_f1.mp4,180 Hz,1/125,蛍光灯あり,59.886 fps,180,125,1,9,ex,R,R,4,,,frame_00000.png,frame_00119.png,,120,2.003791
ex_R_8,QR未検出,,stat,,std,,0,0.725386,,0.725386,frame_00000.png,frame_00119.png,r180_e125_f1.mp4,180 Hz,1/125,蛍光灯あり,59.886 fps,180,125,1,10,ex,R,R,8,,,frame_00000.png,frame_00119.png,,120,2.003791
ex_R_12,QR未検出,,stat,,std,,0,0.839102,,0.839102,frame_00000.png,frame_00119.png,r180_e125_f1.mp4,180 Hz,1/125,蛍光灯あり,59.886 fps,180,125,1,11,ex,R,R,12,,,frame_00000.png,frame_00119.png,,120,2.003791
rice_G_4,QR未検出,,stat,,std,,0,0.634327,,0.634327,frame_00000.png,frame_00119.png,r180_e125_f1.mp4,180 Hz,1/125,蛍光灯あり,59.886 fps,180,125,1,12,rice,G,G,4,,,frame_00000.png,frame_00119.png,,120,2.003791
rice_G_8,QR未検出,,stat,,std,,0,0.713925,,0.713925,frame_00000.png,frame_00119.png,r180_e125_f1.mp4,180 Hz,1/125,蛍光灯あり,59.886 fps,180,125,1,13,rice,G,G,8,,,frame_00000.png,frame_00119.png,,120,2.003791
rice_G_12,QR未検出,,stat,,std,,0,0.853073,,0.853073,frame_00000.png,frame_00119.png,r180_e125_f1.mp4,180 Hz,1/125,蛍光灯あり,59.886 fps,180,125,1,14,rice,G,G,12,,,frame_00000.png,frame_00119.png,,120,2.003791
nagaoka_fireworks_G_4,QR未検出,,stat,,std,,0,0.570094,,0.570094,frame_00000.png,frame_00119.png,r180_e125_f1.mp4,180 Hz,1/125,蛍光灯あり,59.886 fps,180,125,1,15,nagaoka_fireworks,G,G,4,,,frame_00000.png,frame_00119.png,,120,2.003791
nagaoka_fireworks_G_8,QR未検出,,stat,,std,,0,0.631831,,0.631831,frame_00000.png,frame_00119.png,r180_e125_f1.mp4,180 Hz,1/125,蛍光灯あり,59.886 fps,180,125,1,16,nagaoka_fireworks,G,G,8,,,frame_00000.png,frame_00119.png,,120,2.003791
nagaoka_fireworks_G_12,QR未検出,,stat,,std,,0,0.809422,,0.809422,frame_00000.png,frame_00119.png,r180_e125_f1.mp4,180 Hz,1/125,蛍光灯あり,59.886 fps,180,125,1,17,nagaoka_fireworks,G,G,12,,,frame_00000.png,frame_00119.png,,120,2.003791
hocho_G_4,QR未検出,,stat,,std,,0,0.601630,,0.601630,frame_00000.png,frame_00119.png,r180_e125_f1.mp4,180 Hz,1/125,蛍光灯あり,59.886 fps,180,125,1,18,hocho,G,G,4,,,frame_00000.png,frame_00119.png,,120,2.003791
hocho_G_8,QR未検出,,stat,,std,,0,0.613527,,0.613527,frame_00000.png,frame_00119.png,r180_e125_f1.mp4,180 Hz,1/125,蛍光灯あり,59.886 fps,180,125,1,19,hocho,G,G,8,,,frame_00000.png,frame_00119.png,,120,2.003791
hocho_G_12,QR未検出,,stat,,std,,0,0.778418,,0.778418,frame_00000.png,frame_00119.png,r180_e125_f1.mp4,180 Hz,1/125,蛍光灯あり,59.886 fps,180,125,1,20,hocho,G,G,12,,,frame_00000.png,frame_00119.png,,120,2.003791
ex_G_4,QR未検出,,stat,,std,,0,0.574086,,0.574086,frame_00000.png,frame_00119.png,r180_e125_f1.mp4,180 Hz,1/125,蛍光灯あり,59.886 fps,180,125,1,21,ex,G,G,4,,,frame_00000.png,frame_00119.png,,120,2.003791
ex_G_8,QR未検出,,stat,,std,,0,0.716873,,0.716873,frame_00000.png,frame_00119.png,r180_e125_f1.mp4,180 Hz,1/125,蛍光灯あり,59.886 fps,180,125,1,22,ex,G,G,8,,,frame_00000.png,frame_00119.png,,120,2.003791
ex_G_12,QR未検出,,stat,,std,,0,0.852879,,0.852879,frame_00000.png,frame_00119.png,r180_e125_f1.mp4,180 Hz,1/125,蛍光灯あり,59.886 fps,180,125,1,23,ex,G,G,12,,,frame_00000.png,frame_00119.png,,120,2.003791
rice_B_4,QR未検出,,stat,,std,,0,0.660007,,0.660007,frame_00000.png,frame_00119.png,r180_e125_f1.mp4,180 Hz,1/125,蛍光灯あり,59.886 fps,180,125,1,24,rice,B,B,4,,,frame_00000.png,frame_00119.png,,120,2.003791
rice_B_8,QR未検出,,stat,,std,,0,0.717178,,0.717178,frame_00000.png,frame_00119.png,r180_e125_f1.mp4,180 Hz,1/125,蛍光灯あり,59.886 fps,180,125,1,25,rice,B,B,8,,,frame_00000.png,frame_00119.png,,120,2.003791
rice_B_12,QR未検出,,stat,,std,,0,0.828256,,0.828256,frame_00000.png,frame_00119.png,r180_e125_f1.mp4,180 Hz,1/125,蛍光灯あり,59.886 fps,180,125,1,26,rice,B,B,12,,,frame_00000.png,frame_00119.png,,120,2.003791
nagaoka_fireworks_B_4,QR未検出,,stat,,std,,0,0.583218,,0.583218,frame_00000.png,frame_00119.png,r180_e125_f1.mp4,180 Hz,1/125,蛍光灯あり,59.886 fps,180,125,1,27,nagaoka_fireworks,B,B,4,,,frame_00000.png,frame_00119.png,,120,2.003791
nagaoka_fireworks_B_8,QR未検出,,stat,,std,,0,0.627950,,0.627950,frame_00000.png,frame_00119.png,r180_e125_f1.mp4,180 Hz,1/125,蛍光灯あり,59.886 fps,180,125,1,28,nagaoka_fireworks,B,B,8,,,frame_00000.png,frame_00119.png,,120,2.003791
