folder,cond,frame_1,frame_2,success,accuracy,recall,precision,diff_threshold
rice_R_4,0,frame_00000.png,frame_00001.png,0,0.647573,0.000000,0.000000,12
rice_R_4,0,frame_00001.png,frame_00002.png,0,0.647847,0.000631,0.477444,12
rice_R_4,0,frame_00002.png,frame_00003.png,0,0.647905,0.000432,0.568627,12
rice_R_4,0,frame_00003.png,frame_00004.png,0,0.647901,0.000323,0.585586,12
rice_R_4,0,frame_00004.png,frame_00005.png,0,0.647791,0.000000,0.000000,12
rice_R_4,0,frame_00005.png,frame_00006.png,0,0.647849,0.000139,0.417910,12
rice_R_4,0,frame_00006.png,frame_00007.png,0,0.647957,0.000298,0.869565,12
rice_R_4,0,frame_00007.png,frame_00008.png,0,0.647882,0.000040,1.000000,12
rice_R_4,0,frame_00008.png,frame_00009.png,0,0.647482,0.000000,0.000000,12
rice_R_4,0,frame_00009.png,frame_00010.png,0,0.647807,0.000711,0.445483,12
rice_R_4,0,frame_00106.png,frame_00107.png,0,0.647160,0.000273,0.106796,12
rice_R_4,0,frame_00107.png,frame_00108.png,0,0.647490,0.000040,0.034483,12
rice_R_4,0,frame_00108.png,frame_00109.png,0,0.647868,0.000000,0.000000,12
rice_R_4,0,frame_00109.png,frame_00110.png,0,0.647707,0.000000,0.000000,12
rice_R_4,0,frame_00110.png,frame_00111.png,0,0.647826,0.000045,0.214286,12
rice_R_4,0,frame_00111.png,frame_00112.png,0,0.647733,0.000045,0.094737,12
rice_R_4,0,frame_00112.png,frame_00113.png,0,0.647749,0.000875,0.419048,12
rice_R_4,0,frame_00113.png,frame_00114.png,0,0.647719,0.000015,0.032967,12
rice_R_4,0,frame_00114.png,frame_00115.png,0,0.647749,0.000099,0.185185,12
rice_R_4,0,frame_00115.png,frame_00116.png,0,0.647627,0.000224,0.197368,12
rice_R_8,1,frame_00000.png,frame_00001.png,0,0.647240,0.000502,0.180036,12
rice_R_8,1,frame_00001.png,frame_00002.png,0,0.647133,0.000502,0.162379,12
rice_R_8,1,frame_00002.png,frame_00003.png,0,0.647611,0.000030,0.037736,12
rice_R_8,1,frame_00003.png,frame_00004.png,0,0.648066,0.000785,0.778325,12
rice_R_8,1,frame_00004.png,frame_00005.png,0,0.647639,0.000000,0.000000,12
rice_R_8,1,frame_00005.png,frame_00006.png,0,0.647803,0.000080,0.231884,12
rice_R_8,1,frame_00006.png,frame_00007.png,0,0.647459,0.000000,0.000000,12
rice_R_8,1,frame_00007.png,frame_00008.png,0,0.647483,0.000000,0.000000,12
rice_R_8,1,frame_00008.png,frame_00009.png,0,0.647142,0.000000,0.000000,12
rice_R_8,1,frame_00009.png,frame_00010.png,0,0.647329,0.000378,0.165217,12
rice_R_8,1,frame_00106.png,frame_00107.png,0,0.647803,0.000000,0.000000,12
rice_R_8,1,frame_00107.png,frame_00108.png,0,0.647417,0.000308,0.162304,12
rice_R_8,1,frame_00108.png,frame_00109.png,0,0.647943,0.000432,0.664122,12
rice_R_8,1,frame_00109.png,frame_00110.png,0,0.647644,0.000194,0.189320,12
rice_R_8,1,frame_00110.png,frame_00111.png,0,0.647623,0.000000,0.000000,12
rice_R_8,1,frame_00111.png,frame_00112.png,0,0.647705,0.000000,0.000000,12
rice_R_8,1,frame_00112.png,frame_00113.png,0,0.647735,0.000020,0.047619,12
rice_R_8,1,frame_00113.png,frame_00114.png,0,0.647628,0.000000,0.000000,12
rice_R_8,1,frame_00114.png,frame_00115.png,0,0.647842,0.000139,0.394366,12
rice_R_8,1,frame_00115.png,frame_00116.png,0,0.647854,0.000000,0.000000,12
rice_R_12,2,frame_00000.png,frame_00001.png,0,0.783480,0.445060,0.881301,4
rice_R_12,2,frame_00001.png,frame_00002.png,0,0.792473,0.473392,0.882983,4
rice_R_12,2,frame_00002.png,frame_00003.png,0,0.799005,0.491528,0.887472,4
rice_R_12,2,frame_00003.png,frame_00004.png,0,0.789872,0.457735,0.893660,4
rice_R_12,2,frame_00004.png,frame_00005.png,0,0.786512,0.440563,0.903907,4
rice_R_12,2,frame_00005.png,frame_00006.png,0,0.778156,0.410229,0.910686,4
rice_R_12,2,frame_00006.png,frame_00007.png,0,0.744641,0.647459,0.634702,4
rice_R_12,2,frame_00007.png,frame_00008.png,0,0.793327,0.492055,0.861699,4
rice_R_12,2,frame_00008.png,frame_00009.png,0,0.763653,0.375268,0.889838,4
rice_R_12,2,frame_00009.png,frame_00010.png,0,0.749899,0.339503,0.872185,4
rice_R_12,2,frame_00106.png,frame_00107.png,0,0.782644,0.440916,0.883439,4
rice_R_12,2,frame_00107.png,frame_00108.png,0,0.777162,0.407198,0.910506,4
rice_R_12,2,frame_00108.png,frame_00109.png,0,0.778401,0.416360,0.901157,4
rice_R_12,2,frame_00109.png,frame_00110.png,0,0.764277,0.363323,0.917338,4
rice_R_12,2,frame_00110.png,frame_00111.png,0,0.758867,0.345793,0.918768,4
rice_R_12,2,frame_00111.png,frame_00112.png,0,0.748198,0.317735,0.906393,4
rice_R_12,2,frame_00112.png,frame_00113.png,0,0.752628,0.330937,0.908239,4
rice_R_12,2,frame_00113.png,frame_00114.png,0,0.749851,0.330405,0.890114,4
rice_R_12,2,frame_00114.png,frame_00115.png,0,0.737276,0.296518,0.874348,4
rice_R_12,2,frame_00115.png,frame_00116.png,0,0.747138,0.330837,0.871163,4
nagaoka_fireworks_R_4,3,frame_00000.png,frame_00001.png,0,0.648197,0.002171,0.637026,12
nagaoka_fireworks_R_4,3,frame_00001.png,frame_00002.png,0,0.647573,0.001694,0.400705,12
nagaoka_fireworks_R_4,3,frame_00002.png,frame_00003.png,0,0.647482,0.001401,0.359236,12
nagaoka_fireworks_R_4,3,frame_00003.png,frame_00004.png,0,0.647580,0.002127,0.419197,12
nagaoka_fireworks_R_4,3,frame_00004.png,frame_00005.png,0,0.647791,0.001630,0.468571,12
nagaoka_fireworks_R_4,3,frame_00005.png,frame_00006.png,0,0.647656,0.001396,0.411420,12
nagaoka_fireworks_R_4,3,frame_00006.png,frame_00007.png,0,0.647905,0.001630,0.516535,12
nagaoka_fireworks_R_4,3,frame_00007.png,frame_00008.png,0,0.647508,0.002082,0.401341,12
nagaoka_fireworks_R_4,3,frame_00008.png,frame_00009.png,0,0.647761,0.002147,0.467027,12
nagaoka_fireworks_R_4,3,frame_00009.png,frame_00010.png,0,0.647333,0.002062,0.365317,12
nagaoka_fireworks_R_4,3,frame_00106.png,frame_00107.png,0,0.648271,0.003344,0.603047,12
nagaoka_fireworks_R_4,3,frame_00107.png,frame_00108.png,0,0.647924,0.002534,0.516194,12
nagaoka_fireworks_R_4,3,frame_00108.png,frame_00109.png,0,0.647637,0.002867,0.448678,12
nagaoka_fireworks_R_4,3,frame_00109.png,frame_00110.png,0,0.647660,0.001535,0.419267,12
nagaoka_fireworks_R_4,3,frame_00110.png,frame_00111.png,0,0.647646,0.001824,0.426249,12
nagaoka_fireworks_R_4,3,frame_00111.png,frame_00112.png,0,0.647705,0.001391,0.428790,12
nagaoka_fireworks_R_4,3,frame_00112.png,frame_00113.png,0,0.647413,0.002007,0.378277,12
nagaoka_fireworks_R_4,3,frame_00113.png,frame_00114.png,0,0.647571,0.001520,0.391304,12
nagaoka_fireworks_R_4,3,frame_00114.png,frame_00115.png,0,0.648027,0.001530,0.586667,12
nagaoka_fireworks_R_4,3,frame_00115.png,frame_00116.png,0,0.647824,0.002296,0.486828,12
nagaoka_fireworks_R_8,4,frame_00000.png,frame_00001.png,0,0.648862,0.004397,0.736273,12
nagaoka_fireworks_R_8,4,frame_00001.png,frame_00002.png,0,0.649352,0.007269,0.704042,12
nagaoka_fireworks_R_8,4,frame_00002.png,frame_00003.png,0,0.648381,0.004382,0.599592,12
nagaoka_fireworks_R_8,4,frame_00003.png,frame_00004.png,0,0.647441,0.003245,0.421290,12
nagaoka_fireworks_R_8,4,frame_00004.png,frame_00005.png,0,0.648316,0.003642,0.605785,12
nagaoka_fireworks_R_8,4,frame_00005.png,frame_00006.png,0,0.647513,0.002832,0.424423,12
nagaoka_fireworks_R_8,4,frame_00006.png,frame_00007.png,0,0.647471,0.001441,0.359356,12
nagaoka_fireworks_R_8,4,frame_00007.png,frame_00008.png,0,0.648199,0.003240,0.584753,12
nagaoka_fireworks_R_8,4,frame_00008.png,frame_00009.png,0,0.648026,0.002683,0.545455,12
nagaoka_fireworks_R_8,4,frame_00009.png,frame_00010.png,0,0.648195,0.004308,0.560440,12
nagaoka_fireworks_R_8,4,frame_00106.png,frame_00107.png,0,0.648258,0.002937,0.616267,12
nagaoka_fireworks_R_8,4,frame_00107.png,frame_00108.png,0,0.647781,0.002012,0.470930,12
nagaoka_fireworks_R_8,4,frame_00108.png,frame_00109.png,0,0.647342,0.001605,0.341077,12
nagaoka_fireworks_R_8,4,frame_00109.png,frame_00110.png,0,0.647517,0.002524,0.417420,12
nagaoka_fireworks_R_8,4,frame_00110.png,frame_00111.png,0,0.648094,0.003697,0.547461,12
nagaoka_fireworks_R_8,4,frame_00111.png,frame_00112.png,0,0.647931,0.002773,0.516667,12
nagaoka_fireworks_R_8,4,frame_00112.png,frame_00113.png,0,0.647207,0.002122,0.346591,12
nagaoka_fireworks_R_8,4,frame_00113.png,frame_00114.png,0,0.647744,0.002539,0.467521,12
nagaoka_fireworks_R_8,4,frame_00114.png,frame_00115.png,0,0.648113,0.004363,0.543317,12
nagaoka_fireworks_R_8,4,frame_00115.png,frame_00116.png,0,0.647795,0.003269,0.484536,12
nagaoka_fireworks_R_12,5,frame_00000.png,frame_00001.png,0,0.769986,0.473387,0.789009,4
nagaoka_fireworks_R_12,5,frame_00001.png,frame_00002.png,0,0.760026,0.436032,0.787695,4
nagaoka_fireworks_R_12,5,frame_00002.png,frame_00003.png,0,0.757237,0.416966,0.796736,4
nagaoka_fireworks_R_12,5,frame_00003.png,frame_00004.png,0,0.738226,0.333222,0.813052,4
nagaoka_fireworks_R_12,5,frame_00004.png,frame_00005.png,0,0.729704,0.311857,0.796950,4
nagaoka_fireworks_R_12,5,frame_00005.png,frame_00006.png,0,0.731109,0.314401,0.801203,4
nagaoka_fireworks_R_12,5,frame_00006.png,frame_00007.png,0,0.733814,0.308085,0.827967,4
nagaoka_fireworks_R_12,5,frame_00007.png,frame_00008.png,0,0.728238,0.305601,0.797986,4
nagaoka_fireworks_R_12,5,frame_00008.png,frame_00009.png,0,0.733366,0.335672,0.783285,4
nagaoka_fireworks_R_12,5,frame_00009.png,frame_00010.png,0,0.741623,0.362022,0.790794,4
nagaoka_fireworks_R_12,5,frame_00106.png,frame_00107.png,0,0.728248,0.316393,0.782145,4
nagaoka_fireworks_R_12,5,frame_00107.png,frame_00108.png,0,0.723762,0.286635,0.801231,4
nagaoka_fireworks_R_12,5,frame_00108.png,frame_00109.png,0,0.728428,0.303678,0.802155,4
nagaoka_fireworks_R_12,5,frame_00109.png,frame_00110.png,0,0.731634,0.314654,0.803864,4
nagaoka_fireworks_R_12,5,frame_00110.png,frame_00111.png,0,0.726243,0.308587,0.782021,4
nagaoka_fireworks_R_12,5,frame_00111.png,frame_00112.png,0,0.737366,0.350703,0.784137,4
nagaoka_fireworks_R_12,5,frame_00112.png,frame_00113.png,0,0.748154,0.387636,0.790327,4
nagaoka_fireworks_R_12,5,frame_00113.png,frame_00114.png,0,0.763724,0.424092,0.816865,4
nagaoka_fireworks_R_12,5,frame_00114.png,frame_00115.png,0,0.761215,0.437895,0.790565,4
nagaoka_fireworks_R_12,5,frame_00115.png,frame_00116.png,0,0.774425,0.473049,0.806294,4
hocho_R_4,6,frame_00000.png,frame_00001.png,0,0.647676,0.000795,0.372093,12
hocho_R_4,6,frame_00001.png,frame_00002.png,0,0.647719,0.001451,0.436472,12
hocho_R_4,6,frame_00002.png,frame_00003.png,0,0.647770,0.000676,0.414634,12
hocho_R_4,6,frame_00003.png,frame_00004.png,0,0.647814,0.000129,0.313253,12
hocho_R_4,6,frame_00004.png,frame_00005.png,0,0.647856,0.000462,0.481865,12
hocho_R_4,6,frame_00005.png,frame_00006.png,0,0.648097,0.000775,0.861878,12
hocho_R_4,6,frame_00006.png,frame_00007.png,0,0.647856,0.000214,0.462366,12
hocho_R_4,6,frame_00007.png,frame_00008.png,0,0.647648,0.000318,0.251969,12
hocho_R_4,6,frame_00008.png,frame_00009.png,0,0.647592,0.000472,0.272989,12
hocho_R_4,6,frame_00009.png,frame_00010.png,0,0.647765,0.000084,0.182796,12
hocho_R_4,6,frame_00106.png,frame_00107.png,0,0.648169,0.001630,0.677686,12
hocho_R_4,6,frame_00107.png,frame_00108.png,0,0.648169,0.001188,0.781046,12
hocho_R_4,6,frame_00108.png,frame_00109.png,0,0.648068,0.000944,0.714286,12
hocho_R_4,6,frame_00109.png,frame_00110.png,0,0.647830,0.000532,0.453390,12
hocho_R_4,6,frame_00110.png,frame_00111.png,0,0.647768,0.000532,0.394834,12
hocho_R_4,6,frame_00111.png,frame_00112.png,0,0.647742,0.000353,0.331776,12
hocho_R_4,6,frame_00112.png,frame_00113.png,0,0.647810,0.000243,0.374046,12
hocho_R_4,6,frame_00113.png,frame_00114.png,0,0.647809,0.000139,0.311111,12
hocho_R_4,6,frame_00114.png,frame_00115.png,0,0.647956,0.000904,0.579618,12
hocho_R_4,6,frame_00115.png,frame_00116.png,0,0.647732,0.000631,0.382530,12
