folder,frame_1,frame_2,diff_image,analysis_image,decoded_text,success,method,note,recall,precision,accuracy,noise,gt_note,diff_mode,window_n,stat_kind,fft_target_hz,diff_threshold,task_key
rice_R_4,frame_00060.png,frame_00064.png,,,,0,decode失敗,QR未検出,0.880964,0.677793,0.808873,0.247384,,accum,5,,,0,accum_num:accum::5:None:0:None:gray:12
rice_R_4,frame_00075.png,frame_00079.png,,,,0,decode失敗,QR未検出,0.898945,0.683961,0.816475,0.248360,,accum,5,,,0,accum_num:accum::5:None:0:None:gray:15
rice_R_4,frame_00035.png,frame_00039.png,,,,0,decode失敗,QR未検出,0.860492,0.704905,0.822408,0.217077,,accum,5,,,0,accum_num:accum::5:None:0:None:gray:7
rice_R_4,frame_00030.png,frame_00034.png,,,,0,decode失敗,QR未検出,0.902780,0.661991,0.801642,0.275768,,accum,5,,,0,accum_num:accum::5:None:0:None:gray:6
rice_R_4,frame_00025.png,frame_00029.png,,,,0,decode失敗,QR未検出,0.864515,0.693570,0.816117,0.225822,,accum,5,,,0,accum_num:accum::5:None:0:None:gray:5
rice_R_4,frame_00005.png,frame_00009.png,,,,0,decode失敗,QR未検出,0.860231,0.697283,0.817614,0.219837,,accum,5,,,0,accum_num:accum::5:None:0:None:gray:1
rice_R_4,frame_00055.png,frame_00059.png,,,,0,decode失敗,QR未検出,0.898669,0.661501,0.800569,0.272544,,accum,5,,,0,accum_num:accum::5:None:0:None:gray:11
rice_R_4,frame_00050.png,frame_00054.png,,,,0,decode失敗,QR未検出,0.870014,0.697596,0.819780,0.236929,,accum,5,,,0,accum_num:accum::5:None:0:None:gray:10
rice_R_4,frame_00040.png,frame_00044.png,rice_R_4/rgb_max_accum_n5_gray/00040-00044-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.854038,0.711965,0.825344,0.215147,,accum,5,,,0,accum_num:accum::5:None:0:None:gray:8
rice_R_4,frame_00070.png,frame_00074.png,,,,0,decode失敗,QR未検出,0.893150,0.672234,0.807272,0.251766,,accum,5,,,0,accum_num:accum::5:None:0:None:gray:14
rice_R_4,frame_00015.png,frame_00019.png,,,,0,decode失敗,QR未検出,0.874711,0.699201,0.821749,0.235693,,accum,5,,,0,accum_num:accum::5:None:0:None:gray:3
rice_R_4,frame_00010.png,frame_00014.png,,,,0,decode失敗,QR未検出,0.851787,0.708919,0.823042,0.212543,,accum,5,,,0,accum_num:accum::5:None:0:None:gray:2
rice_R_4,frame_00000.png,frame_00004.png,,,,0,decode失敗,QR未検出,0.896212,0.660382,0.799327,0.273084,,accum,5,,,0,accum_num:accum::5:None:0:None:gray:0
rice_R_4,frame_00065.png,frame_00069.png,,,,0,decode失敗,QR未検出,0.907881,0.649422,0.793096,0.283176,,accum,5,,,0,accum_num:accum::5:None:0:None:gray:13
rice_R_4,frame_00020.png,frame_00024.png,,,,0,decode失敗,QR未検出,0.905729,0.650536,0.793593,0.292237,,accum,5,,,0,accum_num:accum::5:None:0:None:gray:4
rice_R_4,frame_00045.png,frame_00049.png,,,,0,decode失敗,QR未検出,0.872407,0.692132,0.816753,0.238864,,accum,5,,,0,accum_num:accum::5:None:0:None:gray:9
rice_R_4,frame_00090.png,frame_00094.png,,,,0,decode失敗,QR未検出,0.871166,0.684736,0.811678,0.241417,,accum,5,,,0,accum_num:accum::5:None:0:None:gray:18
rice_R_4,frame_00085.png,frame_00089.png,,,,0,decode失敗,QR未検出,0.845746,0.707265,0.820785,0.202440,,accum,5,,,0,accum_num:accum::5:None:0:None:gray:17
rice_R_4,frame_00080.png,frame_00084.png,,,,0,decode失敗,QR未検出,0.870315,0.670937,0.802224,0.260951,,accum,5,,,0,accum_num:accum::5:None:0:None:gray:16
rice_R_4,frame_00115.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.909496,0.665187,0.805155,0.273725,,accum,5,,,0,accum_num:accum::5:None:0:None:gray:23
rice_R_4,frame_00100.png,frame_00104.png,,,,0,decode失敗,QR未検出,0.880743,0.684879,0.813609,0.245521,,accum,5,,,0,accum_num:accum::5:None:0:None:gray:20
rice_R_4,frame_00105.png,frame_00109.png,,,,0,decode失敗,QR未検出,0.898024,0.661182,0.800224,0.276189,,accum,5,,,0,accum_num:accum::5:None:0:None:gray:21
rice_R_4,frame_00095.png,frame_00099.png,,,,0,decode失敗,QR未検出,0.887360,0.677560,0.809905,0.245620,,accum,5,,,0,accum_num:accum::5:None:0:None:gray:19
rice_R_4,frame_00110.png,frame_00114.png,,,,0,decode失敗,QR未検出,0.874554,0.682625,0.810924,0.248068,,accum,5,,,0,accum_num:accum::5:None:0:None:gray:22
rice_R_8,frame_00025.png,frame_00029.png,,,https://www.nagaoka-ct.ac.jp,1,zxing_gray_x1.0_k3_i1,,0.012964,0.986512,0.649173,0.000082,,accum,5,,,0,accum_num:accum::5:None:0:None:gray:5
rice_R_8,frame_00065.png,frame_00069.png,,,https://www.nagaoka-ct.ac.jp,1,zxing_gray_x1.0_k3_i1,,0.018980,0.992533,0.651324,0.000030,,accum,5,,,0,accum_num:accum::5:None:0:None:gray:13
rice_R_8,frame_00060.png,frame_00064.png,,,https://www.nagaoka-ct.ac.jp,1,zxing_gray_x1.0_k3_i1,,0.020034,0.989784,0.651675,0.000041,,accum,5,,,0,accum_num:accum::5:None:0:None:gray:12
rice_R_8,frame_00045.png,frame_00049.png,,,https://www.nagaoka-ct.ac.jp,1,zxing_gray_x1.0_k3_i1,,0.047261,0.987958,0.661220,0.000190,,accum,5,,,0,accum_num:accum::5:None:0:None:gray:9
rice_R_8,frame_00075.png,frame_00079.png,,,https://www.nagaoka-ct.ac.jp,1,zxing_gray_x1.0_k3_i1,,0.043091,0.989374,0.659778,0.000142,,accum,5,,,0,accum_num:accum::5:None:0:None:gray:15
rice_R_8,frame_00005.png,frame_00009.png,,,https://www.nagaoka-ct.ac.jp,1,zxing_gray_x1.0_k3_i1,,0.063444,0.990317,0.666955,0.000169,,accum,5,,,0,accum_num:accum::5:None:0:None:gray:1
rice_R_8,frame_00010.png,frame_00014.png,,,https://www.nagaoka-ct.ac.jp,1,zxing_gray_x1.0_k3_i1,,0.092754,0.985149,0.677095,0.000439,,accum,5,,,0,accum_num:accum::5:None:0:None:gray:2
rice_R_8,frame_00015.png,frame_00019.png,,,https://www.nagaoka-ct.ac.jp,1,zxing_gray_x1.0_k3_i1,,0.001044,1.000000,0.645000,0.000000,,accum,5,,,0,accum_num:accum::5:None:0:None:gray:3
rice_R_8,frame_00000.png,frame_00004.png,,,https://www.nagaoka-ct.ac.jp,1,zxing_gray_x1.0_k3_i1,,0.004569,0.993576,0.646243,0.000005,,accum,5,,,0,accum_num:accum::5:None:0:None:gray:0
rice_R_8,frame_00030.png,frame_00034.png,,,https://www.nagaoka-ct.ac.jp,1,zxing_gray_x1.0_k3_i1,,0.057019,0.987719,0.664641,0.000223,,accum,5,,,0,accum_num:accum::5:None:0:None:gray:6
rice_R_8,frame_00040.png,frame_00044.png,,,https://www.nagaoka-ct.ac.jp,1,zxing_gray_x1.0_k3_i1,,0.032978,0.988635,0.656214,0.000141,,accum,5,,,0,accum_num:accum::5:None:0:None:gray:8
