folder,pass,adopted,decode_success,decode_note,decode_variant,diff_mode,repr_mode,window_n,stat_kind,fft_target_hz,diff_threshold,phase_steps,n_maps,pixel_acc_all,pixel_acc_ok,pixel_acc_best,best_pair_frame_1,best_pair_frame_2,video,display_rate,exposure,fluorescent,camera_fps,rate_hz,exposure_denom,fluorescent_flag,cond,image,channel,token,intensity,decode_decoded_text,decode_method,decode_frame_1,decode_frame_2,note,analysis_frames,extract_sec
rice_R_4,stat_var,1,0,QR未検出,,stat,binary,,var,,1,,1,0.644630,,0.644630,frame_00000.png,frame_00119.png,r45_e125_f0.mp4,45 Hz,1/125,蛍光灯なし,60.008 fps,45,125,0,0,rice,R,R,4,,,frame_00000.png,frame_00119.png,,120,1.999742
rice_R_4,stat_var,0,0,QR未検出,,stat,binary,,var,,2,,1,0.644630,,0.644630,frame_00000.png,frame_00119.png,r45_e125_f0.mp4,45 Hz,1/125,蛍光灯なし,60.008 fps,45,125,0,0,rice,R,R,4,,,frame_00000.png,frame_00119.png,,120,1.999742
rice_R_8,stat_var,1,0,QR未検出,,stat,binary,,var,,1,,1,0.654872,,0.654872,frame_00000.png,frame_00119.png,r45_e125_f0.mp4,45 Hz,1/125,蛍光灯なし,60.008 fps,45,125,0,1,rice,R,R,8,,,frame_00000.png,frame_00119.png,,120,1.999742
rice_R_8,stat_var,0,0,QR未検出,,stat,binary,,var,,2,,1,0.644673,,0.644673,frame_00000.png,frame_00119.png,r45_e125_f0.mp4,45 Hz,1/125,蛍光灯なし,60.008 fps,45,125,0,1,rice,R,R,8,,,frame_00000.png,frame_00119.png,,120,1.999742
rice_R_12,stat_var,1,1,,zxing_gray,stat,binary,,var,,1,,1,0.957247,0.957247,0.957247,frame_00000.png,frame_00119.png,r45_e125_f0.mp4,45 Hz,1/125,蛍光灯なし,60.008 fps,45,125,0,2,rice,R,R,12,https://www.nagaoka-ct.ac.jp,zxing_gray_x1.0_k3_i1,frame_00000.png,frame_00119.png,,120,1.999742
rice_R_12,stat_var,0,0,QR未検出,,stat,binary,,var,,2,,1,0.859589,,0.859589,frame_00000.png,frame_00119.png,r45_e125_f0.mp4,45 Hz,1/125,蛍光灯なし,60.008 fps,45,125,0,2,rice,R,R,12,,,frame_00000.png,frame_00119.png,,120,1.999742
nagaoka_fireworks_R_4,stat_var,1,0,QR未検出,,stat,binary,,var,,1,,1,0.644684,,0.644684,frame_00000.png,frame_00119.png,r45_e125_f0.mp4,45 Hz,1/125,蛍光灯なし,60.008 fps,45,125,0,3,nagaoka_fireworks,R,R,4,,,frame_00000.png,frame_00119.png,,120,1.999742
nagaoka_fireworks_R_4,stat_var,0,0,QR未検出,,stat,binary,,var,,2,,1,0.644675,,0.644675,frame_00000.png,frame_00119.png,r45_e125_f0.mp4,45 Hz,1/125,蛍光灯なし,60.008 fps,45,125,0,3,nagaoka_fireworks,R,R,4,,,frame_00000.png,frame_00119.png,,120,1.999742
nagaoka_fireworks_R_8,stat_var,1,0,QR未検出,,stat,binary,,var,,1,,1,0.655325,,0.655325,frame_00000.png,frame_00119.png,r45_e125_f0.mp4,45 Hz,1/125,蛍光灯なし,60.008 fps,45,125,0,4,nagaoka_fireworks,R,R,8,,,frame_00000.png,frame_00119.png,,120,1.999742
nagaoka_fireworks_R_8,stat_var,0,0,QR未検出,,stat,binary,,var,,2,,1,0.644847,,0.644847,frame_00000.png,frame_00119.png,r45_e125_f0.mp4,45 Hz,1/125,蛍光灯なし,60.008 fps,45,125,0,4,nagaoka_fireworks,R,R,8,,,frame_00000.png,frame_00119.png,,120,1.999742
