folder,decode_note,decode_variant,diff_mode,window_n,stat_kind,fft_target_hz,diff_threshold,pixel_acc_all,pixel_acc_ok,pixel_acc_best,best_pair_frame_1,best_pair_frame_2,video,display_rate,exposure,fluorescent,camera_fps,rate_hz,exposure_denom,fluorescent_flag,cond,image,channel,token,intensity,decode_decoded_text,decode_method,decode_frame_1,decode_frame_2,note,analysis_frames,extract_sec
rice_R_4,QR未検出,,fourier,,,22.500000,0,0.863025,,0.863025,frame_00000.png,frame_00119.png,r45_e250_f1.mp4,45 Hz,1/250,蛍光灯あり,59.997 fps,45,250,1,0,rice,R,R,4,,,frame_00000.png,frame_00119.png,,120,2.000089
rice_R_8,QR未検出,,fourier,,,11.250000,0,0.895777,,0.895777,frame_00000.png,frame_00119.png,r45_e250_f1.mp4,45 Hz,1/250,蛍光灯あり,59.997 fps,45,250,1,1,rice,R,R,8,,,frame_00000.png,frame_00119.png,,120,2.000089
rice_R_12,,zxing_gray,fourier,,,22.500000,0,0.971787,0.971787,0.971787,frame_00000.png,frame_00119.png,r45_e250_f1.mp4,45 Hz,1/250,蛍光灯あり,59.997 fps,45,250,1,2,rice,R,R,12,https://www.nagaoka-ct.ac.jp,zxing_gray_x1.0_k3_i1,frame_00000.png,frame_00119.png,,120,2.000089
nagaoka_fireworks_R_4,QR未検出,,fourier,,,22.500000,0,0.811036,,0.811036,frame_00000.png,frame_00119.png,r45_e250_f1.mp4,45 Hz,1/250,蛍光灯あり,59.997 fps,45,250,1,3,nagaoka_fireworks,R,R,4,,,frame_00000.png,frame_00119.png,,120,2.000089
nagaoka_fireworks_R_8,QR未検出,,fourier,,,22.500000,0,0.879493,,0.879493,frame_00000.png,frame_00119.png,r45_e250_f1.mp4,45 Hz,1/250,蛍光灯あり,59.997 fps,45,250,1,4,nagaoka_fireworks,R,R,8,,,frame_00000.png,frame_00119.png,,120,2.000089
nagaoka_fireworks_R_12,QR未検出,,fourier,,,22.500000,0,0.936169,,0.936169,frame_00000.png,frame_00119.png,r45_e250_f1.mp4,45 Hz,1/250,蛍光灯あり,59.997 fps,45,250,1,5,nagaoka_fireworks,R,R,12,,,frame_00000.png,frame_00119.png,,120,2.000089
hocho_R_4,QR未検出,,fourier,,,22.500000,0,0.784423,,0.784423,frame_00000.png,frame_00119.png,r45_e250_f1.mp4,45 Hz,1/250,蛍光灯あり,59.997 fps,45,250,1,6,hocho,R,R,4,,,frame_00000.png,frame_00119.png,,120,2.000089
hocho_R_8,QR未検出,,fourier,,,22.500000,0,0.862486,,0.862486,frame_00000.png,frame_00119.png,r45_e250_f1.mp4,45 Hz,1/250,蛍光灯あり,59.997 fps,45,250,1,7,hocho,R,R,8,,,frame_00000.png,frame_00119.png,,120,2.000089
hocho_R_12,QR未検出,,fourier,,,26.247329,0,0.923321,,0.923321,frame_00000.png,frame_00119.png,r45_e250_f1.mp4,45 Hz,1/250,蛍光灯あり,59.997 fps,45,250,1,8,hocho,R,R,12,,,frame_00000.png,frame_00119.png,,120,2.000089
ex_R_4,QR未検出,,fourier,,,22.500000,0,0.936951,,0.936951,frame_00000.png,frame_00119.png,r45_e250_f1.mp4,45 Hz,1/250,蛍光灯あり,59.997 fps,45,250,1,9,ex,R,R,4,,,frame_00000.png,frame_00119.png,,120,2.000089
ex_R_8,,zxing_gray,fourier,,,22.500000,0,0.946427,0.946427,0.946427,frame_00000.png,frame_00119.png,r45_e250_f1.mp4,45 Hz,1/250,蛍光灯あり,59.997 fps,45,250,1,10,ex,R,R,8,https://www.nagaoka-ct.ac.jp,zxing_gray_x1.0_k3_i1,frame_00000.png,frame_00119.png,,120,2.000089
ex_R_12,,zxing_gray,fourier,,,22.500000,0,0.965357,0.965357,0.965357,frame_00000.png,frame_00119.png,r45_e250_f1.mp4,45 Hz,1/250,蛍光灯あり,59.997 fps,45,250,1,11,ex,R,R,12,https://www.nagaoka-ct.ac.jp,zxing_gray_x1.0_k3_i1,frame_00000.png,frame_00119.png,,120,2.000089
rice_G_4,QR未検出,,fourier,,,22.500000,0,0.887582,,0.887582,frame_00000.png,frame_00119.png,r45_e250_f1.mp4,45 Hz,1/250,蛍光灯あり,59.997 fps,45,250,1,12,rice,G,G,4,,,frame_00000.png,frame_00119.png,,120,2.000089
rice_G_8,QR未検出,,fourier,,,22.500000,0,0.965064,,0.965064,frame_00000.png,frame_00119.png,r45_e250_f1.mp4,45 Hz,1/250,蛍光灯あり,59.997 fps,45,250,1,13,rice,G,G,8,,,frame_00000.png,frame_00119.png,,120,2.000089
rice_G_12,,zxing_gray,fourier,,,22.500000,0,0.977851,0.977851,0.977851,frame_00000.png,frame_00119.png,r45_e250_f1.mp4,45 Hz,1/250,蛍光灯あり,59.997 fps,45,250,1,14,rice,G,G,12,https://www.nagaoka-ct.ac.jp,zxing_gray_x1.0_k3_i1,frame_00000.png,frame_00119.png,,120,2.000089
nagaoka_fireworks_G_4,QR未検出,,fourier,,,22.500000,0,0.741941,,0.741941,frame_00000.png,frame_00119.png,r45_e250_f1.mp4,45 Hz,1/250,蛍光灯あり,59.997 fps,45,250,1,15,nagaoka_fireworks,G,G,4,,,frame_00000.png,frame_00119.png,,120,2.000089
nagaoka_fireworks_G_8,QR未検出,,fourier,,,22.500000,0,0.829747,,0.829747,frame_00000.png,frame_00119.png,r45_e250_f1.mp4,45 Hz,1/250,蛍光灯あり,59.997 fps,45,250,1,16,nagaoka_fireworks,G,G,8,,,frame_00000.png,frame_00119.png,,120,2.000089
nagaoka_fireworks_G_12,QR未検出,,fourier,,,22.500000,0,0.917933,,0.917933,frame_00000.png,frame_00119.png,r45_e250_f1.mp4,45 Hz,1/250,蛍光灯あり,59.997 fps,45,250,1,17,nagaoka_fireworks,G,G,12,,,frame_00000.png,frame_00119.png,,120,2.000089
hocho_G_4,QR未検出,,fourier,,,22.500000,0,0.710389,,0.710389,frame_00000.png,frame_00119.png,r45_e250_f1.mp4,45 Hz,1/250,蛍光灯あり,59.997 fps,45,250,1,18,hocho,G,G,4,,,frame_00000.png,frame_00119.png,,120,2.000089
hocho_G_8,QR未検出,,fourier,,,22.500000,0,0.777711,,0.777711,frame_00000.png,frame_00119.png,r45_e250_f1.mp4,45 Hz,1/250,蛍光灯あり,59.997 fps,45,250,1,19,hocho,G,G,8,,,frame_00000.png,frame_00119.png,,120,2.000089
hocho_G_12,QR未検出,,fourier,,,11.250000,0,0.902816,,0.902816,frame_00000.png,frame_00119.png,r45_e250_f1.mp4,45 Hz,1/250,蛍光灯あり,59.997 fps,45,250,1,20,hocho,G,G,12,,,frame_00000.png,frame_00119.png,,120,2.000089
ex_G_4,QR未検出,,fourier,,,22.500000,0,0.849967,,0.849967,frame_00000.png,frame_00119.png,r45_e250_f1.mp4,45 Hz,1/250,蛍光灯あり,59.997 fps,45,250,1,21,ex,G,G,4,,,frame_00000.png,frame_00119.png,,120,2.000089
ex_G_8,QR未検出,,fourier,,,22.500000,0,0.950056,,0.950056,frame_00000.png,frame_00119.png,r45_e250_f1.mp4,45 Hz,1/250,蛍光灯あり,59.997 fps,45,250,1,22,ex,G,G,8,,,frame_00000.png,frame_00119.png,,120,2.000089
ex_G_12,,zxing_gray,fourier,,,22.500000,0,0.974147,0.974147,0.974147,frame_00000.png,frame_00119.png,r45_e250_f1.mp4,45 Hz,1/250,蛍光灯あり,59.997 fps,45,250,1,23,ex,G,G,12,https://www.nagaoka-ct.ac.jp,zxing_gray_x1.0_k3_i1,frame_00000.png,frame_00119.png,,120,2.000089
rice_B_4,QR未検出,,fourier,,,22.500000,0,0.891363,,0.891363,frame_00000.png,frame_00119.png,r45_e250_f1.mp4,45 Hz,1/250,蛍光灯あり,59.997 fps,45,250,1,24,rice,B,B,4,,,frame_00000.png,frame_00119.png,,120,2.000089
rice_B_8,QR未検出,,fourier,,,22.500000,0,0.921823,,0.921823,frame_00000.png,frame_00119.png,r45_e250_f1.mp4,45 Hz,1/250,蛍光灯あり,59.997 fps,45,250,1,25,rice,B,B,8,,,frame_00000.png,frame_00119.png,,120,2.000089
rice_B_12,QR未検出,,fourier,,,22.500000,0,0.940214,,0.940214,frame_00000.png,frame_00119.png,r45_e250_f1.mp4,45 Hz,1/250,蛍光灯あり,59.997 fps,45,250,1,26,rice,B,B,12,,,frame_00000.png,frame_00119.png,,120,2.000089
nagaoka_fireworks_B_4,QR未検出,,fourier,,,22.500000,0,0.846290,,0.846290,frame_00000.png,frame_00119.png,r45_e250_f1.mp4,45 Hz,1/250,蛍光灯あり,59.997 fps,45,250,1,27,nagaoka_fireworks,B,B,4,,,frame_00000.png,frame_00119.png,,120,2.000089
nagaoka_fireworks_B_8,QR未検出,,fourier,,,22.500000,0,0.894059,,0.894059,frame_00000.png,frame_00119.png,r45_e250_f1.mp4,45 Hz,1/250,蛍光灯あり,59.997 fps,45,250,1,28,nagaoka_fireworks,B,B,8,,,frame_00000.png,frame_00119.png,,120,2.000089
nagaoka_fireworks_B_12,QR未検出,,fourier,,,22.500000,0,0.916255,,0.916255,frame_00000.png,frame_00119.png,r45_e250_f1.mp4,45 Hz,1/250,蛍光灯あり,59.997 fps,45,250,1,29,nagaoka_fireworks,B,B,12,,,frame_00000.png,frame_00119.png,,120,2.000089
hocho_B_4,QR未検出,,fourier,,,22.500000,0,0.680444,,0.680444,frame_00000.png,frame_00119.png,r45_e250_f1.mp4,45 Hz,1/250,蛍光灯あり,59.997 fps,45,250,1,30,hocho,B,B,4,,,frame_00000.png,frame_00119.png,,120,2.000089
hocho_B_8,QR未検出,,fourier,,,22.500000,0,0.698742,,0.698742,frame_00000.png,frame_00119.png,r45_e250_f1.mp4,45 Hz,1/250,蛍光灯あり,59.997 fps,45,250,1,31,hocho,B,B,8,,,frame_00000.png,frame_00119.png,,120,2.000089
hocho_B_12,QR未検出,,fourier,,,22.500000,0,0.931163,,0.931163,frame_00000.png,frame_00119.png,r45_e250_f1.mp4,45 Hz,1/250,蛍光灯あり,59.997 fps,45,250,1,32,hocho,B,B,12,,,frame_00000.png,frame_00119.png,,120,2.000089
ex_B_4,QR未検出,,fourier,,,22.500000,0,0.847247,,0.847247,frame_00000.png,frame_00119.png,r45_e250_f1.mp4,45 Hz,1/250,蛍光灯あり,59.997 fps,45,250,1,33,ex,B,B,4,,,frame_00000.png,frame_00119.png,,120,2.000089
ex_B_8,QR未検出,,fourier,,,22.500000,0,0.880767,,0.880767,frame_00000.png,frame_00119.png,r45_e250_f1.mp4,45 Hz,1/250,蛍光灯あり,59.997 fps,45,250,1,34,ex,B,B,8,,,frame_00000.png,frame_00119.png,,120,2.000089
ex_B_12,QR未検出,,fourier,,,26.247329,0,0.918534,,0.918534,frame_00000.png,frame_00119.png,r45_e250_f1.mp4,45 Hz,1/250,蛍光灯あり,59.997 fps,45,250,1,35,ex,B,B,12,,,frame_00000.png,frame_00119.png,,120,2.000089
rice_I_4,QR未検出,,fourier,,,22.500000,0,0.891305,,0.891305,frame_00000.png,frame_00119.png,r45_e250_f1.mp4,45 Hz,1/250,蛍光灯あり,59.997 fps,45,250,1,36,rice,min,I,4,,,frame_00000.png,frame_00119.png,,120,2.000089
