folder,pass,adopted,decode_success,decode_note,decode_variant,diff_mode,repr_mode,window_n,stat_kind,fft_target_hz,diff_threshold,phase_steps,n_maps,pixel_acc_all,pixel_acc_ok,pixel_acc_best,best_pair_frame_1,best_pair_frame_2,video,display_rate,exposure,fluorescent,camera_fps,rate_hz,exposure_denom,fluorescent_flag,cond,image,channel,token,intensity,decode_decoded_text,decode_method,decode_frame_1,decode_frame_2,note,analysis_frames,extract_sec
rice_R_4,accum_num,1,0,QR未検出,,accum,gray,5,,,0,,24,0.772764,,0.809750,frame_00115.png,frame_00119.png,r45_e60_f0.mp4,45 Hz,1/60,蛍光灯なし,60.000 fps,45,60,0,0,rice,R,R,4,,,frame_00090.png,frame_00094.png,,120,2.000002
rice_R_8,accum_num,1,1,,zxing_gray,accum,gray,5,,,0,,24,0.773953,0.773953,0.932862,frame_00095.png,frame_00099.png,r45_e60_f0.mp4,45 Hz,1/60,蛍光灯なし,60.000 fps,45,60,0,1,rice,R,R,8,https://www.nagaoka-ct.ac.jp,zxing_gray_x1.0_k3_i1,frame_00020.png,frame_00024.png,,120,2.000002
rice_R_12,accum_num,1,1,,zxing_gray,accum,gray,5,,,0,,24,0.810053,0.810053,0.830212,frame_00095.png,frame_00099.png,r45_e60_f0.mp4,45 Hz,1/60,蛍光灯なし,60.000 fps,45,60,0,2,rice,R,R,12,https://www.nagaoka-ct.ac.jp,zxing_gray_x1.0_k3_i1,frame_00010.png,frame_00014.png,,120,2.000002
nagaoka_fireworks_R_4,accum_num,1,0,QR未検出,,accum,gray,5,,,0,,24,0.729098,,0.752985,frame_00025.png,frame_00029.png,r45_e60_f0.mp4,45 Hz,1/60,蛍光灯なし,60.000 fps,45,60,0,3,nagaoka_fireworks,R,R,4,,,frame_00105.png,frame_00109.png,,120,2.000002
nagaoka_fireworks_R_8,accum_num,1,0,QR未検出,,accum,gray,5,,,0,,24,0.832517,,0.844173,frame_00075.png,frame_00079.png,r45_e60_f0.mp4,45 Hz,1/60,蛍光灯なし,60.000 fps,45,60,0,4,nagaoka_fireworks,R,R,8,,,frame_00100.png,frame_00104.png,,120,2.000002
nagaoka_fireworks_R_12,accum_num,1,1,,zxing_median_otsu,accum,gray,5,,,0,,24,0.916032,0.923980,0.923980,frame_00115.png,frame_00119.png,r45_e60_f0.mp4,45 Hz,1/60,蛍光灯なし,60.000 fps,45,60,0,5,nagaoka_fireworks,R,R,12,https://www.nagaoka-ct.ac.jp,zxing_median_otsu_x1.0_k7_i1,frame_00115.png,frame_00119.png,,120,2.000002
hocho_R_4,accum_num,1,0,QR未検出,,accum,gray,5,,,0,,24,0.743898,,0.764349,frame_00070.png,frame_00074.png,r45_e60_f0.mp4,45 Hz,1/60,蛍光灯なし,60.000 fps,45,60,0,6,hocho,R,R,4,,,frame_00110.png,frame_00114.png,,120,2.000002
hocho_R_8,accum_num,1,0,QR未検出,,accum,gray,5,,,0,,24,0.822986,,0.832521,frame_00110.png,frame_00114.png,r45_e60_f0.mp4,45 Hz,1/60,蛍光灯なし,60.000 fps,45,60,0,7,hocho,R,R,8,,,frame_00115.png,frame_00119.png,,120,2.000002
hocho_R_12,accum_num,1,0,QR未検出,,accum,gray,5,,,0,,24,0.853646,,0.857043,frame_00115.png,frame_00119.png,r45_e60_f0.mp4,45 Hz,1/60,蛍光灯なし,60.000 fps,45,60,0,8,hocho,R,R,12,,,frame_00100.png,frame_00104.png,,120,2.000002
ex_R_4,accum_num,1,0,QR未検出,,accum,gray,5,,,0,,24,0.840029,,0.868568,frame_00015.png,frame_00019.png,r45_e60_f0.mp4,45 Hz,1/60,蛍光灯なし,60.000 fps,45,60,0,9,ex,R,R,4,,,frame_00100.png,frame_00104.png,,120,2.000002
