folder,frame_1,frame_2,diff_image,analysis_image,decoded_text,success,method,note,recall,precision,accuracy,noise,gt_note,task_key,diff_mode,window_n,stat_kind,fft_target_hz,diff_threshold
rice_R_4,frame_00075.png,frame_00079.png,,,,0,decode失敗,QR未検出,0.619729,0.509705,0.657679,0.405043,,accum:accum::5:None:8:None:binary:15,accum,5,,,8
rice_R_4,frame_00005.png,frame_00009.png,,,,0,decode失敗,QR未検出,0.460874,0.599470,0.703027,0.247546,,accum:accum::5:None:8:None:binary:1,accum,5,,,8
rice_R_4,frame_00015.png,frame_00019.png,,,,0,decode失敗,QR未検出,0.626815,0.507426,0.655836,0.413958,,accum:accum::5:None:8:None:binary:3,accum,5,,,8
rice_R_4,frame_00065.png,frame_00069.png,,,,0,decode失敗,QR未検出,0.475377,0.583881,0.697291,0.263088,,accum:accum::5:None:8:None:binary:13,accum,5,,,8
rice_R_4,frame_00045.png,frame_00049.png,,,,0,decode失敗,QR未検出,0.453513,0.568531,0.687736,0.256915,,accum:accum::5:None:8:None:binary:9,accum,5,,,8
rice_R_4,frame_00060.png,frame_00064.png,rice_R_4/rgb_max_accum_n5_th8/00060-00064-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.463050,0.608778,0.707420,0.241376,,accum:accum::5:None:8:None:binary:12,accum,5,,,8
rice_R_4,frame_00050.png,frame_00054.png,,,,0,decode失敗,QR未検出,0.457031,0.601508,0.703485,0.242805,,accum:accum::5:None:8:None:binary:10,accum,5,,,8
rice_R_4,frame_00025.png,frame_00029.png,,,,0,decode失敗,QR未検出,0.472727,0.592058,0.700944,0.256499,,accum:accum::5:None:8:None:binary:5,accum,5,,,8
rice_R_4,frame_00000.png,frame_00004.png,,,,0,decode失敗,QR未検出,0.441141,0.591299,0.697165,0.246315,,accum:accum::5:None:8:None:binary:0,accum,5,,,8
rice_R_4,frame_00020.png,frame_00024.png,,,,0,decode失敗,QR未検出,0.445698,0.579196,0.692137,0.263718,,accum:accum::5:None:8:None:binary:4,accum,5,,,8
rice_R_4,frame_00035.png,frame_00039.png,,,,0,decode失敗,QR未検出,0.480557,0.593142,0.702318,0.261547,,accum:accum::5:None:8:None:binary:7,accum,5,,,8
rice_R_4,frame_00010.png,frame_00014.png,,,,0,decode失敗,QR未検出,0.457106,0.602989,0.704148,0.245024,,accum:accum::5:None:8:None:binary:2,accum,5,,,8
rice_R_4,frame_00055.png,frame_00059.png,,,,0,decode失敗,QR未検出,0.444096,0.594833,0.699050,0.247011,,accum:accum::5:None:8:None:binary:11,accum,5,,,8
rice_R_4,frame_00070.png,frame_00074.png,,,,0,decode失敗,QR未検出,0.453707,0.599995,0.702425,0.246713,,accum:accum::5:None:8:None:binary:14,accum,5,,,8
rice_R_4,frame_00030.png,frame_00034.png,,,,0,decode失敗,QR未検出,0.436590,0.580889,0.692033,0.257399,,accum:accum::5:None:8:None:binary:6,accum,5,,,8
rice_R_4,frame_00040.png,frame_00044.png,,,,0,decode失敗,QR未検出,0.452809,0.595779,0.700448,0.254361,,accum:accum::5:None:8:None:binary:8,accum,5,,,8
rice_R_4,frame_00110.png,frame_00114.png,,,,0,decode失敗,QR未検出,0.470596,0.585514,0.697597,0.256233,,accum:accum::5:None:8:None:binary:22,accum,5,,,8
rice_R_4,frame_00085.png,frame_00089.png,,,,0,decode失敗,QR未検出,0.460350,0.598835,0.702680,0.253216,,accum:accum::5:None:8:None:binary:17,accum,5,,,8
rice_R_4,frame_00105.png,frame_00109.png,,,,0,decode失敗,QR未検出,0.462501,0.590889,0.699288,0.256031,,accum:accum::5:None:8:None:binary:21,accum,5,,,8
rice_R_4,frame_00100.png,frame_00104.png,,,,0,decode失敗,QR未検出,0.490333,0.593596,0.703616,0.260094,,accum:accum::5:None:8:None:binary:20,accum,5,,,8
rice_R_4,frame_00090.png,frame_00094.png,,,,0,decode失敗,QR未検出,0.438406,0.593148,0.697680,0.249047,,accum:accum::5:None:8:None:binary:18,accum,5,,,8
rice_R_4,frame_00080.png,frame_00084.png,,,,0,decode失敗,QR未検出,0.460550,0.606613,0.706160,0.251336,,accum:accum::5:None:8:None:binary:16,accum,5,,,8
rice_R_4,frame_00115.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.462052,0.586274,0.697081,0.252488,,accum:accum::5:None:8:None:binary:23,accum,5,,,8
rice_R_4,frame_00095.png,frame_00099.png,,,,0,decode失敗,QR未検出,0.463823,0.598887,0.703105,0.248265,,accum:accum::5:None:8:None:binary:19,accum,5,,,8
rice_R_4,frame_00000.png,frame_00004.png,,,,0,decode失敗,QR未検出,0.062177,0.644076,0.659157,0.031429,,accum:accum::5:None:16:None:binary:0,accum,5,,,16
rice_R_4,frame_00020.png,frame_00024.png,,,,0,decode失敗,QR未検出,0.060481,0.700116,0.661526,0.034334,,accum:accum::5:None:16:None:binary:4,accum,5,,,16
rice_R_4,frame_00015.png,frame_00019.png,,,,0,decode失敗,QR未検出,0.131387,0.663667,0.672124,0.063010,,accum:accum::5:None:16:None:binary:3,accum,5,,,16
rice_R_4,frame_00010.png,frame_00014.png,,,,0,decode失敗,QR未検出,0.067842,0.676655,0.661824,0.033062,,accum:accum::5:None:16:None:binary:2,accum,5,,,16
rice_R_4,frame_00025.png,frame_00029.png,,,,0,decode失敗,QR未検出,0.083003,0.702543,0.666184,0.034595,,accum:accum::5:None:16:None:binary:5,accum,5,,,16
rice_R_4,frame_00005.png,frame_00009.png,,,,0,decode失敗,QR未検出,0.074484,0.675523,0.662975,0.033680,,accum:accum::5:None:16:None:binary:1,accum,5,,,16
rice_R_4,frame_00035.png,frame_00039.png,,,,0,decode失敗,QR未検出,0.087160,0.734348,0.668908,0.033945,,accum:accum::5:None:16:None:binary:7,accum,5,,,16
rice_R_4,frame_00030.png,frame_00034.png,,,,0,decode失敗,QR未検出,0.055505,0.646854,0.658240,0.033429,,accum:accum::5:None:16:None:binary:6,accum,5,,,16
rice_R_4,frame_00050.png,frame_00054.png,,,,0,decode失敗,QR未検出,0.074918,0.703138,0.664581,0.032581,,accum:accum::5:None:16:None:binary:10,accum,5,,,16
rice_R_4,frame_00045.png,frame_00049.png,,,,0,decode失敗,QR未検出,0.070352,0.675888,0.662242,0.032566,,accum:accum::5:None:16:None:binary:9,accum,5,,,16
rice_R_4,frame_00040.png,frame_00044.png,,,,0,decode失敗,QR未検出,0.060196,0.622780,0.657726,0.037687,,accum:accum::5:None:16:None:binary:8,accum,5,,,16
rice_R_4,frame_00055.png,frame_00059.png,,,,0,decode失敗,QR未検出,0.061259,0.665961,0.660109,0.032292,,accum:accum::5:None:16:None:binary:11,accum,5,,,16
