folder,frame_1,frame_2,diff_image,analysis_image,decoded_text,success,method,note,recall,precision,accuracy,noise,gt_note,task_key,diff_mode,window_n,stat_kind,fft_target_hz,diff_threshold
rice_R_4,frame_00040.png,frame_00044.png,,,,0,decode失敗,QR未検出,0.514707,0.569139,0.693248,0.310654,,accum_num:accum::5:None:0:None:gray:8,accum,5,,,0
rice_R_4,frame_00045.png,frame_00049.png,,,,0,decode失敗,QR未検出,0.483935,0.550881,0.680746,0.285612,,accum_num:accum::5:None:0:None:gray:9,accum,5,,,0
rice_R_4,frame_00060.png,frame_00064.png,,,,0,decode失敗,QR未検出,0.530462,0.575474,0.698187,0.299742,,accum_num:accum::5:None:0:None:gray:12,accum,5,,,0
rice_R_4,frame_00000.png,frame_00004.png,,,,0,decode失敗,QR未検出,0.502311,0.559411,0.686811,0.302144,,accum_num:accum::5:None:0:None:gray:0,accum,5,,,0
rice_R_4,frame_00030.png,frame_00034.png,,,,0,decode失敗,QR未検出,0.434823,0.582935,0.692782,0.253582,,accum_num:accum::5:None:0:None:gray:6,accum,5,,,0
rice_R_4,frame_00075.png,frame_00079.png,,,,0,decode失敗,QR未検出,0.476015,0.585711,0.698248,0.259065,,accum_num:accum::5:None:0:None:gray:15,accum,5,,,0
rice_R_4,frame_00065.png,frame_00069.png,,,,0,decode失敗,QR未検出,0.505105,0.568479,0.692068,0.290389,,accum_num:accum::5:None:0:None:gray:13,accum,5,,,0
rice_R_4,frame_00055.png,frame_00059.png,,,,0,decode失敗,QR未検出,0.507087,0.565151,0.690394,0.302963,,accum_num:accum::5:None:0:None:gray:11,accum,5,,,0
rice_R_4,frame_00020.png,frame_00024.png,,,,0,decode失敗,QR未検出,0.480706,0.563569,0.687425,0.293379,,accum_num:accum::5:None:0:None:gray:4,accum,5,,,0
rice_R_4,frame_00035.png,frame_00039.png,,,,0,decode失敗,QR未検出,0.478121,0.595395,0.703119,0.257451,,accum_num:accum::5:None:0:None:gray:7,accum,5,,,0
rice_R_4,frame_00005.png,frame_00009.png,,,,0,decode失敗,QR未検出,0.488991,0.581712,0.697568,0.274802,,accum_num:accum::5:None:0:None:gray:1,accum,5,,,0
rice_R_4,frame_00010.png,frame_00014.png,rice_R_4/rgb_max_accum_n5_gray/00010-00014-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.455015,0.605187,0.704858,0.241399,,accum_num:accum::5:None:0:None:gray:2,accum,5,,,0
rice_R_4,frame_00050.png,frame_00054.png,,,,0,decode失敗,QR未検出,0.515640,0.566672,0.691944,0.300955,,accum_num:accum::5:None:0:None:gray:10,accum,5,,,0
rice_R_4,frame_00070.png,frame_00074.png,,,,0,decode失敗,QR未検出,0.483022,0.584763,0.698498,0.272742,,accum_num:accum::5:None:0:None:gray:14,accum,5,,,0
rice_R_4,frame_00015.png,frame_00019.png,,,,0,decode失敗,QR未検出,0.447055,0.597965,0.700761,0.233941,,accum_num:accum::5:None:0:None:gray:3,accum,5,,,0
rice_R_4,frame_00025.png,frame_00029.png,,,,0,decode失敗,QR未検出,0.534784,0.556436,0.687437,0.316105,,accum_num:accum::5:None:0:None:gray:5,accum,5,,,0
rice_R_4,frame_00100.png,frame_00104.png,,,,0,decode失敗,QR未検出,0.517597,0.574971,0.696728,0.288897,,accum_num:accum::5:None:0:None:gray:20,accum,5,,,0
rice_R_4,frame_00095.png,frame_00099.png,,,,0,decode失敗,QR未検出,0.493128,0.580690,0.697452,0.277125,,accum_num:accum::5:None:0:None:gray:19,accum,5,,,0
rice_R_4,frame_00080.png,frame_00084.png,,,,0,decode失敗,QR未検出,0.518984,0.561027,0.688989,0.314088,,accum_num:accum::5:None:0:None:gray:16,accum,5,,,0
rice_R_4,frame_00105.png,frame_00109.png,,,,0,decode失敗,QR未検出,0.526475,0.559255,0.688518,0.316024,,accum_num:accum::5:None:0:None:gray:21,accum,5,,,0
rice_R_4,frame_00085.png,frame_00089.png,,,,0,decode失敗,QR未検出,0.491092,0.579086,0.696432,0.281158,,accum_num:accum::5:None:0:None:gray:17,accum,5,,,0
rice_R_4,frame_00115.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.521170,0.555301,0.685798,0.310836,,accum_num:accum::5:None:0:None:gray:23,accum,5,,,0
rice_R_4,frame_00090.png,frame_00094.png,,,,0,decode失敗,QR未検出,0.436061,0.594915,0.698187,0.245209,,accum_num:accum::5:None:0:None:gray:18,accum,5,,,0
rice_R_4,frame_00110.png,frame_00114.png,,,,0,decode失敗,QR未検出,0.469303,0.586356,0.697869,0.254146,,accum_num:accum::5:None:0:None:gray:22,accum,5,,,0
rice_R_8,frame_00030.png,frame_00034.png,,,,0,decode失敗,QR未検出,0.563620,0.734712,0.775657,0.135896,,accum_num:accum::5:None:0:None:gray:6,accum,5,,,0
rice_R_8,frame_00040.png,frame_00044.png,,,,0,decode失敗,QR未検出,0.582549,0.704504,0.767978,0.159587,,accum_num:accum::5:None:0:None:gray:8,accum,5,,,0
rice_R_8,frame_00065.png,frame_00069.png,,,,0,decode失敗,QR未検出,0.598983,0.705138,0.771591,0.152815,,accum_num:accum::5:None:0:None:gray:13,accum,5,,,0
rice_R_8,frame_00020.png,frame_00024.png,,,,0,decode失敗,QR未検出,0.578212,0.723033,0.774469,0.139697,,accum_num:accum::5:None:0:None:gray:4,accum,5,,,0
