folder,frame_1,frame_2,diff_image,analysis_image,decoded_text,success,method,note,recall,precision,accuracy,noise,gt_note,diff_mode,window_n,stat_kind,fft_target_hz,diff_threshold,task_key
rice_R_4,frame_00020.png,frame_00024.png,,,,0,decode失敗,QR未検出,0.879774,0.726346,0.839858,0.127214,,accum,5,,,8,accum:accum::5:None:8:None:binary:4
rice_R_4,frame_00015.png,frame_00019.png,,,,0,decode失敗,QR未検出,0.879868,0.736811,0.845978,0.116141,,accum,5,,,8,accum:accum::5:None:8:None:binary:3
rice_R_4,frame_00040.png,frame_00044.png,,,,0,decode失敗,QR未検出,0.882868,0.741186,0.849170,0.115380,,accum,5,,,8,accum:accum::5:None:8:None:binary:8
rice_R_4,frame_00065.png,frame_00069.png,,,,0,decode失敗,QR未検出,0.882770,0.738426,0.847569,0.119167,,accum,5,,,8,accum:accum::5:None:8:None:binary:13
rice_R_4,frame_00050.png,frame_00054.png,,,,0,decode失敗,QR未検出,0.878348,0.738955,0.846858,0.116514,,accum,5,,,8,accum:accum::5:None:8:None:binary:10
rice_R_4,frame_00060.png,frame_00064.png,,,,0,decode失敗,QR未検出,0.951134,0.631206,0.785648,0.237755,,accum,5,,,8,accum:accum::5:None:8:None:binary:12
rice_R_4,frame_00005.png,frame_00009.png,,,,0,decode失敗,QR未検出,0.883909,0.731035,0.843539,0.126311,,accum,5,,,8,accum:accum::5:None:8:None:binary:1
rice_R_4,frame_00070.png,frame_00074.png,,,,0,decode失敗,QR未検出,0.886574,0.742734,0.850909,0.115138,,accum,5,,,8,accum:accum::5:None:8:None:binary:14
rice_R_4,frame_00075.png,frame_00079.png,,,,0,decode失敗,QR未検出,0.875027,0.741930,0.847780,0.113338,,accum,5,,,8,accum:accum::5:None:8:None:binary:15
rice_R_4,frame_00000.png,frame_00004.png,,,,0,decode失敗,QR未検出,0.949298,0.645466,0.797157,0.232031,,accum,5,,,8,accum:accum::5:None:8:None:binary:0
rice_R_4,frame_00030.png,frame_00034.png,,,,0,decode失敗,QR未検出,0.889812,0.736169,0.847871,0.119584,,accum,5,,,8,accum:accum::5:None:8:None:binary:6
rice_R_4,frame_00010.png,frame_00014.png,,,,0,decode失敗,QR未検出,0.878190,0.748355,0.852114,0.117113,,accum,5,,,8,accum:accum::5:None:8:None:binary:2
rice_R_4,frame_00035.png,frame_00039.png,,,,0,decode失敗,QR未検出,0.885183,0.701757,0.825913,0.130968,,accum,5,,,8,accum:accum::5:None:8:None:binary:7
rice_R_4,frame_00055.png,frame_00059.png,,,,0,decode失敗,QR未検出,0.879739,0.741869,0.848835,0.114334,,accum,5,,,8,accum:accum::5:None:8:None:binary:11
rice_R_4,frame_00025.png,frame_00029.png,,,,0,decode失敗,QR未検出,0.868122,0.742668,0.846596,0.110664,,accum,5,,,8,accum:accum::5:None:8:None:binary:5
rice_R_4,frame_00080.png,frame_00084.png,rice_R_4/rgb_max_accum_n5_th8/00080-00084-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.889136,0.744360,0.852429,0.115414,,accum,5,,,8,accum:accum::5:None:8:None:binary:16
rice_R_4,frame_00045.png,frame_00049.png,,,,0,decode失敗,QR未検出,0.871992,0.746460,0.849607,0.112393,,accum,5,,,8,accum:accum::5:None:8:None:binary:9
rice_R_4,frame_00115.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.877425,0.748162,0.851827,0.112470,,accum,5,,,8,accum:accum::5:None:8:None:binary:23
rice_R_4,frame_00095.png,frame_00099.png,,,,0,decode失敗,QR未検出,0.884852,0.738777,0.848248,0.119196,,accum,5,,,8,accum:accum::5:None:8:None:binary:19
rice_R_4,frame_00090.png,frame_00094.png,,,,0,decode失敗,QR未検出,0.882621,0.738943,0.847831,0.115636,,accum,5,,,8,accum:accum::5:None:8:None:binary:18
rice_R_4,frame_00110.png,frame_00114.png,,,,0,decode失敗,QR未検出,0.884975,0.741990,0.850114,0.116342,,accum,5,,,8,accum:accum::5:None:8:None:binary:22
rice_R_4,frame_00085.png,frame_00089.png,,,,0,decode失敗,QR未検出,0.883776,0.712443,0.832324,0.128562,,accum,5,,,8,accum:accum::5:None:8:None:binary:17
rice_R_4,frame_00100.png,frame_00104.png,,,,0,decode失敗,QR未検出,0.889086,0.726074,0.841753,0.120144,,accum,5,,,8,accum:accum::5:None:8:None:binary:20
rice_R_4,frame_00105.png,frame_00109.png,,,,0,decode失敗,QR未検出,0.882503,0.732368,0.844003,0.120662,,accum,5,,,8,accum:accum::5:None:8:None:binary:21
rice_R_4,frame_00000.png,frame_00004.png,,,,0,decode失敗,QR未検出,0.527737,0.886408,0.808584,0.024748,,accum,5,,,16,accum:accum::5:None:16:None:binary:0
rice_R_4,frame_00015.png,frame_00019.png,,,,0,decode失敗,QR未検出,0.374807,0.911654,0.765464,0.012470,,accum,5,,,16,accum:accum::5:None:16:None:binary:3
rice_R_4,frame_00010.png,frame_00014.png,,,,0,decode失敗,QR未検出,0.401925,0.922857,0.776044,0.011490,,accum,5,,,16,accum:accum::5:None:16:None:binary:2
rice_R_4,frame_00005.png,frame_00009.png,,,,0,decode失敗,QR未検出,0.385457,0.919490,0.770151,0.011986,,accum,5,,,16,accum:accum::5:None:16:None:binary:1
rice_R_4,frame_00020.png,frame_00024.png,,,,0,decode失敗,QR未検出,0.380176,0.911217,0.767112,0.011628,,accum,5,,,16,accum:accum::5:None:16:None:binary:4
rice_R_4,frame_00025.png,frame_00029.png,,,,0,decode失敗,QR未検出,0.362351,0.914680,0.761942,0.011168,,accum,5,,,16,accum:accum::5:None:16:None:binary:5
rice_R_4,frame_00030.png,frame_00034.png,,,,0,decode失敗,QR未検出,0.368969,0.916374,0.764333,0.012288,,accum,5,,,16,accum:accum::5:None:16:None:binary:6
rice_R_4,frame_00035.png,frame_00039.png,,,,0,decode失敗,QR未検出,0.385832,0.908703,0.768506,0.012385,,accum,5,,,16,accum:accum::5:None:16:None:binary:7
rice_R_4,frame_00040.png,frame_00044.png,,,,0,decode失敗,QR未検出,0.381400,0.918834,0.768734,0.011509,,accum,5,,,16,accum:accum::5:None:16:None:binary:8
rice_R_4,frame_00045.png,frame_00049.png,,,,0,decode失敗,QR未検出,0.375152,0.908655,0.765093,0.012665,,accum,5,,,16,accum:accum::5:None:16:None:binary:9
rice_R_4,frame_00055.png,frame_00059.png,,,,0,decode失敗,QR未検出,0.395573,0.913928,0.772496,0.012443,,accum,5,,,16,accum:accum::5:None:16:None:binary:11
rice_R_4,frame_00075.png,frame_00079.png,,,,0,decode失敗,QR未検出,0.391152,0.924855,0.772868,0.011281,,accum,5,,,16,accum:accum::5:None:16:None:binary:15
rice_R_4,frame_00070.png,frame_00074.png,,,,0,decode失敗,QR未検出,0.431841,0.914665,0.784278,0.013134,,accum,5,,,16,accum:accum::5:None:16:None:binary:14
rice_R_4,frame_00060.png,frame_00064.png,,,,0,decode失敗,QR未検出,0.551933,0.884650,0.815625,0.024298,,accum,5,,,16,accum:accum::5:None:16:None:binary:12
rice_R_4,frame_00085.png,frame_00089.png,,,,0,decode失敗,QR未検出,0.394897,0.914023,0.772294,0.012065,,accum,5,,,16,accum:accum::5:None:16:None:binary:17
rice_R_4,frame_00080.png,frame_00084.png,,,,0,decode失敗,QR未検出,0.394833,0.924637,0.774032,0.010377,,accum,5,,,16,accum:accum::5:None:16:None:binary:16
rice_R_4,frame_00090.png,frame_00094.png,,,,0,decode失敗,QR未検出,0.405305,0.904475,0.773977,0.013183,,accum,5,,,16,accum:accum::5:None:16:None:binary:18
rice_R_4,frame_00065.png,frame_00069.png,,,,0,decode失敗,QR未検出,0.396022,0.914507,0.772737,0.011980,,accum,5,,,16,accum:accum::5:None:16:None:binary:13
rice_R_4,frame_00050.png,frame_00054.png,,,,0,decode失敗,QR未検出,0.389696,0.917505,0.771197,0.011496,,accum,5,,,16,accum:accum::5:None:16:None:binary:10
rice_R_4,frame_00095.png,frame_00099.png,,,,0,decode失敗,QR未検出,0.397350,0.913046,0.772917,0.011778,,accum,5,,,16,accum:accum::5:None:16:None:binary:19
rice_R_4,frame_00100.png,frame_00104.png,,,,0,decode失敗,QR未検出,0.382446,0.916690,0.768727,0.011141,,accum,5,,,16,accum:accum::5:None:16:None:binary:20
rice_R_4,frame_00105.png,frame_00109.png,,,,0,decode失敗,QR未検出,0.378528,0.906258,0.765779,0.012224,,accum,5,,,16,accum:accum::5:None:16:None:binary:21
rice_R_4,frame_00110.png,frame_00114.png,,,,0,decode失敗,QR未検出,0.380813,0.906311,0.766513,0.012348,,accum,5,,,16,accum:accum::5:None:16:None:binary:22
rice_R_4,frame_00115.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.378493,0.908580,0.766146,0.012279,,accum,5,,,16,accum:accum::5:None:16:None:binary:23
rice_R_4,frame_00000.png,frame_00004.png,,,,0,decode失敗,QR未検出,0.089901,0.901698,0.673854,0.003205,,accum,5,,,24,accum:accum::5:None:24:None:binary:0
rice_R_4,frame_00010.png,frame_00014.png,,,,0,decode失敗,QR未検出,0.047933,0.867155,0.659846,0.002304,,accum,5,,,24,accum:accum::5:None:24:None:binary:2
rice_R_4,frame_00005.png,frame_00009.png,,,,0,decode失敗,QR未検出,0.052133,0.895634,0.661785,0.002224,,accum,5,,,24,accum:accum::5:None:24:None:binary:1
rice_R_4,frame_00025.png,frame_00029.png,,,,0,decode失敗,QR未検出,0.040190,0.871855,0.657610,0.002080,,accum,5,,,24,accum:accum::5:None:24:None:binary:5
rice_R_4,frame_00015.png,frame_00019.png,,,,0,decode失敗,QR未検出,0.042757,0.872332,0.658396,0.002057,,accum,5,,,24,accum:accum::5:None:24:None:binary:3
rice_R_4,frame_00020.png,frame_00024.png,,,,0,decode失敗,QR未検出,0.043512,0.855936,0.658286,0.002205,,accum,5,,,24,accum:accum::5:None:24:None:binary:4
rice_R_4,frame_00030.png,frame_00034.png,,,,0,decode失敗,QR未検出,0.042051,0.882639,0.658382,0.002563,,accum,5,,,24,accum:accum::5:None:24:None:binary:6
rice_R_4,frame_00045.png,frame_00049.png,,,,0,decode失敗,QR未検出,0.044533,0.843522,0.658315,0.002320,,accum,5,,,24,accum:accum::5:None:24:None:binary:9
rice_R_4,frame_00040.png,frame_00044.png,,,,0,decode失敗,QR未検出,0.047657,0.891772,0.660301,0.001713,,accum,5,,,24,accum:accum::5:None:24:None:binary:8
rice_R_4,frame_00035.png,frame_00039.png,,,,0,decode失敗,QR未検出,0.041775,0.850668,0.657666,0.002264,,accum,5,,,24,accum:accum::5:None:24:None:binary:7
rice_R_4,frame_00055.png,frame_00059.png,,,,0,decode失敗,QR未検出,0.054961,0.894538,0.662644,0.002304,,accum,5,,,24,accum:accum::5:None:24:None:binary:11
rice_R_4,frame_00065.png,frame_00069.png,,,,0,decode失敗,QR未検出,0.058568,0.905194,0.664046,0.001876,,accum,5,,,24,accum:accum::5:None:24:None:binary:13
rice_R_4,frame_00050.png,frame_00054.png,,,,0,decode失敗,QR未検出,0.048763,0.895099,0.660718,0.001930,,accum,5,,,24,accum:accum::5:None:24:None:binary:10
rice_R_4,frame_00070.png,frame_00074.png,,,,0,decode失敗,QR未検出,0.049069,0.892229,0.660751,0.001889,,accum,5,,,24,accum:accum::5:None:24:None:binary:14
rice_R_4,frame_00060.png,frame_00064.png,,,,0,decode失敗,QR未検出,0.106092,0.922186,0.679896,0.003060,,accum,5,,,24,accum:accum::5:None:24:None:binary:12
rice_R_4,frame_00075.png,frame_00079.png,,,,0,decode失敗,QR未検出,0.038054,0.846990,0.656510,0.001833,,accum,5,,,24,accum:accum::5:None:24:None:binary:15
rice_R_4,frame_00085.png,frame_00089.png,,,,0,decode失敗,QR未検出,0.058238,0.914027,0.664161,0.002107,,accum,5,,,24,accum:accum::5:None:24:None:binary:17
rice_R_4,frame_00105.png,frame_00109.png,,,,0,decode失敗,QR未検出,0.045871,0.855421,0.658970,0.002192,,accum,5,,,24,accum:accum::5:None:24:None:binary:21
rice_R_4,frame_00100.png,frame_00104.png,,,,0,decode失敗,QR未検出,0.047499,0.890626,0.660228,0.001903,,accum,5,,,24,accum:accum::5:None:24:None:binary:20
rice_R_4,frame_00090.png,frame_00094.png,,,,0,decode失敗,QR未検出,0.049468,0.893245,0.660898,0.002022,,accum,5,,,24,accum:accum::5:None:24:None:binary:18
rice_R_4,frame_00080.png,frame_00084.png,,,,0,decode失敗,QR未検出,0.054749,0.918530,0.663145,0.001277,,accum,5,,,24,accum:accum::5:None:24:None:binary:16
rice_R_4,frame_00110.png,frame_00114.png,,,,0,decode失敗,QR未検出,0.052617,0.868736,0.661292,0.002295,,accum,5,,,24,accum:accum::5:None:24:None:binary:22
rice_R_4,frame_00115.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.048896,0.867069,0.660133,0.002116,,accum,5,,,24,accum:accum::5:None:24:None:binary:23
rice_R_4,frame_00095.png,frame_00099.png,,,,0,decode失敗,QR未検出,0.052789,0.905758,0.662224,0.001680,,accum,5,,,24,accum:accum::5:None:24:None:binary:19
rice_R_4,frame_00000.png,frame_00004.png,,,,0,decode失敗,QR未検出,0.007778,0.652318,0.646743,0.001091,,accum,5,,,32,accum:accum::5:None:32:None:binary:0
rice_R_4,frame_00010.png,frame_00014.png,,,,0,decode失敗,QR未検出,0.008079,0.791586,0.647566,0.000726,,accum,5,,,32,accum:accum::5:None:32:None:binary:2
rice_R_4,frame_00005.png,frame_00009.png,,,,0,decode失敗,QR未検出,0.005448,0.634118,0.646273,0.000772,,accum,5,,,32,accum:accum::5:None:32:None:binary:1
rice_R_4,frame_00015.png,frame_00019.png,,,,0,decode失敗,QR未検出,0.003070,0.543231,0.645629,0.000804,,accum,5,,,32,accum:accum::5:None:32:None:binary:3
rice_R_4,frame_00030.png,frame_00034.png,,,,0,decode失敗,QR未検出,0.004871,0.667794,0.646323,0.000975,,accum,5,,,32,accum:accum::5:None:32:None:binary:6
rice_R_4,frame_00020.png,frame_00024.png,,,,0,decode失敗,QR未検出,0.004940,0.619814,0.646133,0.000860,,accum,5,,,32,accum:accum::5:None:32:None:binary:4
rice_R_4,frame_00025.png,frame_00029.png,,,,0,decode失敗,QR未検出,0.005695,0.733630,0.646741,0.000699,,accum,5,,,32,accum:accum::5:None:32:None:binary:5
rice_R_4,frame_00035.png,frame_00039.png,,,,0,decode失敗,QR未検出,0.004945,0.645619,0.646246,0.000819,,accum,5,,,32,accum:accum::5:None:32:None:binary:7
rice_R_4,frame_00040.png,frame_00044.png,,,,0,decode失敗,QR未検出,0.010156,0.824519,0.648290,0.000676,,accum,5,,,32,accum:accum::5:None:32:None:binary:8
rice_R_4,frame_00045.png,frame_00049.png,,,,0,decode失敗,QR未検出,0.003237,0.420783,0.645023,0.001182,,accum,5,,,32,accum:accum::5:None:32:None:binary:9
rice_R_4,frame_00050.png,frame_00054.png,,,,0,decode失敗,QR未検出,0.005957,0.677709,0.646563,0.000774,,accum,5,,,32,accum:accum::5:None:32:None:binary:10
rice_R_4,frame_00055.png,frame_00059.png,,,,0,decode失敗,QR未検出,0.005720,0.759502,0.646841,0.000733,,accum,5,,,32,accum:accum::5:None:32:None:binary:11
rice_R_4,frame_00065.png,frame_00069.png,,,,0,decode失敗,QR未検出,0.008311,0.809226,0.647707,0.000611,,accum,5,,,32,accum:accum::5:None:32:None:binary:13
rice_R_4,frame_00060.png,frame_00064.png,,,,0,decode失敗,QR未検出,0.008005,0.753367,0.647364,0.000898,,accum,5,,,32,accum:accum::5:None:32:None:binary:12
rice_R_4,frame_00075.png,frame_00079.png,,,,0,decode失敗,QR未検出,0.004530,0.719436,0.646435,0.000359,,accum,5,,,32,accum:accum::5:None:32:None:binary:15
rice_R_4,frame_00070.png,frame_00074.png,,,,0,decode失敗,QR未検出,0.004950,0.715917,0.646514,0.000465,,accum,5,,,32,accum:accum::5:None:32:None:binary:14
rice_R_4,frame_00085.png,frame_00089.png,,,,0,decode失敗,QR未検出,0.008380,0.813998,0.647747,0.000773,,accum,5,,,32,accum:accum::5:None:32:None:binary:17
rice_R_4,frame_00080.png,frame_00084.png,,,,0,decode失敗,QR未検出,0.006593,0.729258,0.646925,0.000533,,accum,5,,,32,accum:accum::5:None:32:None:binary:16
rice_R_4,frame_00090.png,frame_00094.png,,,,0,decode失敗,QR未検出,0.003775,0.634855,0.646024,0.000695,,accum,5,,,32,accum:accum::5:None:32:None:binary:18
rice_R_4,frame_00095.png,frame_00099.png,,,,0,decode失敗,QR未検出,0.006583,0.752397,0.647021,0.000520,,accum,5,,,32,accum:accum::5:None:32:None:binary:19
rice_R_4,frame_00100.png,frame_00104.png,,,,0,decode失敗,QR未検出,0.006100,0.685144,0.646624,0.000820,,accum,5,,,32,accum:accum::5:None:32:None:binary:20
rice_R_4,frame_00105.png,frame_00109.png,,,,0,decode失敗,QR未検出,0.006164,0.673315,0.646580,0.000651,,accum,5,,,32,accum:accum::5:None:32:None:binary:21
rice_R_4,frame_00110.png,frame_00114.png,,,,0,decode失敗,QR未検出,0.007146,0.691169,0.646857,0.000977,,accum,5,,,32,accum:accum::5:None:32:None:binary:22
rice_R_4,frame_00115.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.008177,0.807112,0.647662,0.000565,,accum,5,,,32,accum:accum::5:None:32:None:binary:23
rice_R_8,frame_00000.png,frame_00004.png,,,,0,decode失敗,QR未検出,0.999092,0.580365,0.743556,0.270549,,accum,5,,,8,accum:accum::5:None:8:None:binary:0
rice_R_8,frame_00060.png,frame_00064.png,,,,0,decode失敗,QR未検出,0.998909,0.561544,0.723085,0.282292,,accum,5,,,8,accum:accum::5:None:8:None:binary:12
rice_R_8,frame_00035.png,frame_00039.png,,,,0,decode失敗,QR未検出,0.995549,0.652049,0.810070,0.165016,,accum,5,,,8,accum:accum::5:None:8:None:binary:7
rice_R_8,frame_00055.png,frame_00059.png,,,,0,decode失敗,QR未検出,0.994251,0.656735,0.813713,0.158524,,accum,5,,,8,accum:accum::5:None:8:None:binary:11
rice_R_8,frame_00005.png,frame_00009.png,,,,0,decode失敗,QR未検出,0.997192,0.644925,0.804352,0.167472,,accum,5,,,8,accum:accum::5:None:8:None:binary:1
rice_R_8,frame_00030.png,frame_00034.png,,,,0,decode失敗,QR未検出,0.995287,0.660531,0.816976,0.158471,,accum,5,,,8,accum:accum::5:None:8:None:binary:6
