folder,frame_1,frame_2,diff_image,analysis_image,decoded_text,success,method,note,recall,precision,accuracy,noise,gt_note,diff_mode,window_n,stat_kind,fft_target_hz,diff_threshold,task_key
rice_R_4,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.000000,0.000000,0.636504,0.041029,,lockin,,,10.007737,4,lockin:lockin::None:10.007736611364223:4:8:binary:0
rice_R_4,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.008039,0.021895,0.520979,0.224263,,lockin,,,10.007737,8,lockin:lockin::None:10.007736611364223:8:8:binary:0
rice_R_4,frame_00000.png,frame_00119.png,rice_R_4/rgb_max_lockin_f300_ps8_th12/00000-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.933249,0.502475,0.648715,0.483798,,lockin,,,10.007737,12,lockin:lockin::None:10.007736611364223:12:8:binary:0
rice_R_4,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.000400,0.005111,0.618008,0.072771,,lockin,,,15.000000,4,lockin:lockin::None:15.0:4:8:binary:0
rice_R_4,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.969250,0.446486,0.563081,0.629992,,lockin,,,15.000000,8,lockin:lockin::None:15.0:8:8:binary:0
rice_R_4,frame_00000.png,frame_00119.png,rice_R_4/rgb_max_lockin_f300_ps8_th12/00000-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.842860,0.558364,0.707927,0.327145,,lockin,,,15.000000,12,lockin:lockin::None:15.0:12:8:binary:0
rice_R_4,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.991181,0.666399,0.820953,0.123559,,lockin,,,30.000000,4,lockin:lockin::None:30.0:4:8:binary:0
rice_R_4,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.969314,0.770876,0.886975,0.058031,,lockin,,,30.000000,8,lockin:lockin::None:30.0:8:8:binary:0
rice_R_4,frame_00000.png,frame_00119.png,rice_R_4/rgb_max_lockin_f300_ps8_th12/00000-00119-FRAME_rgbmax_scale1.00.png,,https://www.nagaoka-ct.ac.jp,1,zxing_gray_x1.0_k3_i1,,0.932174,0.815824,0.901341,0.043487,,lockin,,,30.000000,12,lockin:lockin::None:30.0:12:8:binary:0
rice_R_8,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.001387,0.018747,0.620213,0.076390,,lockin,,,10.007737,4,lockin:lockin::None:10.007736611364223:4:8:binary:0
