folder,pass,adopted,decode_success,decode_note,decode_variant,diff_mode,repr_mode,window_n,stat_kind,fft_target_hz,diff_threshold,phase_steps,n_maps,pixel_acc_all,pixel_acc_ok,pixel_acc_best,best_pair_frame_1,best_pair_frame_2,video,display_rate,exposure,fluorescent,camera_fps,rate_hz,exposure_denom,fluorescent_flag,cond,image,channel,token,intensity,decode_decoded_text,decode_method,decode_frame_1,decode_frame_2,note,analysis_frames,extract_sec
rice_R_4,fourier,0,0,QR未検出,,fourier,binary,,,30.000000,12,,1,0.716615,,0.716615,frame_00000.png,frame_00119.png,r60_e60_f1.mp4,60 Hz,1/60,蛍光灯あり,60.008 fps,60,60,1,0,rice,R,R,4,,,frame_00000.png,frame_00119.png,,120,1.999742
rice_R_4,fourier,0,0,QR未検出,,fourier,binary,,,10.007741,4,,1,0.644162,,0.644162,frame_00000.png,frame_00119.png,r60_e60_f1.mp4,60 Hz,1/60,蛍光灯あり,60.008 fps,60,60,1,0,rice,R,R,4,,,frame_00000.png,frame_00119.png,,120,1.999742
rice_R_4,fourier,0,0,QR未検出,,fourier,binary,,,15.000000,4,,1,0.644162,,0.644162,frame_00000.png,frame_00119.png,r60_e60_f1.mp4,60 Hz,1/60,蛍光灯あり,60.008 fps,60,60,1,0,rice,R,R,4,,,frame_00000.png,frame_00119.png,,120,1.999742
rice_R_4,fourier,0,0,QR未検出,,fourier,binary,,,10.007741,8,,1,0.644162,,0.644162,frame_00000.png,frame_00119.png,r60_e60_f1.mp4,60 Hz,1/60,蛍光灯あり,60.008 fps,60,60,1,0,rice,R,R,4,,,frame_00000.png,frame_00119.png,,120,1.999742
rice_R_4,fourier,0,0,QR未検出,,fourier,binary,,,15.000000,8,,1,0.644162,,0.644162,frame_00000.png,frame_00119.png,r60_e60_f1.mp4,60 Hz,1/60,蛍光灯あり,60.008 fps,60,60,1,0,rice,R,R,4,,,frame_00000.png,frame_00119.png,,120,1.999742
rice_R_4,fourier,0,0,QR未検出,,fourier,binary,,,10.007741,12,,1,0.644162,,0.644162,frame_00000.png,frame_00119.png,r60_e60_f1.mp4,60 Hz,1/60,蛍光灯あり,60.008 fps,60,60,1,0,rice,R,R,4,,,frame_00000.png,frame_00119.png,,120,1.999742
rice_R_4,fourier,0,0,QR未検出,,fourier,binary,,,15.000000,12,,1,0.644162,,0.644162,frame_00000.png,frame_00119.png,r60_e60_f1.mp4,60 Hz,1/60,蛍光灯あり,60.008 fps,60,60,1,0,rice,R,R,4,,,frame_00000.png,frame_00119.png,,120,1.999742
rice_R_4,fourier,0,0,QR未検出,,fourier,binary,,,30.000000,4,,1,0.643842,,0.643842,frame_00000.png,frame_00119.png,r60_e60_f1.mp4,60 Hz,1/60,蛍光灯あり,60.008 fps,60,60,1,0,rice,R,R,4,,,frame_00000.png,frame_00119.png,,120,1.999742
rice_R_4,fourier,0,0,QR未検出,,fourier,binary,,,30.000000,8,,1,0.628293,,0.628293,frame_00000.png,frame_00119.png,r60_e60_f1.mp4,60 Hz,1/60,蛍光灯あり,60.008 fps,60,60,1,0,rice,R,R,4,,,frame_00000.png,frame_00119.png,,120,1.999742
rice_R_8,fourier,0,0,QR未検出,,fourier,binary,,,30.000000,12,,1,0.771470,,0.771470,frame_00000.png,frame_00119.png,r60_e60_f1.mp4,60 Hz,1/60,蛍光灯あり,60.008 fps,60,60,1,1,rice,R,R,8,,,frame_00000.png,frame_00119.png,,120,1.999742
rice_R_8,fourier,0,0,QR未検出,,fourier,binary,,,10.007741,4,,1,0.644175,,0.644175,frame_00000.png,frame_00119.png,r60_e60_f1.mp4,60 Hz,1/60,蛍光灯あり,60.008 fps,60,60,1,1,rice,R,R,8,,,frame_00000.png,frame_00119.png,,120,1.999742
rice_R_8,fourier,0,0,QR未検出,,fourier,binary,,,15.000000,4,,1,0.644175,,0.644175,frame_00000.png,frame_00119.png,r60_e60_f1.mp4,60 Hz,1/60,蛍光灯あり,60.008 fps,60,60,1,1,rice,R,R,8,,,frame_00000.png,frame_00119.png,,120,1.999742
rice_R_8,fourier,0,0,QR未検出,,fourier,binary,,,10.007741,8,,1,0.644175,,0.644175,frame_00000.png,frame_00119.png,r60_e60_f1.mp4,60 Hz,1/60,蛍光灯あり,60.008 fps,60,60,1,1,rice,R,R,8,,,frame_00000.png,frame_00119.png,,120,1.999742
rice_R_8,fourier,0,0,QR未検出,,fourier,binary,,,15.000000,8,,1,0.644175,,0.644175,frame_00000.png,frame_00119.png,r60_e60_f1.mp4,60 Hz,1/60,蛍光灯あり,60.008 fps,60,60,1,1,rice,R,R,8,,,frame_00000.png,frame_00119.png,,120,1.999742
rice_R_8,fourier,0,0,QR未検出,,fourier,binary,,,10.007741,12,,1,0.644175,,0.644175,frame_00000.png,frame_00119.png,r60_e60_f1.mp4,60 Hz,1/60,蛍光灯あり,60.008 fps,60,60,1,1,rice,R,R,8,,,frame_00000.png,frame_00119.png,,120,1.999742
rice_R_8,fourier,0,0,QR未検出,,fourier,binary,,,15.000000,12,,1,0.644175,,0.644175,frame_00000.png,frame_00119.png,r60_e60_f1.mp4,60 Hz,1/60,蛍光灯あり,60.008 fps,60,60,1,1,rice,R,R,8,,,frame_00000.png,frame_00119.png,,120,1.999742
rice_R_8,fourier,0,0,QR未検出,,fourier,binary,,,30.000000,4,,1,0.644155,,0.644155,frame_00000.png,frame_00119.png,r60_e60_f1.mp4,60 Hz,1/60,蛍光灯あり,60.008 fps,60,60,1,1,rice,R,R,8,,,frame_00000.png,frame_00119.png,,120,1.999742
rice_R_8,fourier,0,0,QR未検出,,fourier,binary,,,30.000000,8,,1,0.585946,,0.585946,frame_00000.png,frame_00119.png,r60_e60_f1.mp4,60 Hz,1/60,蛍光灯あり,60.008 fps,60,60,1,1,rice,R,R,8,,,frame_00000.png,frame_00119.png,,120,1.999742
rice_R_12,fourier,0,0,QR未検出,,fourier,binary,,,30.000000,12,,1,0.768837,,0.768837,frame_00000.png,frame_00119.png,r60_e60_f1.mp4,60 Hz,1/60,蛍光灯あり,60.008 fps,60,60,1,2,rice,R,R,12,,,frame_00000.png,frame_00119.png,,120,1.999742
rice_R_12,fourier,0,0,QR未検出,,fourier,binary,,,10.007741,12,,1,0.654786,,0.654786,frame_00000.png,frame_00119.png,r60_e60_f1.mp4,60 Hz,1/60,蛍光灯あり,60.008 fps,60,60,1,2,rice,R,R,12,,,frame_00000.png,frame_00119.png,,120,1.999742
rice_R_12,fourier,0,0,QR未検出,,fourier,binary,,,15.000000,12,,1,0.646183,,0.646183,frame_00000.png,frame_00119.png,r60_e60_f1.mp4,60 Hz,1/60,蛍光灯あり,60.008 fps,60,60,1,2,rice,R,R,12,,,frame_00000.png,frame_00119.png,,120,1.999742
rice_R_12,fourier,0,0,QR未検出,,fourier,binary,,,10.007741,8,,1,0.644890,,0.644890,frame_00000.png,frame_00119.png,r60_e60_f1.mp4,60 Hz,1/60,蛍光灯あり,60.008 fps,60,60,1,2,rice,R,R,12,,,frame_00000.png,frame_00119.png,,120,1.999742
