folder,frame_1,frame_2,diff_image,analysis_image,decoded_text,success,method,note,recall,precision,accuracy,noise,gt_note,task_key,diff_mode,window_n,stat_kind,fft_target_hz,diff_threshold
rice_R_4,frame_00000.png,frame_00119.png,rice_R_4/rgb_max_fourier_f150_gray/00000-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.822828,0.474368,0.616168,0.454007,,fourier_num:fourier::None:7.499982748220049:0:None:gray:0,fourier,,,7.499983,0
rice_R_4,frame_00000.png,frame_00119.png,rice_R_4/rgb_max_fourier_f150_gray/00000-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.811461,0.471246,0.612605,0.444863,,fourier_num:fourier::None:9.999965496440097:0:None:gray:0,fourier,,,9.999965,0
rice_R_4,frame_00000.png,frame_00119.png,rice_R_4/rgb_max_fourier_f150_gray/00000-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.596530,0.955568,0.848004,0.004917,,fourier_num:fourier::None:14.999965496440097:0:None:gray:0,fourier,,,14.999965,0
rice_R_4,frame_00000.png,frame_00119.png,rice_R_4/rgb_max_fourier_f150_gray/00000-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.833024,0.429775,0.551552,0.583185,,fourier_num:fourier::None:22.5:0:None:gray:0,fourier,,,22.500000,0
rice_R_8,frame_00000.png,frame_00119.png,rice_R_8/rgb_max_fourier_f150_gray/00000-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.953763,0.620796,0.778345,0.278723,,fourier_num:fourier::None:7.499982748220049:0:None:gray:0,fourier,,,7.499983,0
rice_R_8,frame_00000.png,frame_00119.png,rice_R_8/rgb_max_fourier_f150_gray/00000-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.953311,0.623738,0.780836,0.272850,,fourier_num:fourier::None:9.999965496440097:0:None:gray:0,fourier,,,9.999965,0
rice_R_8,frame_00000.png,frame_00119.png,rice_R_8/rgb_max_fourier_f150_gray/00000-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.857024,0.960363,0.937134,0.006270,,fourier_num:fourier::None:14.999965496440097:0:None:gray:0,fourier,,,14.999965,0
rice_R_8,frame_00000.png,frame_00119.png,rice_R_8/rgb_max_fourier_f150_gray/00000-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.957604,0.540959,0.698626,0.422908,,fourier_num:fourier::None:22.5:0:None:gray:0,fourier,,,22.500000,0
rice_R_12,frame_00000.png,frame_00119.png,rice_R_12/rgb_max_fourier_f150_gray/00000-00119-FRAME_rgbmax_scale1.00.png,,https://www.nagaoka-ct.ac.jp,1,zxing_gray_x1.0_k3_i1,,0.000154,0.000937,0.589756,0.104667,,fourier_num:fourier::None:7.499982748220049:0:None:gray:0,fourier,,,7.499983,0
rice_R_12,frame_00000.png,frame_00119.png,rice_R_12/rgb_max_fourier_f150_gray/00000-00119-FRAME_rgbmax_scale1.00.png,,https://www.nagaoka-ct.ac.jp,1,zxing_median_otsu_x1.0_k3_i1,,0.993815,0.729606,0.867994,0.161826,,fourier_num:fourier::None:9.999965496440097:0:None:gray:0,fourier,,,9.999965,0
rice_R_12,frame_00000.png,frame_00119.png,rice_R_12/rgb_max_fourier_f150_gray/00000-00119-FRAME_rgbmax_scale1.00.png,,https://www.nagaoka-ct.ac.jp,1,zxing_gray_x1.0_k3_i1,,0.958647,0.975458,0.976922,0.004276,,fourier_num:fourier::None:14.999965496440097:0:None:gray:0,fourier,,,14.999965,0
rice_R_12,frame_00000.png,frame_00119.png,rice_R_12/rgb_max_fourier_f150_gray/00000-00119-FRAME_rgbmax_scale1.00.png,,https://www.nagaoka-ct.ac.jp,1,zxing_gray_x1.0_k3_i1,,0.000099,0.001939,0.629535,0.028515,,fourier_num:fourier::None:22.5:0:None:gray:0,fourier,,,22.500000,0
nagaoka_fireworks_R_4,frame_00000.png,frame_00119.png,nagaoka_fireworks_R_4/rgb_max_fourier_f150_gray/00000-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.691214,0.443370,0.585272,0.439052,,fourier_num:fourier::None:7.499982748220049:0:None:gray:0,fourier,,,7.499983,0
nagaoka_fireworks_R_4,frame_00000.png,frame_00119.png,nagaoka_fireworks_R_4/rgb_max_fourier_f150_gray/00000-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.620148,0.432717,0.579533,0.429478,,fourier_num:fourier::None:9.999965496440097:0:None:gray:0,fourier,,,9.999965,0
