folder,frame_1,frame_2,diff_image,analysis_image,decoded_text,success,method,note,recall,precision,accuracy,noise,gt_note,task_key,diff_mode,window_n,stat_kind,fft_target_hz,diff_threshold
rice_R_4,frame_00000.png,frame_00119.png,rice_R_4/rgb_max_lockin_f150_ps8_gray/00000-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.496451,0.574010,0.692637,0.240164,,lockin_num:lockin::None:7.499982748220049:0:8:gray:0,lockin,,,7.499983,0
rice_R_4,frame_00000.png,frame_00119.png,rice_R_4/rgb_max_lockin_f150_ps8_gray/00000-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.554309,0.580984,0.701982,0.259592,,lockin_num:lockin::None:9.999965496440097:0:8:gray:0,lockin,,,9.999965,0
rice_R_4,frame_00000.png,frame_00119.png,rice_R_4/rgb_max_lockin_f150_ps8_gray/00000-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.704244,0.946332,0.881671,0.007556,,lockin_num:lockin::None:14.999965496440097:0:8:gray:0,lockin,,,14.999965,0
rice_R_4,frame_00000.png,frame_00119.png,rice_R_4/rgb_max_lockin_f150_ps8_gray/00000-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.408836,0.567089,0.681609,0.207161,,lockin_num:lockin::None:22.5:0:8:gray:0,lockin,,,22.500000,0
rice_R_8,frame_00000.png,frame_00119.png,rice_R_8/rgb_max_lockin_f150_ps8_gray/00000-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.717587,0.557054,0.699324,0.277979,,lockin_num:lockin::None:7.499982748220049:0:8:gray:0,lockin,,,7.499983,0
rice_R_8,frame_00000.png,frame_00119.png,rice_R_8/rgb_max_lockin_f150_ps8_gray/00000-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.696669,0.582621,0.717159,0.252988,,lockin_num:lockin::None:9.999965496440097:0:8:gray:0,lockin,,,9.999965,0
rice_R_8,frame_00000.png,frame_00119.png,rice_R_8/rgb_max_lockin_f150_ps8_gray/00000-00119-FRAME_rgbmax_scale1.00.png,,https://www.nagaoka-ct.ac.jp,1,zxing_gray_x1.0_k3_i1,,0.343497,0.995555,0.768050,0.000272,,lockin_num:lockin::None:14.999965496440097:0:8:gray:0,lockin,,,14.999965,0
rice_R_8,frame_00000.png,frame_00119.png,rice_R_8/rgb_max_lockin_f150_ps8_gray/00000-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.647667,0.585386,0.714111,0.232253,,lockin_num:lockin::None:22.5:0:8:gray:0,lockin,,,22.500000,0
rice_R_12,frame_00000.png,frame_00119.png,rice_R_12/rgb_max_lockin_f150_ps8_gray/00000-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.862241,0.589659,0.739938,0.225992,,lockin_num:lockin::None:7.499982748220049:0:8:gray:0,lockin,,,7.499983,0
rice_R_12,frame_00000.png,frame_00119.png,rice_R_12/rgb_max_lockin_f150_ps8_gray/00000-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.880706,0.595245,0.746858,0.227744,,lockin_num:lockin::None:9.999965496440097:0:8:gray:0,lockin,,,9.999965,0
