folder,frame_1,frame_2,diff_image,analysis_image,decoded_text,success,method,note,recall,precision,accuracy,noise,gt_note,task_key,diff_mode,window_n,stat_kind,fft_target_hz,diff_threshold
rice_R_4,frame_00001.png,frame_00002.png,,,,0,decode失敗,QR未検出,0.080209,0.700555,0.663699,0.023978,,pair:pair::None:None:4:None:binary:1,pair,,,,4
rice_R_4,frame_00112.png,frame_00113.png,,,,0,decode失敗,QR未検出,0.105088,0.747616,0.672049,0.022922,,pair:pair::None:None:4:None:binary:13,pair,,,,4
rice_R_4,frame_00000.png,frame_00001.png,,,,0,decode失敗,QR未検出,0.120545,0.723888,0.673795,0.025824,,pair:pair::None:None:4:None:binary:0,pair,,,,4
rice_R_4,frame_00005.png,frame_00006.png,,,,0,decode失敗,QR未検出,0.071175,0.671931,0.660350,0.022612,,pair:pair::None:None:4:None:binary:5,pair,,,,4
rice_R_4,frame_00003.png,frame_00004.png,,,,0,decode失敗,QR未検出,0.083138,0.716780,0.665237,0.024548,,pair:pair::None:None:4:None:binary:3,pair,,,,4
rice_R_4,frame_00009.png,frame_00010.png,,,,0,decode失敗,QR未検出,0.083327,0.661635,0.661862,0.024163,,pair:pair::None:None:4:None:binary:9,pair,,,,4
rice_R_4,frame_00113.png,frame_00114.png,,,,0,decode失敗,QR未検出,0.082751,0.678953,0.662887,0.022826,,pair:pair::None:None:4:None:binary:14,pair,,,,4
rice_R_4,frame_00004.png,frame_00005.png,,,,0,decode失敗,QR未検出,0.121712,0.788526,0.678907,0.020712,,pair:pair::None:None:4:None:binary:4,pair,,,,4
rice_R_4,frame_00111.png,frame_00112.png,,,,0,decode失敗,QR未検出,0.084384,0.721072,0.665750,0.020698,,pair:pair::None:None:4:None:binary:12,pair,,,,4
rice_R_4,frame_00114.png,frame_00115.png,,,,0,decode失敗,QR未検出,0.106637,0.724358,0.670796,0.024132,,pair:pair::None:None:4:None:binary:15,pair,,,,4
rice_R_4,frame_00007.png,frame_00008.png,,,,0,decode失敗,QR未検出,0.096282,0.708618,0.667494,0.024917,,pair:pair::None:None:4:None:binary:7,pair,,,,4
rice_R_4,frame_00002.png,frame_00003.png,,,,0,decode失敗,QR未検出,0.112052,0.739307,0.673081,0.024162,,pair:pair::None:None:4:None:binary:2,pair,,,,4
rice_R_4,frame_00109.png,frame_00110.png,,,,0,decode失敗,QR未検出,0.085392,0.709519,0.665288,0.024018,,pair:pair::None:None:4:None:binary:10,pair,,,,4
rice_R_4,frame_00006.png,frame_00007.png,rice_R_4/rgb_max_diff_maps_th4/00006-00007-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.144078,0.757286,0.682020,0.025795,,pair:pair::None:None:4:None:binary:6,pair,,,,4
rice_R_4,frame_00008.png,frame_00009.png,,,,0,decode失敗,QR未検出,0.116872,0.759320,0.675649,0.026356,,pair:pair::None:None:4:None:binary:8,pair,,,,4
rice_R_4,frame_00110.png,frame_00111.png,,,,0,decode失敗,QR未検出,0.110697,0.758125,0.674082,0.022655,,pair:pair::None:None:4:None:binary:11,pair,,,,4
