folder,pass,adopted,decode_success,decode_note,decode_variant,diff_mode,repr_mode,window_n,stat_kind,fft_target_hz,diff_threshold,phase_steps,n_maps,pixel_acc_all,pixel_acc_ok,pixel_acc_best,best_pair_frame_1,best_pair_frame_2,video,display_rate,exposure,fluorescent,camera_fps,rate_hz,exposure_denom,fluorescent_flag,cond,image,channel,token,intensity,decode_decoded_text,decode_method,decode_frame_1,decode_frame_2,note,analysis_frames,extract_sec
rice_R_4,pair,1,0,QR未検出,,pair,binary,,,,4,,20,0.692738,,0.760311,frame_00112.png,frame_00113.png,r90_e250_f0.mp4,90 Hz,1/250,蛍光灯なし,59.982 fps,90,250,0,0,rice,R,R,4,,,frame_00115.png,frame_00116.png,,120,2.000607
rice_R_4,pair,0,0,QR未検出,,pair,binary,,,,8,,20,0.655903,,0.684002,frame_00110.png,frame_00111.png,r90_e250_f0.mp4,90 Hz,1/250,蛍光灯なし,59.982 fps,90,250,0,0,rice,R,R,4,,,frame_00117.png,frame_00118.png,,120,2.000607
rice_R_4,pair,0,0,QR未検出,,pair,binary,,,,12,,20,0.650939,,0.653163,frame_00110.png,frame_00111.png,r90_e250_f0.mp4,90 Hz,1/250,蛍光灯なし,59.982 fps,90,250,0,0,rice,R,R,4,,,frame_00118.png,frame_00119.png,,120,2.000607
rice_R_8,pair,1,0,QR未検出,,pair,binary,,,,4,,20,0.794125,,0.885675,frame_00007.png,frame_00008.png,r90_e250_f0.mp4,90 Hz,1/250,蛍光灯なし,59.982 fps,90,250,0,1,rice,R,R,8,,,frame_00115.png,frame_00116.png,,120,2.000607
rice_R_8,pair,0,0,QR未検出,,pair,binary,,,,8,,20,0.748793,,0.841398,frame_00007.png,frame_00008.png,r90_e250_f0.mp4,90 Hz,1/250,蛍光灯なし,59.982 fps,90,250,0,1,rice,R,R,8,,,frame_00118.png,frame_00119.png,,120,2.000607
rice_R_8,pair,0,0,QR未検出,,pair,binary,,,,12,,20,0.687261,,0.748665,frame_00109.png,frame_00110.png,r90_e250_f0.mp4,90 Hz,1/250,蛍光灯なし,59.982 fps,90,250,0,1,rice,R,R,8,,,frame_00118.png,frame_00119.png,,120,2.000607
rice_R_12,pair,1,1,,zxing_gray,pair,binary,,,,8,,20,0.884822,0.936101,0.940639,frame_00007.png,frame_00008.png,r90_e250_f0.mp4,90 Hz,1/250,蛍光灯なし,59.982 fps,90,250,0,2,rice,R,R,12,https://www.nagaoka-ct.ac.jp,zxing_gray_x1.0_k3_i1,frame_00003.png,frame_00004.png,,120,2.000607
rice_R_12,pair,0,1,,zxing_gray,pair,binary,,,,12,,20,0.868977,0.959942,0.961072,frame_00007.png,frame_00008.png,r90_e250_f0.mp4,90 Hz,1/250,蛍光灯なし,59.982 fps,90,250,0,2,rice,R,R,12,https://www.nagaoka-ct.ac.jp,zxing_gray_x1.0_k3_i1,frame_00003.png,frame_00004.png,,120,2.000607
rice_R_12,pair,0,0,QR未検出,,pair,binary,,,,4,,20,0.847582,,0.873915,frame_00007.png,frame_00008.png,r90_e250_f0.mp4,90 Hz,1/250,蛍光灯なし,59.982 fps,90,250,0,2,rice,R,R,12,,,frame_00008.png,frame_00009.png,,120,2.000607
nagaoka_fireworks_R_4,pair,1,0,QR未検出,,pair,binary,,,,4,,20,0.656773,,0.674899,frame_00005.png,frame_00006.png,r90_e250_f0.mp4,90 Hz,1/250,蛍光灯なし,59.982 fps,90,250,0,3,nagaoka_fireworks,R,R,4,,,frame_00109.png,frame_00110.png,,120,2.000607
nagaoka_fireworks_R_4,pair,0,0,QR未検出,,pair,binary,,,,8,,20,0.652773,,0.659797,frame_00110.png,frame_00111.png,r90_e250_f0.mp4,90 Hz,1/250,蛍光灯なし,59.982 fps,90,250,0,3,nagaoka_fireworks,R,R,4,,,frame_00114.png,frame_00115.png,,120,2.000607
nagaoka_fireworks_R_4,pair,0,0,QR未検出,,pair,binary,,,,12,,20,0.650903,,0.652393,frame_00110.png,frame_00111.png,r90_e250_f0.mp4,90 Hz,1/250,蛍光灯なし,59.982 fps,90,250,0,3,nagaoka_fireworks,R,R,4,,,frame_00117.png,frame_00118.png,,120,2.000607
nagaoka_fireworks_R_8,pair,1,0,QR未検出,,pair,binary,,,,4,,20,0.741807,,0.790521,frame_00109.png,frame_00110.png,r90_e250_f0.mp4,90 Hz,1/250,蛍光灯なし,59.982 fps,90,250,0,4,nagaoka_fireworks,R,R,8,,,frame_00116.png,frame_00117.png,,120,2.000607
nagaoka_fireworks_R_8,pair,0,0,QR未検出,,pair,binary,,,,8,,20,0.735912,,0.788563,frame_00113.png,frame_00114.png,r90_e250_f0.mp4,90 Hz,1/250,蛍光灯なし,59.982 fps,90,250,0,4,nagaoka_fireworks,R,R,8,,,frame_00116.png,frame_00117.png,,120,2.000607
nagaoka_fireworks_R_8,pair,0,0,QR未検出,,pair,binary,,,,12,,20,0.692792,,0.739554,frame_00117.png,frame_00118.png,r90_e250_f0.mp4,90 Hz,1/250,蛍光灯なし,59.982 fps,90,250,0,4,nagaoka_fireworks,R,R,8,,,frame_00110.png,frame_00111.png,,120,2.000607
nagaoka_fireworks_R_12,pair,1,0,QR未検出,,pair,binary,,,,12,,20,0.865503,,0.895370,frame_00117.png,frame_00118.png,r90_e250_f0.mp4,90 Hz,1/250,蛍光灯なし,59.982 fps,90,250,0,5,nagaoka_fireworks,R,R,12,,,frame_00118.png,frame_00119.png,,120,2.000607
nagaoka_fireworks_R_12,pair,0,0,QR未検出,,pair,binary,,,,8,,20,0.863923,,0.887087,frame_00115.png,frame_00116.png,r90_e250_f0.mp4,90 Hz,1/250,蛍光灯なし,59.982 fps,90,250,0,5,nagaoka_fireworks,R,R,12,,,frame_00117.png,frame_00118.png,,120,2.000607
nagaoka_fireworks_R_12,pair,0,0,QR未検出,,pair,binary,,,,4,,20,0.796195,,0.822120,frame_00002.png,frame_00003.png,r90_e250_f0.mp4,90 Hz,1/250,蛍光灯なし,59.982 fps,90,250,0,5,nagaoka_fireworks,R,R,12,,,frame_00116.png,frame_00117.png,,120,2.000607
hocho_R_4,pair,1,0,QR未検出,,pair,binary,,,,12,,20,0.650160,,0.651513,frame_00003.png,frame_00004.png,r90_e250_f0.mp4,90 Hz,1/250,蛍光灯なし,59.982 fps,90,250,0,6,hocho,R,R,4,,,frame_00117.png,frame_00118.png,,120,2.000607
hocho_R_4,pair,0,0,QR未検出,,pair,binary,,,,8,,20,0.648686,,0.655562,frame_00111.png,frame_00112.png,r90_e250_f0.mp4,90 Hz,1/250,蛍光灯なし,59.982 fps,90,250,0,6,hocho,R,R,4,,,frame_00116.png,frame_00117.png,,120,2.000607
hocho_R_4,pair,0,0,QR未検出,,pair,binary,,,,4,,20,0.648419,,0.681985,frame_00111.png,frame_00112.png,r90_e250_f0.mp4,90 Hz,1/250,蛍光灯なし,59.982 fps,90,250,0,6,hocho,R,R,4,,,frame_00110.png,frame_00111.png,,120,2.000607
hocho_R_8,pair,1,0,QR未検出,,pair,binary,,,,4,,20,0.736176,,0.827782,frame_00008.png,frame_00009.png,r90_e250_f0.mp4,90 Hz,1/250,蛍光灯なし,59.982 fps,90,250,0,7,hocho,R,R,8,,,frame_00116.png,frame_00117.png,,120,2.000607
hocho_R_8,pair,0,0,QR未検出,,pair,binary,,,,8,,20,0.718350,,0.788732,frame_00000.png,frame_00001.png,r90_e250_f0.mp4,90 Hz,1/250,蛍光灯なし,59.982 fps,90,250,0,7,hocho,R,R,8,,,frame_00118.png,frame_00119.png,,120,2.000607
