folder,pass,adopted,decode_success,decode_note,decode_variant,diff_mode,repr_mode,window_n,stat_kind,fft_target_hz,diff_threshold,phase_steps,n_maps,pixel_acc_all,pixel_acc_ok,pixel_acc_best,best_pair_frame_1,best_pair_frame_2,video,display_rate,exposure,fluorescent,camera_fps,rate_hz,exposure_denom,fluorescent_flag,cond,image,channel,token,intensity,decode_decoded_text,decode_method,decode_frame_1,decode_frame_2,note,analysis_frames,extract_sec
rice_R_4,accum,1,0,QR未検出,,accum,binary,5,,,32,,24,0.652185,,0.652598,frame_00080.png,frame_00084.png,r90_e60_f0.mp4,90 Hz,1/60,蛍光灯なし,59.966 fps,90,60,0,0,rice,R,R,4,,,frame_00115.png,frame_00119.png,,120,2.001129
rice_R_4,accum,0,0,QR未検出,,accum,binary,5,,,24,,24,0.651938,,0.652643,frame_00065.png,frame_00069.png,r90_e60_f0.mp4,90 Hz,1/60,蛍光灯なし,59.966 fps,90,60,0,0,rice,R,R,4,,,frame_00115.png,frame_00119.png,,120,2.001129
rice_R_4,accum,0,0,QR未検出,,accum,binary,5,,,16,,24,0.650617,,0.652333,frame_00070.png,frame_00074.png,r90_e60_f0.mp4,90 Hz,1/60,蛍光灯なし,59.966 fps,90,60,0,0,rice,R,R,4,,,frame_00115.png,frame_00119.png,,120,2.001129
rice_R_4,accum,0,0,QR未検出,,accum,binary,5,,,8,,24,0.644445,,0.655509,frame_00040.png,frame_00044.png,r90_e60_f0.mp4,90 Hz,1/60,蛍光灯なし,59.966 fps,90,60,0,0,rice,R,R,4,,,frame_00110.png,frame_00114.png,,120,2.001129
rice_R_8,accum,1,0,QR未検出,,accum,binary,5,,,8,,24,0.736691,,0.753312,frame_00050.png,frame_00054.png,r90_e60_f0.mp4,90 Hz,1/60,蛍光灯なし,59.966 fps,90,60,0,1,rice,R,R,8,,,frame_00110.png,frame_00114.png,,120,2.001129
rice_R_8,accum,0,0,QR未検出,,accum,binary,5,,,16,,24,0.653111,,0.655845,frame_00050.png,frame_00054.png,r90_e60_f0.mp4,90 Hz,1/60,蛍光灯なし,59.966 fps,90,60,0,1,rice,R,R,8,,,frame_00115.png,frame_00119.png,,120,2.001129
rice_R_8,accum,0,0,QR未検出,,accum,binary,5,,,32,,24,0.652276,,0.652731,frame_00000.png,frame_00004.png,r90_e60_f0.mp4,90 Hz,1/60,蛍光灯なし,59.966 fps,90,60,0,1,rice,R,R,8,,,frame_00115.png,frame_00119.png,,120,2.001129
rice_R_8,accum,0,0,QR未検出,,accum,binary,5,,,24,,24,0.652224,,0.653016,frame_00030.png,frame_00034.png,r90_e60_f0.mp4,90 Hz,1/60,蛍光灯なし,59.966 fps,90,60,0,1,rice,R,R,8,,,frame_00115.png,frame_00119.png,,120,2.001129
rice_R_12,accum,1,1,,zxing_gray,accum,binary,5,,,16,,24,0.929252,0.928574,0.933995,frame_00100.png,frame_00104.png,r90_e60_f0.mp4,90 Hz,1/60,蛍光灯なし,59.966 fps,90,60,0,2,rice,R,R,12,https://www.nagaoka-ct.ac.jp,zxing_gray_x1.0_k3_i1,frame_00010.png,frame_00014.png,,120,2.001129
rice_R_12,accum,0,0,QR未検出,,accum,binary,5,,,24,,24,0.856611,,0.883059,frame_00110.png,frame_00114.png,r90_e60_f0.mp4,90 Hz,1/60,蛍光灯なし,59.966 fps,90,60,0,2,rice,R,R,12,,,frame_00100.png,frame_00104.png,,120,2.001129
rice_R_12,accum,0,0,QR未検出,,accum,binary,5,,,8,,24,0.847348,,0.865559,frame_00075.png,frame_00079.png,r90_e60_f0.mp4,90 Hz,1/60,蛍光灯なし,59.966 fps,90,60,0,2,rice,R,R,12,,,frame_00105.png,frame_00109.png,,120,2.001129
rice_R_12,accum,0,0,QR未検出,,accum,binary,5,,,32,,24,0.751265,,0.775902,frame_00110.png,frame_00114.png,r90_e60_f0.mp4,90 Hz,1/60,蛍光灯なし,59.966 fps,90,60,0,2,rice,R,R,12,,,frame_00115.png,frame_00119.png,,120,2.001129
nagaoka_fireworks_R_4,accum,1,0,QR未検出,,accum,binary,5,,,32,,24,0.651854,,0.652802,frame_00025.png,frame_00029.png,r90_e60_f0.mp4,90 Hz,1/60,蛍光灯なし,59.966 fps,90,60,0,3,nagaoka_fireworks,R,R,4,,,frame_00115.png,frame_00119.png,,120,2.001129
nagaoka_fireworks_R_4,accum,0,0,QR未検出,,accum,binary,5,,,24,,24,0.650585,,0.651660,frame_00055.png,frame_00059.png,r90_e60_f0.mp4,90 Hz,1/60,蛍光灯なし,59.966 fps,90,60,0,3,nagaoka_fireworks,R,R,4,,,frame_00110.png,frame_00114.png,,120,2.001129
nagaoka_fireworks_R_4,accum,0,0,QR未検出,,accum,binary,5,,,16,,24,0.645754,,0.650110,frame_00030.png,frame_00034.png,r90_e60_f0.mp4,90 Hz,1/60,蛍光灯なし,59.966 fps,90,60,0,3,nagaoka_fireworks,R,R,4,,,frame_00105.png,frame_00109.png,,120,2.001129
nagaoka_fireworks_R_4,accum,0,0,QR未検出,,accum,binary,5,,,8,,24,0.627598,,0.645303,frame_00030.png,frame_00034.png,r90_e60_f0.mp4,90 Hz,1/60,蛍光灯なし,59.966 fps,90,60,0,3,nagaoka_fireworks,R,R,4,,,frame_00105.png,frame_00109.png,,120,2.001129
nagaoka_fireworks_R_8,accum,1,0,QR未検出,,accum,binary,5,,,8,,24,0.674983,,0.690793,frame_00070.png,frame_00074.png,r90_e60_f0.mp4,90 Hz,1/60,蛍光灯なし,59.966 fps,90,60,0,4,nagaoka_fireworks,R,R,8,,,frame_00115.png,frame_00119.png,,120,2.001129
