folder,decode_note,decode_variant,diff_mode,window_n,stat_kind,fft_target_hz,diff_threshold,pixel_acc_all,pixel_acc_ok,pixel_acc_best,best_pair_frame_1,best_pair_frame_2,video,display_rate,exposure,fluorescent,camera_fps,rate_hz,exposure_denom,fluorescent_flag,cond,image,channel,token,intensity,decode_decoded_text,decode_method,decode_frame_1,decode_frame_2,note,analysis_frames,extract_sec
rice_R_4,QR未検出,,fourier,,,7.493972,4,0.652361,,0.652361,frame_00000.png,frame_00119.png,r90_e60_f1.mp4,90 Hz,1/60,蛍光灯あり,59.988 fps,90,60,1,0,rice,R,R,4,,,frame_00000.png,frame_00119.png,,120,2.000402
rice_R_8,QR未検出,,fourier,,,7.493972,4,0.651347,,0.651347,frame_00000.png,frame_00119.png,r90_e60_f1.mp4,90 Hz,1/60,蛍光灯あり,59.988 fps,90,60,1,1,rice,R,R,8,,,frame_00000.png,frame_00119.png,,120,2.000402
rice_R_12,QR未検出,,fourier,,,7.493972,4,0.652813,,0.652813,frame_00000.png,frame_00119.png,r90_e60_f1.mp4,90 Hz,1/60,蛍光灯あり,59.988 fps,90,60,1,2,rice,R,R,12,,,frame_00000.png,frame_00119.png,,120,2.000402
nagaoka_fireworks_R_4,QR未検出,,fourier,,,9.987943,4,0.633498,,0.633498,frame_00000.png,frame_00119.png,r90_e60_f1.mp4,90 Hz,1/60,蛍光灯あり,59.988 fps,90,60,1,3,nagaoka_fireworks,R,R,4,,,frame_00000.png,frame_00119.png,,120,2.000402
nagaoka_fireworks_R_8,QR未検出,,fourier,,,7.493972,4,0.635727,,0.635727,frame_00000.png,frame_00119.png,r90_e60_f1.mp4,90 Hz,1/60,蛍光灯あり,59.988 fps,90,60,1,4,nagaoka_fireworks,R,R,8,,,frame_00000.png,frame_00119.png,,120,2.000402
nagaoka_fireworks_R_12,QR未検出,,fourier,,,7.493972,4,0.632926,,0.632926,frame_00000.png,frame_00119.png,r90_e60_f1.mp4,90 Hz,1/60,蛍光灯あり,59.988 fps,90,60,1,5,nagaoka_fireworks,R,R,12,,,frame_00000.png,frame_00119.png,,120,2.000402
hocho_R_4,QR未検出,,fourier,,,7.493972,4,0.652813,,0.652813,frame_00000.png,frame_00119.png,r90_e60_f1.mp4,90 Hz,1/60,蛍光灯あり,59.988 fps,90,60,1,6,hocho,R,R,4,,,frame_00000.png,frame_00119.png,,120,2.000402
hocho_R_8,QR未検出,,fourier,,,7.493972,4,0.652813,,0.652813,frame_00000.png,frame_00119.png,r90_e60_f1.mp4,90 Hz,1/60,蛍光灯あり,59.988 fps,90,60,1,7,hocho,R,R,8,,,frame_00000.png,frame_00119.png,,120,2.000402
hocho_R_12,QR未検出,,fourier,,,7.493972,4,0.652722,,0.652722,frame_00000.png,frame_00119.png,r90_e60_f1.mp4,90 Hz,1/60,蛍光灯あり,59.988 fps,90,60,1,8,hocho,R,R,12,,,frame_00000.png,frame_00119.png,,120,2.000402
ex_R_4,QR未検出,,fourier,,,7.493972,4,0.652615,,0.652615,frame_00000.png,frame_00119.png,r90_e60_f1.mp4,90 Hz,1/60,蛍光灯あり,59.988 fps,90,60,1,9,ex,R,R,4,,,frame_00000.png,frame_00119.png,,120,2.000402
ex_R_8,QR未検出,,fourier,,,7.493972,4,0.652347,,0.652347,frame_00000.png,frame_00119.png,r90_e60_f1.mp4,90 Hz,1/60,蛍光灯あり,59.988 fps,90,60,1,10,ex,R,R,8,,,frame_00000.png,frame_00119.png,,120,2.000402
ex_R_12,QR未検出,,fourier,,,9.987943,12,0.652650,,0.652650,frame_00000.png,frame_00119.png,r90_e60_f1.mp4,90 Hz,1/60,蛍光灯あり,59.988 fps,90,60,1,11,ex,R,R,12,,,frame_00000.png,frame_00119.png,,120,2.000402
rice_G_4,QR未検出,,fourier,,,7.493972,4,0.651749,,0.651749,frame_00000.png,frame_00119.png,r90_e60_f1.mp4,90 Hz,1/60,蛍光灯あり,59.988 fps,90,60,1,12,rice,G,G,4,,,frame_00000.png,frame_00119.png,,120,2.000402
