stem,status,missing_sweeps,conditions_touched,elapsed_sec,note
r120_e125_f0,ok,300,60,789.8,"appended passes=accum,accum_num"
r120_e125_f1,ok,300,60,857.7,"appended passes=accum,accum_num"
r120_e250_f0,ok,300,60,794.0,"appended passes=accum,accum_num"
r120_e250_f1,ok,300,60,867.4,"appended passes=accum,accum_num"
r120_e60_f0,ok,300,60,577.2,"appended passes=accum,accum_num"
r120_e60_f1,ok,300,60,649.6,"appended passes=accum,accum_num"
r180_e125_f0,ok,300,60,593.9,"appended passes=accum,accum_num"
r180_e125_f1,ok,300,60,866.1,"appended passes=accum,accum_num"
r180_e250_f0,ok,300,60,794.9,"appended passes=accum,accum_num"
r180_e250_f1,ok,300,60,1270.5,"appended passes=accum,accum_num"
r180_e60_f0,ok,300,60,950.0,"appended passes=accum,accum_num"
r180_e60_f1,ok,300,60,1054.2,"appended passes=accum,accum_num"
r45_e125_f0,ok,300,60,1336.1,"appended passes=accum,accum_num"
r45_e125_f1,ok,300,60,1403.0,"appended passes=accum,accum_num"
r45_e250_f0,ok,300,60,1487.3,"appended passes=accum,accum_num"
r45_e250_f1,ok,300,60,1700.8,"appended passes=accum,accum_num"
r45_e60_f0,ok,300,60,1354.4,"appended passes=accum,accum_num"
r45_e60_f1,ok,300,60,1449.9,"appended passes=accum,accum_num"
r60_e125_f0,ok,300,60,1324.8,"appended passes=accum,accum_num"
r60_e125_f1,ok,300,60,1395.4,"appended passes=accum,accum_num"
r60_e250_f0,ok,300,60,1324.3,"appended passes=accum,accum_num"
r60_e250_f1,ok,300,60,1438.6,"appended passes=accum,accum_num"
r60_e60_f0,ok,300,60,1358.9,"appended passes=accum,accum_num"
r60_e60_f1,ok,300,60,1451.7,"appended passes=accum,accum_num"
r90_e125_f0,ok,300,60,1338.2,"appended passes=accum,accum_num"
r90_e125_f1,ok,300,60,1413.7,"appended passes=accum,accum_num"
r90_e250_f0,ok,300,60,1341.5,"appended passes=accum,accum_num"
r90_e250_f1,ok,300,60,1441.9,"appended passes=accum,accum_num"
r90_e60_f0,ok,300,60,1376.1,"appended passes=accum,accum_num"
r90_e60_f1,ok,300,60,1485.1,"appended passes=accum,accum_num"
