stem,status,missing_sweeps,conditions_touched,elapsed_sec,note
r120_e125_f0,ok,1800,60,4942.3,"appended passes=fourier,lockin"
r120_e125_f1,ok,1800,60,4977.9,"appended passes=fourier,lockin"
r120_e250_f0,ok,1800,60,5015.2,"appended passes=fourier,lockin"
r120_e250_f1,ok,1800,60,5010.2,"appended passes=fourier,lockin"
r120_e60_f0,ok,2400,60,6249.1,"appended passes=fourier,lockin"
r120_e60_f1,ok,2400,60,6179.9,"appended passes=fourier,lockin"
r180_e125_f0,ok,2400,60,6384.1,"appended passes=fourier,lockin"
r180_e125_f1,ok,0,0,3.4,no missing
r180_e250_f0,ok,0,0,4.5,no missing
r180_e250_f1,ok,0,0,4.6,no missing
r180_e60_f0,ok,2400,60,6146.6,"appended passes=fourier,lockin"
r180_e60_f1,ok,2400,60,6173.1,"appended passes=fourier,lockin"
r45_e125_f0,ok,2400,60,6316.2,"appended passes=fourier,lockin"
r45_e125_f1,ok,2400,60,6344.3,"appended passes=fourier,lockin"
r45_e250_f0,ok,2400,60,6327.1,"appended passes=fourier,lockin"
r45_e250_f1,ok,2400,60,6352.3,"appended passes=fourier,lockin"
r45_e60_f0,ok,2400,60,6306.7,"appended passes=fourier,lockin"
r45_e60_f1,ok,2400,60,6351.5,"appended passes=fourier,lockin"
r60_e125_f0,ok,1800,60,4956.2,"appended passes=fourier,lockin"
r60_e125_f1,ok,1800,60,4942.3,"appended passes=fourier,lockin"
r60_e250_f0,ok,1800,60,4887.9,"appended passes=fourier,lockin"
r60_e250_f1,ok,1800,60,4988.2,"appended passes=fourier,lockin"
r60_e60_f0,ok,1800,60,4878.0,"appended passes=fourier,lockin"
r60_e60_f1,ok,1800,60,5003.5,"appended passes=fourier,lockin"
r90_e125_f0,ok,2400,60,6352.0,"appended passes=fourier,lockin"
r90_e125_f1,ok,2400,60,6367.0,"appended passes=fourier,lockin"
r90_e250_f0,ok,2400,60,6358.3,"appended passes=fourier,lockin"
r90_e250_f1,ok,2400,60,6434.3,"appended passes=fourier,lockin"
r90_e60_f0,ok,2400,60,6341.6,"appended passes=fourier,lockin"
r90_e60_f1,ok,2400,60,6348.7,"appended passes=fourier,lockin"
