family,rate_hz,any_success_pct
pair,45,18.6111
pair,60,9.7222
pair,90,8.0556
pair,120,0.0000
pair,180,0.0000
accum,45,25.8333
accum,60,13.6111
accum,90,13.3333
accum,120,0.0000
accum,180,1.6667
stat_std,45,19.1667
stat_std,60,7.7778
stat_std,90,7.7778
stat_std,120,0.0000
stat_std,180,0.5556
stat_var,45,3.0556
stat_var,60,3.3333
stat_var,90,1.1111
stat_var,120,0.0000
stat_var,180,0.0000
lockin,45,20.8333
lockin,60,12.2222
lockin,90,16.1111
lockin,120,0.0000
lockin,180,0.5556
fourier,45,23.8889
fourier,60,9.7222
fourier,90,12.7778
fourier,120,0.0000
fourier,180,0.8333
