rate_hz,family,target_hz,n,any_success_pct
45,fourier,10.0,360,12.2222
45,fourier,11.25,360,14.7222
45,fourier,22.5,360,20.8333
45,fourier,26.25,360,11.6667
45,lockin,10.0,360,0.0000
45,lockin,11.25,360,0.0000
45,lockin,22.5,360,20.5556
45,lockin,26.25,360,2.2222
60,fourier,10.0,360,6.1111
60,fourier,15.0,360,6.1111
60,fourier,30.0,360,8.8889
60,lockin,10.0,360,0.0000
60,lockin,15.0,360,0.0000
60,lockin,30.0,360,12.2222
90,fourier,7.5,360,7.5000
90,fourier,10.0,360,8.6111
90,fourier,15.0,360,11.3889
90,fourier,22.5,360,7.2222
90,lockin,7.5,360,0.0000
90,lockin,10.0,360,0.0000
90,lockin,15.0,360,16.1111
90,lockin,22.5,360,0.0000
