family,factor,level,intensity,n,any_success_pct
pair,all,-,4,600,0.00
pair,image,ex,4,150,0.00
pair,image,hocho,4,150,0.00
pair,image,nagaoka_fireworks,4,150,0.00
pair,image,rice,4,150,0.00
pair,channel,B,4,120,0.00
pair,channel,G,4,120,0.00
pair,channel,I,4,120,0.00
pair,channel,R,4,120,0.00
pair,channel,X,4,120,0.00
pair,rate,45,4,120,0.00
pair,rate,60,4,120,0.00
pair,rate,90,4,120,0.00
pair,rate,120,4,120,0.00
pair,rate,180,4,120,0.00
pair,exp,60,4,200,0.00
pair,exp,125,4,200,0.00
pair,exp,250,4,200,0.00
pair,all,-,8,600,4.00
pair,image,ex,8,150,10.67
pair,image,hocho,8,150,0.00
pair,image,nagaoka_fireworks,8,150,0.00
pair,image,rice,8,150,5.33
pair,channel,B,8,120,3.33
pair,channel,G,8,120,6.67
pair,channel,I,8,120,0.00
pair,channel,R,8,120,9.17
pair,channel,X,8,120,0.83
pair,rate,45,8,120,14.17
pair,rate,60,8,120,5.83
pair,rate,90,8,120,0.00
pair,rate,120,8,120,0.00
pair,rate,180,8,120,0.00
pair,exp,60,8,200,3.00
pair,exp,125,8,200,6.00
pair,exp,250,8,200,3.00
pair,all,-,12,600,17.83
pair,image,ex,12,150,30.67
pair,image,hocho,12,150,7.33
pair,image,nagaoka_fireworks,12,150,5.33
pair,image,rice,12,150,28.00
pair,channel,B,12,120,10.00
pair,channel,G,12,120,27.50
pair,channel,I,12,120,7.50
pair,channel,R,12,120,22.50
pair,channel,X,12,120,21.67
pair,rate,45,12,120,41.67
pair,rate,60,12,120,23.33
pair,rate,90,12,120,24.17
pair,rate,120,12,120,0.00
pair,rate,180,12,120,0.00
pair,exp,60,12,200,13.50
pair,exp,125,12,200,21.00
pair,exp,250,12,200,19.00
accum,all,-,4,600,0.17
accum,image,ex,4,150,0.67
accum,image,hocho,4,150,0.00
accum,image,nagaoka_fireworks,4,150,0.00
accum,image,rice,4,150,0.00
accum,channel,B,4,120,0.00
accum,channel,G,4,120,0.00
accum,channel,I,4,120,0.00
accum,channel,R,4,120,0.83
accum,channel,X,4,120,0.00
accum,rate,45,4,120,0.00
accum,rate,60,4,120,0.83
accum,rate,90,4,120,0.00
accum,rate,120,4,120,0.00
accum,rate,180,4,120,0.00
accum,exp,60,4,200,0.00
accum,exp,125,4,200,0.00
accum,exp,250,4,200,0.50
accum,all,-,8,600,7.67
accum,image,ex,8,150,16.67
accum,image,hocho,8,150,1.33
accum,image,nagaoka_fireworks,8,150,0.00
accum,image,rice,8,150,12.67
accum,channel,B,8,120,5.83
accum,channel,G,8,120,15.00
accum,channel,I,8,120,0.00
accum,channel,R,8,120,14.17
accum,channel,X,8,120,3.33
accum,rate,45,8,120,25.00
accum,rate,60,8,120,11.67
accum,rate,90,8,120,1.67
accum,rate,120,8,120,0.00
accum,rate,180,8,120,0.00
accum,exp,60,8,200,8.00
accum,exp,125,8,200,10.00
accum,exp,250,8,200,5.00
accum,all,-,12,600,24.83
accum,image,ex,12,150,36.00
accum,image,hocho,12,150,18.67
accum,image,nagaoka_fireworks,12,150,13.33
accum,image,rice,12,150,31.33
accum,channel,B,12,120,18.33
accum,channel,G,12,120,35.83
accum,channel,I,12,120,7.50
accum,channel,R,12,120,35.00
accum,channel,X,12,120,27.50
accum,rate,45,12,120,52.50
accum,rate,60,12,120,28.33
accum,rate,90,12,120,38.33
accum,rate,120,12,120,0.00
accum,rate,180,12,120,5.00
accum,exp,60,12,200,18.00
accum,exp,125,12,200,30.00
accum,exp,250,12,200,26.50
stat_std,all,-,4,600,0.33
stat_std,image,ex,4,150,1.33
stat_std,image,hocho,4,150,0.00
stat_std,image,nagaoka_fireworks,4,150,0.00
stat_std,image,rice,4,150,0.00
stat_std,channel,B,4,120,0.00
stat_std,channel,G,4,120,0.00
stat_std,channel,I,4,120,0.83
stat_std,channel,R,4,120,0.83
stat_std,channel,X,4,120,0.00
stat_std,rate,45,4,120,0.83
stat_std,rate,60,4,120,0.83
stat_std,rate,90,4,120,0.00
stat_std,rate,120,4,120,0.00
stat_std,rate,180,4,120,0.00
stat_std,exp,60,4,200,0.50
stat_std,exp,125,4,200,0.50
stat_std,exp,250,4,200,0.00
stat_std,all,-,8,600,5.00
stat_std,image,ex,8,150,10.00
stat_std,image,hocho,8,150,0.00
stat_std,image,nagaoka_fireworks,8,150,0.00
stat_std,image,rice,8,150,10.00
stat_std,channel,B,8,120,5.00
stat_std,channel,G,8,120,10.00
stat_std,channel,I,8,120,0.00
stat_std,channel,R,8,120,7.50
stat_std,channel,X,8,120,2.50
stat_std,rate,45,8,120,19.17
stat_std,rate,60,8,120,5.00
stat_std,rate,90,8,120,0.83
stat_std,rate,120,8,120,0.00
stat_std,rate,180,8,120,0.00
stat_std,exp,60,8,200,4.50
stat_std,exp,125,8,200,7.50
stat_std,exp,250,8,200,3.00
stat_std,all,-,12,600,15.83
stat_std,image,ex,12,150,26.67
stat_std,image,hocho,12,150,2.00
stat_std,image,nagaoka_fireworks,12,150,7.33
stat_std,image,rice,12,150,27.33
stat_std,channel,B,12,120,10.00
stat_std,channel,G,12,120,27.50
stat_std,channel,I,12,120,0.83
stat_std,channel,R,12,120,23.33
stat_std,channel,X,12,120,17.50
stat_std,rate,45,12,120,37.50
stat_std,rate,60,12,120,17.50
stat_std,rate,90,12,120,22.50
stat_std,rate,120,12,120,0.00
stat_std,rate,180,12,120,1.67
stat_std,exp,60,12,200,12.50
stat_std,exp,125,12,200,19.50
stat_std,exp,250,12,200,15.50
stat_var,all,-,4,600,0.00
stat_var,image,ex,4,150,0.00
stat_var,image,hocho,4,150,0.00
stat_var,image,nagaoka_fireworks,4,150,0.00
stat_var,image,rice,4,150,0.00
stat_var,channel,B,4,120,0.00
stat_var,channel,G,4,120,0.00
stat_var,channel,I,4,120,0.00
stat_var,channel,R,4,120,0.00
stat_var,channel,X,4,120,0.00
stat_var,rate,45,4,120,0.00
stat_var,rate,60,4,120,0.00
stat_var,rate,90,4,120,0.00
stat_var,rate,120,4,120,0.00
stat_var,rate,180,4,120,0.00
stat_var,exp,60,4,200,0.00
stat_var,exp,125,4,200,0.00
stat_var,exp,250,4,200,0.00
stat_var,all,-,8,600,0.00
stat_var,image,ex,8,150,0.00
stat_var,image,hocho,8,150,0.00
stat_var,image,nagaoka_fireworks,8,150,0.00
stat_var,image,rice,8,150,0.00
stat_var,channel,B,8,120,0.00
stat_var,channel,G,8,120,0.00
stat_var,channel,I,8,120,0.00
stat_var,channel,R,8,120,0.00
stat_var,channel,X,8,120,0.00
stat_var,rate,45,8,120,0.00
stat_var,rate,60,8,120,0.00
stat_var,rate,90,8,120,0.00
stat_var,rate,120,8,120,0.00
stat_var,rate,180,8,120,0.00
stat_var,exp,60,8,200,0.00
stat_var,exp,125,8,200,0.00
stat_var,exp,250,8,200,0.00
stat_var,all,-,12,600,4.50
stat_var,image,ex,12,150,8.00
stat_var,image,hocho,12,150,0.00
stat_var,image,nagaoka_fireworks,12,150,0.00
stat_var,image,rice,12,150,10.00
stat_var,channel,B,12,120,5.00
stat_var,channel,G,12,120,7.50
stat_var,channel,I,12,120,0.00
stat_var,channel,R,12,120,5.83
stat_var,channel,X,12,120,4.17
stat_var,rate,45,12,120,9.17
