participant_id,trial_index,is_practice,image,channel,intensity,rating,rt_ms,t_isi,t_stim,t_response,aborted
P01,0,1,rice,G,8,4,2901,144039.691100,144040.629633,144046.531919,0
P01,1,0,nagaoka_fireworks,B,8,1,1316,144047.791647,144048.747529,144053.064818,0
P01,2,0,hocho,B,8,1,18883,144053.202621,144054.147935,144076.032523,0
P01,3,0,ex,B,8,1,733,144076.177678,144077.133184,144080.867030,0
P01,4,0,nagaoka_fireworks,G,16,4,1117,144080.978765,144081.933488,144086.050559,0
P01,5,0,ex,G,4,1,650,144086.193058,144087.150373,144090.800712,0
P01,6,0,ex,G,12,4,500,144090.941530,144091.883918,144095.384307,0
P01,7,0,rice,G,16,4,801,144095.524277,144096.467503,144100.268050,0
P01,8,0,rice,B,12,2,1200,144100.403831,144101.351391,144105.551607,0
P01,9,0,nagaoka_fireworks,R,12,3,567,144105.669266,144106.617977,144110.185622,0
P01,10,0,ex,G,16,4,1267,144110.327807,144111.284682,144115.551960,0
P01,11,0,nagaoka_fireworks,B,16,3,2250,144115.665601,144116.618570,144121.869150,0
P01,12,0,rice,R,8,1,1167,144122.007966,144122.952116,144127.119313,0
P01,13,0,ex,R,12,3,3365,144127.260252,144128.201568,144134.569681,0
P01,14,0,hocho,R,16,4,834,144134.710249,144135.652747,144139.486519,0
P01,15,0,nagaoka_fireworks,B,4,1,883,144139.601976,144140.553079,144144.436824,0
P01,16,0,hocho,R,12,3,22667,144144.573972,144145.520002,144171.187389,0
P01,17,0,nagaoka_fireworks,G,8,2,1417,144171.298889,144172.254804,144176.672231,0
P01,18,0,rice,B,16,3,716,144176.806794,144177.755012,144181.471138,0
P01,19,0,nagaoka_fireworks,G,12,4,1301,144181.586271,144182.538471,144186.839203,0
P01,20,0,ex,R,4,1,1400,144186.979861,144187.921126,144192.322597,0
P01,21,0,hocho,G,16,4,2116,144192.461257,144193.407382,144198.523039,0
P01,22,0,rice,B,8,1,1618,144198.661637,144199.606095,144204.224700,0
P01,23,0,rice,B,4,1,6267,144204.362302,144205.306345,144214.574228,0
P01,24,0,ex,B,16,1,5501,144214.714532,144215.656206,144224.158010,0
P01,25,0,ex,R,16,2,1983,144224.294533,144225.240829,144230.224584,0
P01,26,0,hocho,B,12,1,1268,144230.363323,144231.307479,144235.576044,0
P01,27,0,rice,R,4,1,1233,144235.708682,144236.658004,144240.891748,0
P01,28,0,rice,G,8,2,834,144240.967489,144241.908089,144245.741927,0
P01,29,0,nagaoka_fireworks,B,12,3,617,144245.857895,144246.808613,144250.425596,0
P01,30,0,hocho,G,12,3,514,144250.561380,144251.508663,144255.025780,0
P01,31,0,hocho,G,4,1,682,144255.161136,144256.110386,144259.791747,0
P01,32,0,nagaoka_fireworks,R,8,1,1417,144259.905220,144260.859158,144265.276507,0
P01,33,0,nagaoka_fireworks,G,4,1,1567,144265.389743,144266.342784,144270.909976,0
P01,34,0,ex,B,4,1,1052,144271.050787,144271.992078,144276.045117,0
P01,35,0,ex,B,12,3,1234,144276.185389,144277.126558,144281.360471,0
P01,36,0,rice,G,12,4,1267,144281.497785,144282.443805,144286.710972,0
P01,37,0,hocho,R,4,1,1082,144286.849177,144287.793850,144291.876889,0
P01,38,0,ex,R,8,1,2318,144292.012501,144292.961061,144298.279231,0
P01,39,0,hocho,G,8,2,1933,144298.417325,144299.361164,144304.294123,0
P01,40,0,rice,R,12,4,818,144304.427843,144305.377233,144309.196479,0
P01,41,0,ex,G,8,1,384,144309.332244,144310.278429,144313.662230,0
P01,42,0,nagaoka_fireworks,R,4,1,415,144313.770313,144314.711979,144318.129096,0
P01,43,0,nagaoka_fireworks,R,16,4,1734,144318.236333,144319.178915,144323.913007,0
P01,44,0,rice,G,4,2,3434,144324.043449,144324.995862,144331.430174,0
P01,45,0,rice,R,16,4,534,144331.563777,144332.512797,144336.046668,0
P01,46,0,hocho,B,4,1,2649,144336.181444,144337.129690,144342.845942,0
P01,47,0,hocho,R,8,1,750,144342.981570,144343.930276,144347.680721,0
P01,48,0,hocho,B,16,1,1167,144347.815200,144348.765526,144352.931096,0
