participant_id,trial_index,is_practice,image,channel,intensity,rating,rt_ms,t_isi,t_stim,t_response,aborted
P01,0,1,rice,G,8,1,4822,76103.757188,76104.759277,76114.593032,0
P01,1,0,nagaoka_fireworks,G,12,2,5573,76114.644981,76115.648646,76126.232578,0
P01,2,0,rice,R,8,1,1968,76126.298115,76127.299265,76134.277441,0
P01,3,0,nagaoka_fireworks,R,8,1,995,76134.331697,76135.333104,76141.339053,0
P01,4,0,hocho,R,16,1,2525,77319.238260,77320.223515,77327.753475,0
P01,5,0,ex,R,4,1,1225,77327.815675,77328.802193,77335.031749,0
P01,6,0,nagaoka_fireworks,B,16,1,1896,139082.749876,139083.736431,139090.637578,0
P01,7,0,rice,B,16,1,600,139090.774400,139091.761246,139097.365304,0
P01,8,0,ex,G,16,4,389,139097.505230,139098.493020,139103.887978,0
P01,9,0,hocho,G,12,4,1334,140295.932922,140296.876740,140303.211801,0
P01,10,0,ex,B,16,4,1215,140303.362028,140304.310683,140310.529091,0
P01,11,0,hocho,B,12,1,1067,140310.681390,140311.627971,140317.696100,0
P01,12,0,nagaoka_fireworks,R,16,4,651,140317.822027,140318.761450,140324.413290,0
P01,13,0,nagaoka_fireworks,B,8,4,3499,140324.540560,140325.496152,140333.995888,0
P01,14,0,ex,R,8,1,2167,140334.149208,140335.096834,140342.264344,0
P01,15,0,ex,G,4,1,833,140342.418185,140343.363884,140349.197440,0
P01,16,0,rice,G,4,2,966,140349.349752,140350.297248,140356.264600,0
P01,17,0,hocho,B,16,1,1783,140356.420244,140357.364292,140364.148258,0
P01,18,0,ex,G,12,4,417,140364.301882,140365.248144,140370.665234,0
P01,19,0,nagaoka_fireworks,R,4,4,8183,140370.790390,140371.731748,140384.916001,0
P01,20,0,nagaoka_fireworks,G,8,3,2219,142800.491708,142801.440614,142808.660938,0
P01,21,0,hocho,B,8,1,568,142808.800125,142809.741621,142815.311254,0
P01,22,0,nagaoka_fireworks,G,16,4,584,142815.426241,142816.378227,142821.961504,0
P01,23,0,rice,B,12,3,2569,142822.099378,142823.043316,142830.612117,0
P01,24,0,rice,R,4,1,783,142830.755631,142831.709722,142837.494888,0
P01,25,0,ex,R,16,4,433,142885.872953,142886.811500,142892.246041,0
P01,26,0,hocho,B,4,1,750,142892.385754,142893.329261,142899.080703,0
