participant_id,participant_name,trial_index,is_practice,image,channel,intensity,rating,rt_ms,t_isi,t_stim,t_response,aborted
P03,jo,0,1,rice,G,8,4,1864,17039.793462,17040.738714,17045.605665,0
P03,jo,1,0,ex,G,16,4,883,17048.238220,17049.188861,17053.072190,0
P03,jo,2,0,hocho,R,4,1,483,17053.135502,17054.088837,17057.572909,0
P03,jo,3,0,ex,B,4,1,750,17057.636617,17058.589002,17062.339549,0
P03,jo,4,0,nagaoka_fireworks,G,4,1,783,17062.389726,17063.355464,17067.139956,0
P03,jo,5,0,rice,B,16,3,750,17067.204820,17068.155497,17071.906251,0
P03,jo,6,0,rice,R,4,1,1083,17071.967605,17072.922224,17077.006005,0
P03,jo,7,0,rice,B,10,2,1166,17077.068776,17078.022588,17082.189704,0
P03,jo,8,0,nagaoka_fireworks,B,10,3,800,17082.241800,17083.207583,17087.008106,0
P03,jo,9,0,nagaoka_fireworks,B,16,3,783,17087.058377,17088.022799,17091.806544,0
P03,jo,10,0,hocho,R,12,3,731,17091.870328,17092.822519,17096.556670,0
P03,jo,11,0,ex,R,4,1,967,17096.622067,17097.572594,17101.540199,0
P03,jo,12,0,rice,G,10,4,1300,17101.603931,17102.555851,17106.856858,0
P03,jo,13,0,nagaoka_fireworks,G,12,4,816,17106.908106,17107.872542,17111.689543,0
P03,jo,14,0,ex,G,8,3,1117,17111.753818,17112.705975,17116.823508,0
P03,jo,15,0,hocho,B,12,1,866,17116.887533,17117.839349,17121.706791,0
P03,jo,16,0,rice,G,8,3,900,17121.724542,17122.722879,17126.623593,0
P03,jo,17,0,ex,B,12,4,1050,17126.688715,17127.639551,17131.690430,0
P03,jo,18,0,hocho,R,10,3,633,17131.755647,17132.706230,17136.340395,0
P03,jo,19,0,nagaoka_fireworks,R,8,1,1100,17136.391381,17137.356369,17141.457083,0
P03,jo,20,0,ex,G,10,4,800,17141.522377,17142.473026,17146.273983,0
P03,jo,21,0,hocho,G,16,4,850,17146.338170,17147.289807,17151.140553,0
P03,jo,22,0,rice,G,4,2,833,17151.202892,17152.156552,17155.990691,0
P03,jo,23,0,nagaoka_fireworks,R,10,3,767,17156.041476,17157.006531,17160.774088,0
P03,jo,24,0,hocho,B,8,1,1733,17160.837132,17161.789947,17166.524074,0
P03,jo,25,0,rice,R,16,4,2081,17166.587890,17167.542502,17172.623789,0
P03,jo,26,0,rice,G,12,4,1483,17172.687011,17173.640834,17178.124253,0
P03,jo,27,0,nagaoka_fireworks,R,4,1,750,17178.174556,17179.140186,17182.891274,0
P03,jo,28,0,ex,G,12,4,783,17182.956777,17183.906921,17187.691043,0
P03,jo,29,0,rice,R,10,4,833,17187.755662,17188.706991,17192.541161,0
P03,jo,30,0,rice,R,12,4,717,17192.603808,17193.557268,17197.274593,0
P03,jo,31,0,ex,B,16,3,1332,17197.338464,17198.292998,17202.624635,0
P03,jo,32,0,nagaoka_fireworks,B,4,1,717,17202.675588,17203.640755,17207.358298,0
P03,jo,33,0,ex,B,10,3,634,17207.421977,17208.373977,17212.009372,0
P03,jo,34,0,nagaoka_fireworks,R,16,4,650,17212.060436,17213.024454,17216.674946,0
P03,jo,35,0,ex,R,16,4,717,17216.739147,17217.690758,17221.408142,0
P03,jo,36,0,ex,B,8,1,633,17221.470826,17222.424704,17226.058326,0
P03,jo,37,0,nagaoka_fireworks,B,8,1,1168,17226.109213,17227.074168,17231.242501,0
P03,jo,38,0,nagaoka_fireworks,G,16,4,716,17231.293499,17232.257560,17235.975042,0
P03,jo,39,0,rice,B,8,1,583,17236.037624,17236.991000,17240.575090,0
P03,jo,40,0,rice,B,4,1,683,17240.635538,17241.590990,17245.275281,0
P03,jo,41,0,hocho,R,16,3,750,17245.338321,17246.291187,17250.041977,0
P03,jo,42,0,ex,R,10,3,599,17250.106494,17251.057783,17254.658614,0
P03,jo,43,0,ex,R,8,1,617,17254.722696,17255.675428,17259.292050,0
P03,jo,44,0,hocho,G,10,3,766,17259.352534,17260.307877,17264.075384,0
P03,jo,45,0,hocho,B,10,1,1382,17264.134649,17265.092498,17269.474988,0
P03,jo,46,0,ex,R,12,3,1233,17269.539792,17270.491394,17274.725508,0
P03,jo,47,0,hocho,R,8,1,700,17274.789719,17275.741508,17279.442248,0
P03,jo,48,0,nagaoka_fireworks,R,12,3,683,17279.491251,17280.458152,17284.142251,0
P03,jo,49,0,nagaoka_fireworks,G,8,2,800,17284.193070,17285.158246,17288.959093,0
P03,jo,50,0,rice,G,16,4,583,17289.020626,17289.974969,17293.559160,0
P03,jo,51,0,hocho,G,4,1,850,17293.624477,17294.575015,17298.425814,0
P03,jo,52,0,nagaoka_fireworks,B,12,3,567,17298.477346,17299.442023,17303.009242,0
P03,jo,53,0,hocho,B,16,1,850,17303.071138,17304.025198,17307.876113,0
P03,jo,54,0,rice,B,12,3,717,17307.937979,17308.891860,17312.609314,0
P03,jo,55,0,hocho,B,4,1,967,17312.672874,17313.625326,17317.592949,0
P03,jo,56,0,ex,G,4,2,567,17317.658315,17318.608767,17322.176202,0
P03,jo,57,0,rice,R,8,1,632,17322.237396,17323.193858,17326.826343,0
P03,jo,58,0,hocho,G,8,1,467,17326.887426,17327.842232,17331.309678,0
P03,jo,59,0,nagaoka_fireworks,G,10,3,417,17331.359642,17332.325602,17335.743323,0
P03,jo,60,0,hocho,G,12,3,650,17335.807636,17336.759033,17340.409742,0
