folder,frame_1,frame_2,diff_image,analysis_image,decoded_text,success,method,note,recall,precision,accuracy,noise,gt_note
ex_B6,frame_00000.png,frame_00001.png,ex_B6\rgb_max_diff_maps\00000-00001-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.046274,0.634784,0.620904,0.018721,
ex_B6,frame_00001.png,frame_00002.png,ex_B6\rgb_max_diff_maps\00001-00002-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.023144,0.546766,0.614836,0.014123,
ex_B6,frame_00002.png,frame_00003.png,ex_B6\rgb_max_diff_maps\00002-00003-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.025592,0.536063,0.614637,0.013185,
ex_B6,frame_00003.png,frame_00004.png,ex_B6\rgb_max_diff_maps\00003-00004-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.025727,0.599789,0.616616,0.012278,
ex_B6,frame_00004.png,frame_00005.png,ex_B6\rgb_max_diff_maps\00004-00005-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.027772,0.582685,0.616353,0.013149,
ex_B6,frame_00005.png,frame_00006.png,ex_B6\rgb_max_diff_maps\00005-00006-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.022537,0.544312,0.614724,0.011357,
ex_B6,frame_00006.png,frame_00007.png,ex_B6\rgb_max_diff_maps\00006-00007-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.021415,0.488795,0.612926,0.011560,
ex_B6,frame_00007.png,frame_00008.png,ex_B6\rgb_max_diff_maps\00007-00008-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.017945,0.531493,0.614128,0.012253,
ex_B6,frame_00008.png,frame_00009.png,ex_B6\rgb_max_diff_maps\00008-00009-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.291028,0.749458,0.688223,0.023894,
ex_B6,frame_00009.png,frame_00010.png,ex_B6\rgb_max_diff_maps\00009-00010-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.247373,0.773854,0.681009,0.018539,
ex_B6,frame_00010.png,frame_00011.png,ex_B6\rgb_max_diff_maps\00010-00011-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.031379,0.541755,0.615176,0.012212,
ex_B6,frame_00011.png,frame_00012.png,ex_B6\rgb_max_diff_maps\00011-00012-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.263056,0.760143,0.682930,0.020407,
ex_B6,frame_00012.png,frame_00013.png,ex_B6\rgb_max_diff_maps\00012-00013-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.028347,0.538276,0.614864,0.012732,
ex_B6,frame_00013.png,frame_00014.png,ex_B6\rgb_max_diff_maps\00013-00014-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.264499,0.754080,0.682230,0.021047,
ex_B6,frame_00014.png,frame_00015.png,ex_B6\rgb_max_diff_maps\00014-00015-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.036012,0.606446,0.618194,0.011464,
ex_B6,frame_00015.png,frame_00016.png,ex_B6\rgb_max_diff_maps\00015-00016-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.248369,0.754291,0.678062,0.020014,
ex_B6,frame_00016.png,frame_00017.png,ex_B6\rgb_max_diff_maps\00016-00017-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.243383,0.764529,0.678433,0.018283,
ex_B6,frame_00017.png,frame_00018.png,ex_B6\rgb_max_diff_maps\00017-00018-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.031985,0.632064,0.618474,0.009719,
ex_B6,frame_00018.png,frame_00019.png,ex_B6\rgb_max_diff_maps\00018-00019-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.024361,0.561243,0.615361,0.009871,
ex_B6,frame_00019.png,frame_00020.png,ex_B6\rgb_max_diff_maps\00019-00020-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.022243,0.621413,0.616666,0.010833,
ex_B6,frame_00020.png,frame_00021.png,ex_B6\rgb_max_diff_maps\00020-00021-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.022610,0.587468,0.615909,0.009697,
ex_B6,frame_00021.png,frame_00022.png,ex_B6\rgb_max_diff_maps\00021-00022-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.019981,0.616932,0.616234,0.009190,
ex_B6,frame_00022.png,frame_00023.png,ex_B6\rgb_max_diff_maps\00022-00023-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.284046,0.757390,0.687960,0.022040,
ex_B6,frame_00023.png,frame_00024.png,ex_B6\rgb_max_diff_maps\00023-00024-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.023198,0.526008,0.614192,0.009709,
ex_B6,frame_00024.png,frame_00025.png,ex_B6\rgb_max_diff_maps\00024-00025-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.259821,0.756791,0.681488,0.019141,
ex_B6,frame_00025.png,frame_00026.png,ex_B6\rgb_max_diff_maps\00025-00026-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.025587,0.604360,0.616722,0.009655,
ex_B6,frame_00026.png,frame_00027.png,ex_B6\rgb_max_diff_maps\00026-00027-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.022510,0.579162,0.615685,0.009615,
ex_B6,frame_00027.png,frame_00028.png,ex_B6\rgb_max_diff_maps\00027-00028-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.382689,0.789003,0.721715,0.023094,
