folder,best_frame_1,best_frame_2,diff_image,temporal_count,analysis_image,decoded_text,success,method,note
ex_B2,frame_00109.png,frame_00110.png,ex_B2\rgb_max_diff_maps\00109-00110-FRAME_rgbmax_scale1.00.png,17,median_eval_analysis\ex_B2\frame_00109-frame_00110_ng_temporal_decode_fallback_decode_.png,,0,temporal_decode失敗|fallback_decode失敗,QR未検出
ex_B4,frame_00022.png,frame_00023.png,ex_B4\rgb_max_diff_maps\00022-00023-FRAME_rgbmax_scale1.00.png,17,median_eval_analysis\ex_B4\frame_00022-frame_00023_ng_temporal_decode_fallback_decode_.png,,0,temporal_decode失敗|fallback_decode失敗,QR未検出
ex_B6,frame_00075.png,frame_00076.png,ex_B6\rgb_max_diff_maps\00075-00076-FRAME_rgbmax_scale1.00.png,17,median_eval_analysis\ex_B6\frame_00075-frame_00076_ng_temporal_decode_fallback_decode_.png,,0,temporal_decode失敗|fallback_decode失敗,QR未検出
ex_B8,frame_00029.png,frame_00030.png,ex_B8\rgb_max_diff_maps\00029-00030-FRAME_rgbmax_scale1.00.png,17,median_eval_analysis\ex_B8\frame_00029-frame_00030_ng_temporal_decode_fallback_decode_.png,,0,temporal_decode失敗|fallback_decode失敗,QR未検出
ex_B10,frame_00058.png,frame_00059.png,ex_B10\rgb_max_diff_maps\00058-00059-FRAME_rgbmax_scale1.00.png,17,median_eval_analysis\ex_B10\frame_00058-frame_00059_ng_temporal_decode_fallback_decode_.png,,0,temporal_decode失敗|fallback_decode失敗,QR未検出
ex_G2,frame_00083.png,frame_00084.png,ex_G2\rgb_max_diff_maps\00083-00084-FRAME_rgbmax_scale1.00.png,17,median_eval_analysis\ex_G2\frame_00083-frame_00084_ng_temporal_decode_fallback_decode_.png,,0,temporal_decode失敗|fallback_decode失敗,QR未検出
ex_G4,frame_00011.png,frame_00012.png,ex_G4\rgb_max_diff_maps\00011-00012-FRAME_rgbmax_scale1.00.png,17,median_eval_analysis\ex_G4\frame_00011-frame_00012_ng_temporal_decode_fallback_decode_.png,,0,temporal_decode失敗|fallback_decode失敗,QR未検出
ex_G6,frame_00076.png,frame_00077.png,ex_G6\rgb_max_diff_maps\00076-00077-FRAME_rgbmax_scale1.00.png,17,median_eval_analysis\ex_G6\frame_00076-frame_00077_ng_temporal_decode_fallback_decode_.png,,0,temporal_decode失敗|fallback_decode失敗,QR未検出
ex_G8,frame_00000.png,frame_00001.png,ex_G8\rgb_max_diff_maps\00000-00001-FRAME_rgbmax_scale1.00.png,9,median_eval_analysis\ex_G8\frame_00000-frame_00001_ng_temporal_decode_fallback_decode_.png,,0,temporal_decode失敗|fallback_decode失敗,QR未検出
ex_G10,frame_00090.png,frame_00091.png,ex_G10\rgb_max_diff_maps\00090-00091-FRAME_rgbmax_scale1.00.png,17,median_eval_analysis\ex_G10\frame_00090-frame_00091_ng_temporal_decode_fallback_decode_.png,,0,temporal_decode失敗|fallback_decode失敗,QR未検出
ex_I2,frame_00105.png,frame_00106.png,ex_I2\rgb_max_diff_maps\00105-00106-FRAME_rgbmax_scale1.00.png,17,median_eval_analysis\ex_I2\frame_00105-frame_00106_ng_temporal_decode_fallback_decode_.png,,0,temporal_decode失敗|fallback_decode失敗,QR未検出
