folder,best_frame_1,best_frame_2,diff_image,temporal_count,analysis_image,decoded_text,success,method,note
ex_B2,frame_00036.png,frame_00037.png,ex_B2\rgb_max_diff_maps\00036-00037-FRAME_rgbmax_scale1.00.png,17,median_eval_analysis\ex_B2\frame_00036-frame_00037_ng_temporal_decode_fallback_decode_.png,,0,temporal_decode失敗|fallback_decode失敗,QR未検出
ex_B4,frame_00071.png,frame_00072.png,ex_B4\rgb_max_diff_maps\00071-00072-FRAME_rgbmax_scale1.00.png,17,median_eval_analysis\ex_B4\frame_00071-frame_00072_ng_temporal_decode_fallback_decode_.png,,0,temporal_decode失敗|fallback_decode失敗,QR未検出
ex_B6,frame_00028.png,frame_00029.png,ex_B6\rgb_max_diff_maps\00028-00029-FRAME_rgbmax_scale1.00.png,17,median_eval_analysis\ex_B6\frame_00028-frame_00029_ng_temporal_decode_fallback_decode_.png,,0,temporal_decode失敗|fallback_decode失敗,QR未検出
ex_B8,frame_00035.png,frame_00036.png,ex_B8\rgb_max_diff_maps\00035-00036-FRAME_rgbmax_scale1.00.png,17,median_eval_analysis\ex_B8\frame_00035-frame_00036_ng_temporal_decode_fallback_decode_.png,,0,temporal_decode失敗|fallback_decode失敗,QR未検出
ex_B10,frame_00043.png,frame_00044.png,ex_B10\rgb_max_diff_maps\00043-00044-FRAME_rgbmax_scale1.00.png,17,median_eval_analysis\ex_B10\frame_00043-frame_00044_ng_temporal_decode_fallback_decode_.png,,0,temporal_decode失敗|fallback_decode失敗,QR未検出
ex_G2,frame_00093.png,frame_00094.png,ex_G2\rgb_max_diff_maps\00093-00094-FRAME_rgbmax_scale1.00.png,17,median_eval_analysis\ex_G2\frame_00093-frame_00094_ng_temporal_decode_fallback_decode_.png,,0,temporal_decode失敗|fallback_decode失敗,QR未検出
ex_G4,frame_00051.png,frame_00052.png,ex_G4\rgb_max_diff_maps\00051-00052-FRAME_rgbmax_scale1.00.png,17,median_eval_analysis\ex_G4\frame_00051-frame_00052_ng_temporal_decode_fallback_decode_.png,,0,temporal_decode失敗|fallback_decode失敗,QR未検出
ex_G6,frame_00105.png,frame_00106.png,ex_G6\rgb_max_diff_maps\00105-00106-FRAME_rgbmax_scale1.00.png,17,median_eval_analysis\ex_G6\frame_00105-frame_00106_ok_temporal_decode_fallback_median_gray_x1.0_k5_i1.png,https://www.nagaoka-ct.ac.jp,1,temporal_decode失敗|fallback_median_gray_x1.0_k5_i1,
ex_G8,frame_00050.png,frame_00051.png,ex_G8\rgb_max_diff_maps\00050-00051-FRAME_rgbmax_scale1.00.png,17,median_eval_analysis\ex_G8\frame_00050-frame_00051_ok_temporal_median_n17_gray_x1.0_k5_i1.png,https://www.nagaoka-ct.ac.jp,1,temporal_median_n17_gray_x1.0_k5_i1,
ex_G10,frame_00096.png,frame_00097.png,ex_G10\rgb_max_diff_maps\00096-00097-FRAME_rgbmax_scale1.00.png,17,median_eval_analysis\ex_G10\frame_00096-frame_00097_ok_temporal_median_n17_median_gray_x1.0_k5_i1.png,https://www.nagaoka-ct.ac.jp,1,temporal_median_n17_median_gray_x1.0_k5_i1,
ex_I2,frame_00065.png,frame_00066.png,ex_I2\rgb_max_diff_maps\00065-00066-FRAME_rgbmax_scale1.00.png,17,median_eval_analysis\ex_I2\frame_00065-frame_00066_ng_temporal_decode_fallback_decode_.png,,0,temporal_decode失敗|fallback_decode失敗,QR未検出
ex_I4,frame_00018.png,frame_00019.png,ex_I4\rgb_max_diff_maps\00018-00019-FRAME_rgbmax_scale1.00.png,17,median_eval_analysis\ex_I4\frame_00018-frame_00019_ng_temporal_decode_fallback_decode_.png,,0,temporal_decode失敗|fallback_decode失敗,QR未検出
