base_image,variant_file,index,mode,channel,psnr,ssim
ex.png,ex_1_invB.png,1,inv,B,60.2087743345859,0.9998409971467126
ex.png,ex_1_invG.png,1,inv,G,60.15294440209534,0.9996033471607363
ex.png,ex_1_invI.png,1,inv,I,60.17310941848314,0.9996638592640057
ex.png,ex_1_invR.png,1,inv,R,60.127772339797914,0.9996751531824978
ex.png,ex_1_invX.png,1,inv,X,60.25069063908361,0.9998261876376874
ex.png,ex_1_normalB.png,1,normal,B,60.05038188659783,0.9998438720598943
ex.png,ex_1_normalG.png,1,normal,G,60.1049005786174,0.9996008419095473
ex.png,ex_1_normalI.png,1,normal,I,60.165384597042234,0.9996669566638277
ex.png,ex_1_normalR.png,1,normal,R,60.129940040894994,0.9996783702584069
ex.png,ex_1_normalX.png,1,normal,X,60.0892992513382,0.9998290596831831
ex.png,ex_2_invB.png,2,inv,B,54.55289879887766,0.9997290329656416
ex.png,ex_2_invG.png,2,inv,G,54.52244926382488,0.9996263554488011
ex.png,ex_2_invI.png,2,inv,I,54.5223975568686,0.9996034239392081
ex.png,ex_2_invR.png,2,inv,R,54.50866228972614,0.99960469414993
ex.png,ex_2_invX.png,2,inv,X,54.56446477507737,0.99971609757174
ex.png,ex_2_normalB.png,2,normal,B,54.466048591869935,0.9997352478163152
ex.png,ex_2_normalG.png,2,normal,G,54.4961038809146,0.9996333728783805
ex.png,ex_2_normalI.png,2,normal,I,54.51819006615793,0.9996018469432102
ex.png,ex_2_normalR.png,2,normal,R,54.50985098200229,0.9996024982981703
ex.png,ex_2_normalX.png,2,normal,X,54.476566571030716,0.9997221230292623
ex.png,ex_3_invB.png,3,inv,B,51.09550991581274,0.9996501034181038
ex.png,ex_3_invG.png,3,inv,G,51.07488345711437,0.9993851514420595
ex.png,ex_3_invI.png,3,inv,I,51.07234981829582,0.9996900197868809
ex.png,ex_3_invR.png,3,inv,R,51.06552885424698,0.9997659547727213
ex.png,ex_3_invX.png,3,inv,X,51.1008174422306,0.9996579431317748
ex.png,ex_3_normalB.png,3,normal,B,51.0365547476124,0.9996566059859725
ex.png,ex_3_normalG.png,3,normal,G,51.056999540927634,0.999379524452043
ex.png,ex_3_normalI.png,3,normal,I,51.06949763504262,0.9996901836018244
ex.png,ex_3_normalR.png,3,normal,R,51.06633577013773,0.9997655283544639
ex.png,ex_3_normalX.png,3,normal,X,51.04123390702541,0.9996643363458003
ex.png,ex_4_invB.png,4,inv,B,48.61727864491315,0.999610653956984
ex.png,ex_4_invG.png,4,inv,G,48.60172636135665,0.9990542346533722
ex.png,ex_4_invI.png,4,inv,I,48.59887248365808,0.9994870278475843
ex.png,ex_4_invR.png,4,inv,R,48.59466703626666,0.9996013241632736
ex.png,ex_4_invX.png,4,inv,X,48.62033062416795,0.9996021871884926
ex.png,ex_4_normalB.png,4,normal,B,48.57277847421506,0.9996130345985706
ex.png,ex_4_normalG.png,4,normal,G,48.58822725480297,0.9990541950114485
ex.png,ex_4_normalI.png,4,normal,I,48.59672067598982,0.9994892857465759
ex.png,ex_4_normalR.png,4,normal,R,48.595276111487344,0.9996048963385811
ex.png,ex_4_normalX.png,4,normal,X,48.57537858842932,0.9996041655872215
ex.png,ex_5_invB.png,5,inv,B,46.69427714828913,0.999602361690839
ex.png,ex_5_invG.png,5,inv,G,46.678262189572656,0.9989539718905732
